,"Computed from S216 country-industry IROP columns, Rate deviation (decimal)",Composite final series,Composite final series
Year,S038-A,S038,S038-A-EXT
1988,3.77378440387937e-18,3.77378440387937e-18,
1989,-4.86939923081209e-18,-4.86939923081209e-18,
1990,1.947759692324836e-18,1.947759692324836e-18,
1991,3.408579461568463e-18,3.408579461568463e-18,
1992,0.0,0.0,
1993,0.0,0.0,
1994,7.791038769299344e-18,7.791038769299344e-18,
1995,5.052001701967544e-18,5.052001701967544e-18,
1996,-1.2660438000111434e-17,-1.2660438000111434e-17,
1997,5.112869192352694e-18,5.112869192352694e-18,
1998,3.895519384649672e-18,3.895519384649672e-18,
1999,7.791038769299344e-18,7.791038769299344e-18,
2000,-5.356339153893299e-18,-5.356339153893299e-18,
2001,4.382459307730881e-18,4.382459307730881e-18,
2002,-9.25185853854297e-18,-9.25185853854297e-18,
2003,-4.86939923081209e-18,-4.86939923081209e-18,
2004,5.101024707737206e-17,5.101024707737206e-17,5.101024707737206e-17
2005,6.226250746208649e-17,6.226250746208649e-17,6.226250746208649e-17
2006,1.950391800017167e-17,1.950391800017167e-17,1.950391800017167e-17
2007,-4.950994569274347e-17,-4.950994569274347e-17,-4.950994569274347e-17
2008,1.50030138462859e-17,1.50030138462859e-17,1.50030138462859e-17
2009,6.00120553851436e-18,6.00120553851436e-18,6.00120553851436e-18
2010,7.50150692314295e-17,7.50150692314295e-17,7.50150692314295e-17
2011,-1.800361661554308e-17,-1.800361661554308e-17,-1.800361661554308e-17
2012,6.00120553851436e-18,6.00120553851436e-18,6.00120553851436e-18
2013,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17
2014,1.3127637115500162e-17,1.3127637115500162e-17,1.3127637115500162e-17
2015,7.50150692314295e-18,7.50150692314295e-18,7.50150692314295e-18
2016,7.50150692314295e-18,7.50150692314295e-18,7.50150692314295e-18
2017,-3.9382911346500484e-17,-3.9382911346500484e-17,-3.9382911346500484e-17
2018,-1.9878993346328817e-17,-1.9878993346328817e-17,-1.9878993346328817e-17
2019,3.750753461571475e-19,3.750753461571475e-19,3.750753461571475e-19
