,"Harberger (1988) Table 12.1, Rate (%)","Harberger (1988) Table 12.1, Rate (%)",Composite final series
Year,S089-A,S089-B,S089
1,3.123,2.546,3.123
2,3.432,2.69,3.432
3,1.421,1.23,1.421
4,1.631,1.383,1.631
5,0.671,0.499,0.671
6,0.549,0.5,0.549
7,0.222,0.281,0.222
8,0.216,0.29,0.216
9,0.471,0.421,0.471
10,0.219,0.203,0.219
11,0.256,0.228,0.256
12,0.491,0.45,0.491
13,0.282,0.36,0.282
14,0.474,0.351,0.474
15,0.5,0.583,0.5
16,0.2,0.353,0.2
17,0.853,0.928,0.853
18,0.652,0.531,0.652
19,0.287,0.092,0.287
20,0.186,0.109,0.186
21,0.449,0.056,0.449
22,0.24,0.111,0.24
23,0.252,0.114,0.252
24,0.425,0.086,0.425
25,0.517,0.083,0.517
26,0.087,0.052,0.087
27,0.251,0.075,0.251
28,0.035,0.076,0.035
29,0.14,0.053,0.14
