,"Extracted from S215 banking column, Rate (decimal)","Average from S215, Rate (decimal)",Composite final series,Composite final series
Year,S050-A,S050-B,S050,S050-A-EXT
1988,0.16943527890078916,0.4485947058910668,0.16943527890078916,
1989,0.1902679347729965,0.2696662738301558,0.1902679347729965,
1990,0.020818197274203698,0.2840800000000001,0.020818197274203698,
1991,-0.03664762779877118,-0.0935292264061757,-0.03664762779877118,
1992,0.11964048415963979,0.2756281345378133,0.11964048415963979,
1993,0.07955886684549356,0.2085494576031834,0.07955886684549356,
1994,0.12233869214282303,0.159860637138416,0.12233869214282303,
1995,0.11002994240143898,0.0791429444145634,0.11002994240143898,
1996,0.05740255148806492,0.1994187898519034,0.05740255148806492,
1997,0.11081457530524133,0.11431263364019,0.11081457530524133,
1998,-0.0018695475125513551,0.0131171224514915,-0.0018695475125513551,
1999,0.11143969780132858,0.1199355369562051,0.11143969780132858,
2000,-0.009980858610668684,0.065603558726108,-0.009980858610668684,
2001,-0.03298794394148688,-0.0261929626423625,-0.03298794394148688,
2002,0.17858886845764757,-0.0564864108016816,0.17858886845764757,
2003,0.016831957245906675,0.0394235554578272,0.016831957245906675,
2004,0.2572588723600336,-0.0407433767517589,0.2572588723600336,
2005,0.23735821418437061,-0.0152876046924595,0.23735821418437061,
2006,3.42327829238824,,3.42327829238824,3.42327829238824
2007,2.107437919357165,,2.107437919357165,2.107437919357165
2008,3.9637343289408262,,3.9637343289408262,3.9637343289408262
2009,-6.926096089088991,,-6.926096089088991,-6.926096089088991
2010,2.080430340677393,,2.080430340677393,2.080430340677393
2011,2.656241333291645,,2.656241333291645,2.656241333291645
2012,-0.32095828267379195,,-0.32095828267379195,-0.32095828267379195
2013,1.083327123203369,,1.083327123203369,1.083327123203369
2014,0.6964093263242224,,0.6964093263242224,0.6964093263242224
2015,-6.525705785683975,,-6.525705785683975,-6.525705785683975
2016,-1.5368593392168952,,-1.5368593392168952,-1.5368593392168952
2017,4.287135836044861,,4.287135836044861,4.287135836044861
2018,2.323101229186123,,2.323101229186123,2.323101229186123
2019,-1.2828049210384256,,-1.2828049210384256,-1.2828049210384256
2020,-3.269671136144101,,-3.269671136144101,-3.269671136144101
2021,6.723251343840573,,6.723251343840573,6.723251343840573
2022,5.126099211586369,,5.126099211586369,5.126099211586369
2023,-2.3522684326732493,,-2.3522684326732493,-2.3522684326732493
2024,-0.630275915240981,,-0.630275915240981,-0.630275915240981
