,"Shaikh Appendix 14, wageshhp100, Share (decimal)","Shaikh Appendix 14, ulintensityhp100, Index",Composite final series,Composite final series,Composite final series
Year,S070-A,S070-B,S070,S070-A-EXT,S070-B-EXT
1948,0.531088362225344,0.0391578319304503,0.531088362225344,,
1949,0.534703109232092,0.040999900044144,0.534703109232092,,
1950,0.538269146775613,0.0427712437989294,0.538269146775613,,
1951,0.541732651574625,0.0445926456110589,0.541732651574625,,
1952,0.544965725844433,0.0467781359923393,0.544965725844433,,
1953,0.547826121446139,0.049510065423125,0.547826121446139,,
1954,0.550238741066215,0.052755585532098,0.550238741066215,,
1955,0.552251266285202,0.0562189131352932,0.552251266285202,,
1956,0.553955879466802,0.059730454380453,0.553955879466802,,
1957,0.55539647575005,0.0631193916304801,0.55539647575005,,
1958,0.556644923383679,0.0660787722589002,0.556644923383679,,
1959,0.557805167464783,0.0681153507130073,0.557805167464783,,
1960,0.558984129948874,0.0690217500706532,0.558984129948874,,
1961,0.560263844587107,0.0686846709256621,0.560263844587107,,
1962,0.561759622906264,0.0670024493689303,0.561759622906264,,
1963,0.56358494334715,0.0642234518448166,0.56358494334715,,
1964,0.565825930178239,0.0607343811400498,0.565825930178239,,
1965,0.568515130408329,0.0570617187242424,0.568515130408329,,
1966,0.571618862170828,0.0538034423271353,0.571618862170828,,
1967,0.574984826901094,0.0515132566881662,0.574984826901094,,
1968,0.578407540391325,0.0505947584161392,0.578407540391325,,
1969,0.581669970962188,0.0512692292097281,0.581669970962188,,
1970,0.584560874658607,0.0535485309612159,0.584560874658607,,
1971,0.586935848913304,0.0572046557405421,0.586935848913304,,
1972,0.588788842890005,0.0619017230693243,0.588788842890005,,
1973,0.590149818123874,0.0674004445256079,0.590149818123874,,
1974,0.59106245581274,0.0735083230376329,0.59106245581274,,
1975,0.591572007494173,0.0798406818958558,0.591572007494173,,
1976,0.591789539660023,0.0858214465288774,0.591789539660023,,
1977,0.591766133334814,0.0912718657443952,0.591766133334814,,
1978,0.5915161302996,0.0963576223996693,0.5915161302996,,
1979,0.591013684525591,0.101327522278674,0.591013684525591,,
1980,0.590207341407516,0.106180078769751,0.590207341407516,,
1981,0.589092024326481,0.110527039939472,0.589092024326481,,
1982,0.587769072548577,0.113765500343937,0.587769072548577,,
1983,0.586338226067345,0.11522483501992,0.586338226067345,,
1984,0.584931640264028,0.114597069968952,0.584931640264028,,
1985,0.583660191331179,0.112317428386922,0.583660191331179,,
1986,0.5825447954735,0.109020096075844,0.5825447954735,,
1987,0.581546363013417,0.105327470004881,0.581546363013417,,
1988,0.580627149882721,0.101814237931615,0.580627149882721,,
1989,0.579753549656046,0.0988888323030165,0.579753549656046,,
1990,0.578868785751497,0.0966755778402158,0.578868785751497,,
1991,0.577891617267183,0.0949294571459249,0.577891617267183,,
1992,0.576774908184979,0.0931050969344221,0.576774908184979,,
1993,0.575512746892871,0.0906358574013321,0.575512746892871,,
1994,0.57416305738891,0.0873425069313657,0.57416305738891,,
1995,0.572847558728029,0.0833695034650186,0.572847558728029,,
1996,0.571684240379102,0.0791228221176972,0.571684240379102,,
1997,0.570766747510761,0.0750951534487605,0.570766747510761,,
1998,0.570098305651843,0.0718831014355405,0.570098305651843,,
1999,0.569569719850802,0.0701049635979026,0.569569719850802,,
2000,0.569033466477454,0.0703055034710241,0.569033466477454,,
2001,0.568332576857941,0.0728868301686353,0.568332576857941,,
2002,0.567364007005623,0.0780489878687665,0.567364007005623,,
2003,0.566101565883367,0.085880616694197,0.566101565883367,,
2004,0.564580751555941,0.0966442123235483,0.564580751555941,,
2005,0.56291822781472,0.110886038525925,0.56291822781472,,
2006,0.561226476035903,0.129258551023105,0.561226476035903,,
2007,0.559549394417188,0.152235295646656,0.559549394417188,,
2008,0.557813318623416,0.179768447651907,0.557813318623416,,
2009,0.555949120702574,0.211059425872375,0.555949120702574,,
2010,0.553961984821548,0.244533664335025,0.553961984821548,,
2011,0.551936069889801,0.278745829540771,0.551936069889801,,
2012,0.4291680849748148,21.91774384995889,0.4291680849748148,0.4291680849748148,21.91774384995889
2013,0.4286285889133636,21.38062725021394,0.4286285889133636,0.4286285889133636,21.38062725021394
2014,0.42853381603834845,20.33427816135885,0.42853381603834845,0.42853381603834845,20.33427816135885
2015,0.42876294988264213,18.95845478386395,0.42876294988264213,0.42876294988264213,18.95845478386395
2016,0.4291557796888459,17.4350959531323,0.4291557796888459,0.4291557796888459,17.4350959531323
2017,0.42956043413814476,15.908569986024776,0.42956043413814476,0.42956043413814476,15.908569986024776
2018,0.42983621600858635,14.48161654232606,0.42983621600858635,0.42983621600858635,14.48161654232606
2019,0.42986783334472206,13.205827344150258,0.42986783334472206,0.42986783334472206,13.205827344150258
2020,0.4295501192651465,12.075430049144137,0.4295501192651465,0.4295501192651465,12.075430049144137
2021,0.4288084531027007,11.031446940213192,0.4288084531027007,0.4288084531027007,11.031446940213192
2022,0.42770088859844296,10.040203354836457,0.42770088859844296,0.42770088859844296,10.040203354836457
2023,0.4263449935697142,9.110135785188215,0.4263449935697142,0.4263449935697142,9.110135785188215
2024,0.42485034364741175,8.230692141513932,0.42485034364741175,0.42485034364741175,8.230692141513932
2025,0.42328160164093404,7.3744598124632965,0.42328160164093404,0.42328160164093404,7.3744598124632965
2026,0.42168318014036854,,0.42168318014036854,0.42168318014036854,
