,"Federal Reserve, Household Financial Obligations Ratio, Ratio (decimal)","Federal Reserve, Household Debt-Service Ratio, Ratio (decimal)",Composite final series,Composite final series
Year,S101-A,S101-B,S101,S101-A-EXT
1980,0.15739,0.108748,0.15739,
1981,0.15540175,0.10601775,0.15540175,
1982,0.15677475000000002,0.106308,0.15677475000000002,
1983,0.15612025000000002,0.1053775,0.15612025000000002,
1984,0.15843725,0.10822075,0.15843725,
1985,0.16905625,0.1162425,0.16905625,
1986,0.17553325,0.121106,0.17553325,
1987,0.177148,0.121772,0.177148,
1988,0.17311325,0.11907925,0.17311325,
1989,0.1723015,0.1189205,0.1723015,
1990,0.1727835,0.11901625,0.1727835,
1991,0.17090875,0.1164925,0.17090875,
1992,0.16322675,0.1094835,0.16322675,
1993,0.16084525,0.10738275,0.16084525,
1994,0.16244825,0.10850699999999999,0.16244825,
1995,0.168517,0.11438,0.168517,
1996,0.17103525,0.11742175,0.17103525,
1997,0.17207375,0.118277,0.17207375,
1998,0.16888575,0.11681925,0.16888575,
1999,0.17185075,0.11960875,0.17185075,
2000,0.17254675,0.12193375000000001,0.17254675,
2001,0.17825325,0.12730924999999998,0.17825325,
2002,0.17949575,0.12959575,0.17949575,
2003,0.17853275000000002,0.13071525,0.17853275000000002,
2004,0.178251,0.13159500000000002,0.178251,
2005,0.18299725,0.13600175,0.18299725,
2006,0.185696,0.13847375,0.185696,
2007,0.18870375,0.1400785,0.18870375,
2008,0.18325675,0.13517075,0.18325675,
2009,0.18420275,0.13243175000000001,0.18420275,
2010,0.17050475,0.1200655,0.17050475,
2011,0.16100775,0.11071,0.16100775,
2012,0.15703299999999998,0.10596900000000001,0.15703299999999998,
2013,0.1538879475,,0.1538879475,0.1538879475
2014,0.1517361075,,0.1517361075,0.1517361075
2015,0.1513408875,,0.1513408875,0.1513408875
2016,0.15192190249999998,,0.15192190249999998,0.15192190249999998
2017,0.1496143975,,0.1496143975,0.1496143975
2018,0.14747204249999998,,0.14747204249999998,0.14747204249999998
2019,0.1471318325,,0.1471318325,0.1471318325
2020,0.138737955,,0.138737955,0.138737955
2021,0.134750125,,0.134750125,0.134750125
2022,0.143508965,,0.143508965,0.143508965
2023,0.14143639,,0.14143639,0.14143639
