,"IMF IFS via S073-C, Rate (decimal)","Appendix 14.2 via S073-N, Rate (decimal)","Appendix 14.2 via S073-O, Index","S073-H, Rate (decimal)",Composite final series,Composite final series,Composite final series,Composite final series,Composite final series
Year,S083-A,S083-B,S083-C,S083-D,S083,S083-A-EXT,S083-B-EXT,S083-C-EXT,S083-D-EXT
2011,0.020637966718175527,0.0903333333333332,0.352538503850384,,0.020637966718175527,0.020637966718175527,,,
2012,0.01864104308947745,0.08074999999999999,31.53364968021456,1.141376535733758,0.01864104308947745,0.01864104308947745,0.08074999999999999,31.53364968021456,1.141376535733758
2013,0.0169960347057152,0.07358333333333335,26.67035279554364,1.184157098161429,0.0169960347057152,0.0169960347057152,0.07358333333333335,26.67035279554364,1.184157098161429
2014,0.01740316406775544,0.061583333333333344,20.55234165463174,1.1766562868743011,0.01740316406775544,0.01740316406775544,0.061583333333333344,20.55234165463174,1.1766562868743011
2015,0.009313758537179861,0.052750000000000005,15.201402929647205,1.184119715150571,0.009313758537179861,0.009313758537179861,0.052750000000000005,15.201402929647205,1.184119715150571
2016,0.009487280929358022,0.04875,13.272230245512688,1.2082878253640637,0.009487280929358022,0.009487280929358022,0.04875,13.272230245512688,1.2082878253640637
2017,0.017887726459533182,0.043583333333333335,10.79377621896706,1.26318497678077,0.017887726459533182,0.017887726459533182,0.043583333333333335,10.79377621896706,1.26318497678077
2018,0.02292864643232151,0.03891666666666666,8.745210095591773,1.2561651233244546,0.02292864643232151,0.02292864643232151,0.03891666666666666,8.745210095591773,1.2561651233244546
2019,0.016490244432984413,0.03675,7.885289870022695,1.2797923922620449,0.016490244432984413,0.016490244432984413,0.03675,7.885289870022695,1.2797923922620449
2020,0.013344618151565957,0.081,14.605735506498862,1.206906911510952,0.013344618151565957,0.013344618151565957,0.081,14.605735506498862,1.206906911510952
2021,0.04550502078548235,0.053583333333333344,15.242562409737985,0.9958556028552727,0.04550502078548235,0.04550502078548235,0.053583333333333344,15.242562409737985,0.9958556028552727
2022,0.07131444808068532,0.036416666666666674,8.14134516195585,1.0399392969005308,0.07131444808068532,0.07131444808068532,0.036416666666666674,8.14134516195585,1.0399392969005308
2023,0.03702581723507525,0.03633333333333333,7.424083625610343,1.0944014755283895,0.03702581723507525,0.03702581723507525,0.03633333333333333,7.424083625610343,1.0944014755283895
2024,0.024840305029140364,0.04033333333333334,8.650821814180594,1.0920987693533055,0.024840305029140364,0.024840305029140364,0.04033333333333334,8.650821814180594,1.0920987693533055
2025,0.02828855441739564,0.042300000000000004,9.695591274827915,,0.02828855441739564,0.02828855441739564,0.042300000000000004,9.695591274827915,
2026,0.021758978365081783,,,,0.021758978365081783,0.021758978365081783,,,
