,"Macaulay 1938 + Fed HS-39 + ERP, spliced, Percent","Jastram 1977 + BLS updates, Index",Composite final series
Year,S052-A,S052-B,S052
1800,,59.59183673469388,
1801,,65.65597667638484,
1802,,54.11078717201166,
1803,,54.51895043731778,
1804,,58.30903790087464,
1805,,65.24781341107872,
1806,,61.98250728862974,
1807,,60.11661807580175,
1808,,53.23615160349854,
1809,,60.11661807580175,
1810,,60.52478134110788,
1811,,58.30903790087464,
1812,,60.52478134110788,
1813,,74.92711370262391,
1814,,84.19825072886297,
1815,,78.60058309037902,
1816,,69.79591836734694,
1817,,69.79591836734694,
1818,,67.98833819241983,
1819,,57.78425655976677,
1820,,49.03790087463557,
1821,,49.03790087463557,
1822,,49.03790087463557,
1823,,47.580174927113696,
1824,,45.36443148688047,
1825,,47.580174927113696,
1826,,45.77259475218659,
1827,,45.36443148688047,
1828,,44.8396501457726,
1829,,44.43148688046647,
1830,,42.09912536443149,
1831,,43.381924198250736,
1832,,43.9067055393586,
1833,,43.9067055393586,
1834,,41.57434402332362,
1835,,46.29737609329447,
1836,,52.71137026239067,
1837,,53.23615160349854,
1838,,50.84548104956268,
1839,,51.77842565597668,
1840,,43.9067055393586,
1841,,42.507288629737616,
1842,,37.90087463556851,
1843,,34.63556851311953,
1844,,35.56851311953353,
1845,,38.42565597667639,
1846,,38.42565597667639,
1847,,41.57434402332362,
1848,,37.90087463556851,
1849,,37.90087463556851,
1850,,38.8338192419825,
1851,,38.42565597667639,
1852,,40.64139941690962,
1853,,44.8396501457726,
1854,,49.970845481049565,
1855,,50.84548104956268,
1856,,48.5131195335277,
1857,296.21987547892707,51.37026239067056,296.21987547892707
1858,271.8340996168581,43.03206997084549,271.8340996168581
1859,260.9155651340995,44.48979591836735,260.9155651340995
1860,253.4162835249041,43.03206997084549,253.4162835249041
1861,265.4955459770115,41.16618075801749,265.4955459770115
1862,231.3135057471264,48.10495626822158,231.3135057471264
1863,199.73611111111097,61.457725947521865,199.73611111111097
1864,202.7078544061304,89.27113702623906,202.7078544061304
1865,252.7240421455937,85.48104956268222,252.7240421455937
1866,267.2191570881225,80.40816326530613,267.2191570881225
1867,265.453591954023,74.92711370262391,265.453591954023
1868,262.5937260536397,73.06122448979592,262.5937260536397
1869,273.6695881226052,69.79591836734694,273.6695881226052
1870,268.85536398467417,62.39067055393586,268.85536398467417
1871,266.07241379310346,60.11661807580175,266.07241379310346
1872,259.49262452107297,62.85714285714285,259.49262452107297
1873,260.7022988505747,61.457725947521865,260.7022988505747
1874,247.56719348659016,58.30903790087464,247.56719348659016
1875,228.9955459770115,54.51895043731778,228.9955459770115
1876,216.839367816092,50.84548104956268,216.839367816092
1877,217.2379310344828,49.03790087463557,217.2379310344828
1878,214.08788314176255,42.09912536443149,214.08788314176255
1879,199.8375,41.57434402332362,199.8375
1880,187.44707854406147,46.29737609329447,187.44707854406147
1881,173.72811302682007,47.580174927113696,173.72811302682007
1882,176.10201149425288,49.970845481049565,176.10201149425288
1883,176.9760536398466,46.647230320699705,176.9760536398466
1884,174.77696360153269,43.03206997084549,174.77696360153269
1885,166.43510536398452,39.35860058309038,166.43510536398452
1886,155.03759578544077,37.90087463556851,155.03759578544077
1887,157.7401340996167,39.35860058309038,157.7401340996167
1888,154.66000957854416,39.7667638483965,154.66000957854416
1889,148.63261494252873,37.37609329446064,148.63261494252873
1890,153.88386015325685,37.90087463556851,153.88386015325685
1891,160.84473180076614,37.66763848396501,160.84473180076614
1892,155.97107279693498,35.160349854227405,155.97107279693498
1893,160.27485632183908,36.0932944606414,160.27485632183908
1894,151.21977969348674,32.30320699708455,151.21977969348674
1895,145.76226053639832,32.94460641399417,145.76226053639832
1896,147.59774904214547,31.370262390670558,147.59774904214547
1897,139.35727969348673,31.370262390670558,139.35727969348673
1898,136.89597701149427,32.71137026239067,136.89597701149427
1899,131.33357279693502,35.160349854227405,131.33357279693502
1900,133.49420498084305,37.78425655976677,133.49420498084305
1901,133.45924329501904,37.25947521865889,133.45924329501904
1902,136.65823754789258,39.7667638483965,136.65823754789258
1903,146.45450191570868,40.29154518950437,146.45450191570868
1904,147.42294061302698,40.29154518950437,147.42294061302698
1905,145.23433908045976,40.52478134110788,145.23433908045976
1906,149.13955938697305,41.690962099125365,149.13955938697305
1907,158.49880268199246,43.9067055393586,158.49880268199246
1908,157.31709770114946,42.507288629737616,157.31709770114946
1909,153.46781609195403,45.65597667638484,153.46781609195403
1910,159.81336206896555,47.46355685131196,159.81336206896555
1911,161.31321839080462,43.79008746355685,161.31321839080462
1912,162.97739463601545,46.647230320699705,162.97739463601545
1913,170.1969827586207,47.05539358600583,170.1969827586207
1914,170.96264367816093,45.88921282798834,170.96264367816093
1915,175.14406130268213,46.93877551020408,175.14406130268213
1916,169.43831417624537,57.66763848396501,169.43831417624537
1917,180.01072796934884,79.24198250728863,180.01072796934884
1918,195.7854406130269,88.62973760932945,195.7854406130269
1919,197.7328065134098,93.46938775510203,197.7328065134098
1920,216.7974137931035,104.19825072886296,216.7974137931035
1921,209.03242337164764,65.88921282798835,209.03242337164764
1922,183.84952107279707,65.24781341107872,183.84952107279707
1923,191.86273946360168,67.87172011661808,191.86273946360168
1924,189.21264367816093,66.1807580174927,189.21264367816093
1925,186.70938697318,69.79591836734694,186.70938697318
1926,181.4126915708811,67.46355685131195,181.4126915708811
1927,174.73151340996156,64.43148688046647,174.73151340996156
1928,177.2662356321839,65.36443148688046,177.2662356321839
1929,187.9680076628351,64.19825072886297,187.9680076628351
1930,178.24166666666667,58.30903790087464,178.24166666666667
1931,175.22097701149426,49.15451895043732,175.22097701149426
1932,195.4882662835248,43.9067055393586,195.4882662835248
1933,176.96206896551723,44.43148688046647,176.96206896551723
1934,160.0615900383143,50.43731778425656,160.0615900383143
1935,144.34631226053625,53.99416909620992,144.34631226053625
1936,124.13793103448276,54.51895043731778,124.13793103448276
1937,124.904214559387,58.19241982507289,124.904214559387
1938,122.22222222222224,52.94460641399417,122.22222222222224
1939,115.32567049808428,52.011661807580175,115.32567049808428
1940,108.81226053639848,52.94460641399417,108.81226053639848
1941,106.13026819923373,58.95043731778426,106.13026819923373
1942,108.42911877394636,66.53061224489795,108.42911877394636
1943,104.59770114942528,70.08746355685132,104.59770114942528
1944,104.21455938697318,70.08746355685132,104.21455938697318
1945,100.38314176245213,71.37026239067055,100.38314176245213
1946,96.93486590038312,81.45772594752185,96.93486590038312
1947,100.0,100.0,100.0
1948,108.04597701149426,108.2798833819242,108.04597701149426
1949,101.91570881226056,102.91545189504372,101.91570881226056
1950,100.38314176245213,106.93877551020408,100.38314176245213
1951,109.5785440613027,119.12536443148689,109.5785440613027
1952,113.40996168582376,115.8600583090379,113.40996168582376
1953,122.60536398467434,114.28571428571428,122.60536398467434
1954,111.11111111111111,114.51895043731778,111.11111111111111
1955,117.24137931034484,114.81049562682216,117.24137931034484
1956,128.73563218390805,118.600583090379,128.73563218390805
1957,149.04214559386975,121.98250728862972,149.04214559386975
1958,145.21072796934865,123.6734693877551,145.21072796934865
1959,167.816091954023,123.96501457725948,167.816091954023
1960,168.96551724137933,123.96501457725948,168.96551724137933
1961,166.66666666666666,123.96501457725948,166.66666666666666
1962,165.90038314176246,123.96501457725948,165.90038314176246
1963,163.2183908045977,123.55685131195337,163.2183908045977
1964,168.58237547892725,123.79008746355684,168.58237547892725
1965,172.03065134099617,126.29737609329446,172.03065134099617
1966,196.55172413793105,130.49562682215745,196.55172413793105
1967,211.11111111111111,130.72886297376093,211.11111111111111
1968,236.7816091954023,133.9941690962099,236.7816091954023
1969,269.3486590038314,139.24198250728864,269.3486590038314
1970,308.04597701149424,144.3148688046647,308.04597701149424
1971,283.1417624521073,148.92128279883383,283.1417624521073
1972,276.2452107279694,155.6851311953353,276.2452107279694
1973,285.05747126436785,176.0932944606414,285.05747126436785
1974,328.352490421456,209.32944606413997,328.352490421456
1975,338.3141762452107,228.68804664723032,338.3141762452107
1976,322.98850574712645,239.1836734693877,322.98850574712645
1977,307.2796934865901,254.05925381609276,307.2796934865901
1978,334.48275862068965,273.6323858512309,334.48275862068965
1979,368.96551724137936,308.081098233074,368.96551724137936
1980,457.4712643678161,351.5334513510806,457.4712643678161
1981,542.911877394636,383.63338788870703,542.911877394636
1982,528.352490421456,391.4626407027623,528.352490421456
1983,461.3026819923372,396.55165503189824,461.3026819923372
1984,486.9731800766284,405.9467584087645,486.9731800766284
1985,435.632183908046,403.9894452052507,435.632183908046
1986,345.5938697318008,392.2455659841679,345.5938697318008
1987,359.38697318007667,402.4235946424397,359.38697318007667
1988,372.03065134099626,418.47356291125294,372.03065134099626
1989,354.7892720306514,439.2210828684993,354.7892720306514
1990,357.088122605364,455.2710511373125,357.088122605364
1991,336.0153256704981,456.0539764187179,336.0153256704981
1992,311.87739463601537,458.7942149036373,311.87739463601537
1993,276.6283524904215,465.4490797955842,276.6283524904215
1994,304.9808429118774,471.32101940612574,304.9808429118774
1995,290.8045977011494,488.1539129563444,290.8045977011494
1996,282.37547892720306,499.8977921774273,282.37547892720306
1997,278.1609195402299,499.5063295367244,278.1609195402299
1998,250.19157088122608,486.9795250342361,250.19157088122608
1999,270.11494252873564,491.2856140819665,270.11494252873564
2000,291.95402298850576,519.4709242125654,291.95402298850576
2001,271.264367816092,525.3428638231069,271.264367816092
2002,248.65900383141764,513.2075219613213,248.65900383141764
2003,217.24137931034485,540.6099068105146,217.24137931034485
2004,215.7088122605364,574.2756939109523,215.7088122605364
2005,200.3831417624521,616.162196466148,200.3831417624521
2006,214.176245210728,644.7389692374496,214.176245210728
2007,213.02681992337165,675.6645178529678,213.02681992337165
2008,215.7088122605364,742.2131667724374,215.7088122605364
2009,203.44827586206895,676.8389057750761,203.44827586206895
2010,189.27203065134103,723.0314973780019,189.27203065134103
2011,177.77777777777777,787.231370453255,177.77777777777777
