Year,"Adjustment Credit 1940-2002, Primary Credit 2003+","ERP 2012, Table B-73",Calculated,"FRB, H.15 1966+",Calculated,"ERP2012, B-73",Calculated,"ERP2012, B-73","ERP2012, B-73",Calculated,Calculated,Calculated,"ERP2012, B-73",Calculated,Appendix 6.8A.3,Est using ib Corp Aaa,Ibbotson rbcorplong*100,Ibbotson rbcorp*100,"Adjustment Credit 1940-2002, Primary Credit 2003+ ERP 2012, Table B-73 Calculated FRB, H.15 1966+ Calculated ERP2012, B-73 Calculated ERP2012, B-73 ERP2012, B-73 Calculated Calculated Calculated ERP20",Shiller S&P Composite Stock Price Index,Shiller S&P Composite Stock Price Index,Shiller S&P Composite Stock Price Index,"Adjustment Credit 1940-2002, Primary Credit 2003+ ERP 2012, Table B-73 Calculated FRB, H.15 1966+ Calculated ERP2012, B-73 Calculated ERP2012, B-73 ERP2012, B-73 Calculated Calculated Calculated ERP20",Appendix Table 6.8.II.7 - pIGcorpbea,Calculated_peq / pIGcorpbea,Calculated_dv /pIGcorpbea,Calculated_e / pIGcorpbea,Calculated_(Δpreq + dvr)/preq(-1),Appendix Table 6.8.II.7 - iroprcorp,Appendix Table 6.8.II.7 - iroprcorpnipa,Appendix Table 6.8.II.7 - rcorp,"Shiller (2014, p. 10) discount rate",Calculated_initial value = real peq + adj parameter (6.75),Calculated_final value = real peq + adj parameter (290),Shiller Real P* = PV of Real Dividends w/ Constant r - http://www.econ.yale.edu/~shiller/data.htm,Shiller,Calculated_pstarshiller='= prstarshiller*cpi/cpi2005,Calculated_pstarshiller*100/pIGcorpbea,"Adjustment Credit 1940-2002, Primary Credit 2003+ ERP 2012, Table B-73 Calculated FRB, H.15 1966+ Calculated ERP2012, B-73 Calculated ERP2012, B-73 ERP2012, B-73 Calculated Calculated Calculated ERP20",HP filtered value
,S041A,S041B,S041C,S041D,S041E,S041F,S041G,S041H,S041I,S041J,S041K,S041L,S041M,S041N,S041O,S041P,S041Q,S041R,S041S,S041T,S041U,S041V,S041W,S041X,S041Y,S041Z,S041AA,S041AB,S041AC,S041AD,S041AE,S041AF,S041AG,S041AH,S041AI,S041AJ,S041AK,S041AL,S041AM,S041
1940,1.0,,,,,0.014,,2.5,2.84,2.5,2.84,0.8802816901408451,0.015,1.5,,,,0.0339,,,,1.05,,,,,,,,,,,,,160.21136303394331,13.9,11.677702916475157,,,
1941,1.0,,,,,0.103,,2.1,2.77,2.1,2.77,0.7581227436823105,0.015,1.5,,0.052347887323943604,0.0273,0.0273,,,,1.16,,,,,,,,,,,,,170.67440907365065,14.1,12.619345400831014,,,
1942,1.0,,,,,0.326,,2.36,2.83,2.36,2.83,0.8339222614840989,0.015,1.5,,0.0066393501805053975,0.026000000000000002,0.026000000000000002,,,,1.03,,,,,,,,,,,,,181.82077326480422,15.7,14.968988674658764,,,
1943,1.0,,,,,0.373,,2.06,2.73,2.06,2.73,0.7545787545787546,0.015,1.5,,0.06263568904593643,0.028300000000000002,0.028300000000000002,,,,0.94,,,,,,,,,,,,,193.6950815886263,16.9,17.165426737534265,,,
1944,1.0,,,,,0.375,,1.86,2.72,1.86,2.72,0.6838235294117647,0.015,1.5,,0.030863003663003586,0.0473,0.0473,,,,0.93,,,,,,,,,,,,,206.34487444943161,17.4,18.827481989617777,,,
1945,1.0,,,,,0.375,,1.67,2.62,1.67,2.62,0.6374045801526717,0.015,1.5,,0.06296470588235298,0.0408,0.0408,,,,0.96,,,,,,,,,,,,,219.82079700908562,17.8,20.51814466052294,,,
1946,1.0,,,,,0.375,,1.64,2.53,1.64,2.53,0.6482213438735178,0.015,1.5,,0.059651145038168055,0.0172,0.0172,,,,1.06,,19.91072825877894,,,,,,,,,,,234.17680195178082,18.2,22.34933296026435,112.24769214762493,,
1947,1.0,,,,,0.594,,2.01,2.61,2.01,2.61,0.7701149425287356,0.01625,1.625,0.15326077364318283,-0.005520553359683829,-0.023399999999999997,-0.023399999999999997,,15.21,0.84,1.61,9.4472049689441,23.2917448596751,65.30210635414014,3.6064279643312105,6.912320264968153,,,,0.14374603640540254,0.076,72.05210635414014,72.05624657490677,249.47036549092752,21.5,28.125919549318,120.7548842680837,,
1948,1.34,,,,,1.04,,2.4,2.82,1.7910447761194028,2.104477611940298,0.851063829787234,0.01875,1.875,0.16682196270405938,-0.05225977011494251,0.0414,0.0414,,14.83,0.93,2.29,6.475982532751091,25.34578629720218,58.51071190337079,3.669248959550562,9.035032384269664,-0.04781079302843714,0.31468453732815793,0.341297461611671,0.16396352075207296,0.076,91.0565411461614,91.06198423038441,257.067864294149,23.7,31.94812996209403,126.04907808924695,-0.3624953303565951,-0.026612924283513084
