,"S201, row 16 per year block, Ratio (exports/imports)","S201, row 7 per year block, Ratio (exports/imports)","S201, row 3 per year block, Ratio (exports/imports)","S201, row 6 per year block, Ratio (exports/imports)","S201, row 13 per year block, Ratio (exports/imports)",Composite final series
Year,S060-A,S060-B,S060-C,S060-D,S060-E,S060
1960,1.1988271944291735,1.1222363130523687,0.9580476463343148,1.0929837574893193,1.0046184736173331,1.1988271944291735
1961,1.2667837871753045,1.1488743381798698,1.0038055554180916,1.0810801913050765,0.6503796934971191,1.2667837871753045
1962,1.1795174624599292,1.0702222222222222,0.9987797859239704,1.0044196094588589,0.4692146496815287,1.1795174624599292
1963,1.2043928897481335,1.1153831439611308,1.051561828419986,0.9381995295204746,0.3762256331542594,1.2043928897481335
1964,1.2651433073968286,1.103333174707846,1.0857723769445364,0.9014572814572815,0.407848518842032,1.2651433073968286
1965,1.1514145247541832,1.0170622302975243,0.9827851577949878,0.9799693762579328,0.3075873342696352,1.1514145247541832
1966,1.0588934943233017,1.1095270597560438,0.994325071060844,0.9260736480845932,0.349083638044686,1.0588934943233017
1967,1.0758529544743156,1.2402724345273717,1.0166925465838508,0.927960653208178,0.3958217092109545,1.0758529544743156
1968,0.9635926449787836,1.2263118994826312,1.072563964756274,0.9203980454399544,0.4534569232612678,0.9635926449787836
1969,0.9744205470870746,1.1598306781316703,1.0236325505749424,0.8747243890504015,0.4488873139617293,0.9744205470870746
1970,1.0187847647779769,1.1429544566622034,1.1750314993700126,0.9460302857650632,0.5031303058262447,1.0187847647779769
1971,0.9008522609738944,1.132720189425309,1.1154443904808158,0.9753658102192516,0.5917508568736538,0.9008522609738944
1972,0.8358363630185859,1.1574629009569473,1.057277318640955,0.9796105824965832,0.5588600931570153,0.8358363630185859
1973,0.9626352416680258,1.2308697101694823,1.0697438221524442,0.97167803908579,0.5376599248580743,0.9626352416680258
1974,0.9000615507159796,1.2828988261775187,1.007568236764345,0.8741678178165884,0.4596294951904379,0.9000615507159796
1975,1.0280975812468716,1.2034565363903884,0.94371373575395,0.9842993176598384,0.4728360980288479,1.0280975812468716
1976,0.8814841090741677,1.155404259169202,1.0088338564069688,0.8875248315821834,0.4996045643913382,0.8814841090741677
1977,0.7679149185529671,1.163752488714542,1.0347385755259262,0.9220376942863978,0.5731954832415703,0.7679149185529671
1978,0.7839297808068972,1.1700067348916667,1.046543035939634,0.970440759864186,0.7008486714123859,0.7839297808068972
1979,0.8386230172122848,1.0761559951392456,1.0291656882978857,0.940967582165986,0.7157885219414972,0.8386230172122848
1980,0.8777399459112399,1.0258401506366954,1.0829749201364796,0.860188747785216,0.6080127001267664,0.8777399459112399
1981,0.8732879218004624,1.0738436388700814,1.038803305265714,0.8798789612494109,0.6324400318503036,0.8732879218004624
1982,0.849178449804617,1.1358523850299054,1.2254593311312965,0.8299230102395523,0.6514382510257332,0.849178449804617
1983,0.7619702235825077,1.1081915526861463,1.1845946071092317,0.8935821176470589,0.6759863801100279,0.7619702235825077
1984,0.6466510568392121,1.1222896054162146,1.1604746710957643,0.934791898210248,0.8173462132117029,0.6466510568392121
1985,0.6208169368132258,1.1605484326889102,1.1278587000463791,0.9384697748691584,0.8092199457336142,0.6208169368132258
1986,0.5941971362354628,1.274812439750199,1.0565572514530277,0.964675971005085,0.7760656308209273,0.5941971362354628
1987,0.5987187914513845,1.2885996821936518,1.0602064300687633,0.9362999047180348,0.6962036141511836,0.5987187914513845
1988,0.7016253103626864,1.2908806349738688,1.038984659882354,0.93823391263504,0.6667724479440417,0.7016253103626864
1989,0.7380721493461441,1.2652149409348097,1.017029517830907,0.9299348532513771,0.612451265339261,0.7380721493461441
1990,0.7613189499929398,1.1847477849390298,1.0355798253870372,0.9238377970287528,0.6341374828392013,0.7613189499929398
1991,0.829584371797318,1.0331744924443715,1.0190812777483933,0.9366508613808844,0.6305679317251365,0.829584371797318
1992,0.809070935852095,1.0492743035625098,1.0400194952886386,0.9842721104332368,0.6500071176089646,0.809070935852095
1993,0.7702083726911464,1.1053241510055574,1.044183119358435,1.030250686508991,0.7651399040736682,0.7702083726911464
1994,0.7437838700550626,1.1151443748686265,1.0664465538588526,1.005704127179015,0.7910416515260149,0.7437838700550626
1995,0.7585671438875426,1.1282246791206,1.1437863378580226,1.0188246162592385,0.8034451415914367,0.7585671438875426
1996,0.7604063136765914,1.1425837487439596,1.1525043010076643,1.0210008873114462,0.8375293557340165,0.7604063136765914
1997,0.7665925118462326,1.149929535743779,1.0674585789389837,1.065542781908986,0.8504453553471164,0.7665925118462326
1998,0.7223337036044785,1.1526861511439954,1.0400021352589486,1.053059354122953,0.8203441257538547,0.7223337036044785
1999,0.6567592312920033,1.1464124391021648,1.0829715147331322,1.025674672200352,0.7613337395109252,0.6567592312920033
2000,0.6209147939331374,1.110554153628747,1.1300729640735687,0.9663038592435624,0.7413161509779551,0.6209147939331374
2001,0.6183110296986041,1.1757135772593612,1.14324368320787,0.9781590500930546,0.749672866470929,0.6183110296986041
2002,0.5774751505961357,1.2559395292456257,1.1094197802197805,0.99406033186316,0.7553898752912827,0.5774751505961357
2003,0.5562111968074901,1.2432214294456407,1.1134400966420164,0.9832881123072802,0.7481343999386126,0.5562111968074901
2004,0.536604233726899,1.2704536531042547,1.0878680817772952,0.9569173485541014,0.7069618115539751,0.536604233726899
2005,0.522839555980773,1.2529803547724117,1.0840800716627508,0.911629193150256,0.6640149921597124,0.522839555980773
2006,0.5413069319319319,1.216543086465664,1.0891432661631937,0.904370148032922,0.6543540071097097,0.5413069319319319
