,"Economic Report to the President, Rate (decimal)","Economic Report to the President, Rate (decimal)",Composite final series
Year,S064-A,S064-B,S064
1955,0.05,0.0171556,0.05
1956,0.042,0.034328242,0.042
1957,0.042,0.033208284,0.042
1958,0.052,0.022393119,0.052
1959,0.062,0.011941887,0.062
1960,0.053,0.014044932,0.053
1961,0.066,0.011202242,0.066
1962,0.06,0.013623128,0.06
1963,0.055,0.01066697,0.055
1964,0.055,0.015475964,0.055
1965,0.05,0.018210319,0.05
1966,0.04,0.028335598,0.04
1967,0.038,0.030788801,0.038
1968,0.038,0.042506239,0.038
1969,0.034,0.049387016,0.034
1970,0.035,0.052744369,0.035
