Year,"(IMF, Monetary Survey, DCS, private and Central Bank Credit to Domestic economy)",Economic Report to the President,Economic Report to the President,Calculated,"Calculated using y = -0.061, ln(x) = -0.1619"
,S065A,S065B,S065C,S065D,S065
1948,2232.42770657033,,,,
1949,2227.00127272133,0.04,-0.001932998,0.96,
1950,2341.77276234567,0.066,0.010823562,0.9339999999999999,
1951,2489.6560620475,0.043,0.072047766,0.957,
1952,3245.38929479545,0.031,0.017216048,0.969,
1953,3356.47068158375,0.027000000000000003,0.012132145,0.973,
1954,3575.50712568546,0.045,0.009019772,0.955,
1955,3722.86729311166,0.05,0.0171556,0.95,0.021739668686793445
1956,3829.53179468686,0.042,0.034328242,0.958,0.032375225302624905
1957,3949.28954563791,0.042,0.033208284,0.958,0.032375225302624905
1958,4273.30386315587,0.052000000000000005,0.022393119,0.948,0.019347205184443272
1959,4456.69821117758,0.062,0.011941887,0.938,0.008617874530159775
1960,4625.19388751651,0.053,0.014044932,0.947,0.018185265291230934
1961,4976.7808228899,0.066,0.011202242,0.9339999999999999,0.00480413275429839
1962,5428.56940550032,0.06,0.013623128,0.94,0.010618053722362214
1963,5879.58180780421,0.055,0.01066697,0.945,0.01592574771872962
1964,6331.90132848093,0.055,0.015475964,0.945,0.01592574771872962
1965,6864.57591833993,0.05,0.018210319,0.95,0.021739668686793445
1966,7150.19136861554,0.04,0.028335598,0.96,0.03535142531696023
1967,7652.11320413202,0.038,0.030788801,0.962,0.0384803162746008
1968,8240.76355461854,0.038,0.042506239,0.962,0.0384803162746008
1969,8482.57239824609,0.034,0.049387016,0.966,0.04526508001632451
1970,8808.89441954307,0.035,0.052744369,0.965,0.04349684026705611
1971,9582.83757199402,0.061,0.049993478,0.9390000000000001,0.009609766303338374
1972,10530.8844819266,0.06,0.043127897,0.94,0.010618053722362214
1973,11600.8341813058,0.052000000000000005,0.055467073,0.948,0.019347205184443272
1974,12247.4088897106,0.049,0.090792597,0.951,0.022972033833162125
1975,12784.654758731,0.07200000000000001,0.094511644,0.9279999999999999,-0.000503561242069045
1976,13802.5957278645,0.0819999999999999,0.057392868,0.9180000000000001,-0.008436802065208998
1977,15061.7923623104,0.078,0.063754652,0.922,-0.005386166410154769
1978,16315.6252750584,0.064,0.070161027,0.9359999999999999,0.006681203932970364
1979,17516.901354776,0.06,0.083190634,0.94,0.010618053722362214
1980,18369.880306714,0.06,0.091172435,0.94,0.010618053722362214
1981,19366.099199411,0.07200000000000001,0.093718662,0.9279999999999999,-0.000503561242069045
1982,20006.2701898297,0.085,0.061000925,0.915,-0.010628654627998946
1983,21823.2093231734,0.10800000000000001,0.039545474,0.892,-0.02523693283666706
1984,24273.1892482209,0.083,0.037566941,0.917,-0.00917620505768213
1985,26560.4663046396,0.073,0.030269484,0.927,-0.0013449538921415094
1986,28088.7434865997,0.07,0.022104672,0.9299999999999999,0.0012148622528994346
1987,28901.347349101,0.066,0.029027572,0.9339999999999999,0.00480413275429839
1988,30192.6784965767,0.057,0.034349512,0.943,0.013746944680002787
1989,30618.1046105159,0.053,0.0377604,0.947,0.018185265291230934
1990,30226.7244119516,0.054000000000000006,0.038587852,0.946,0.017045045177489615
1991,30067.2360027226,0.063,0.035450216,0.937,0.007641853708026863
1992,30153.296124273,0.073,0.02370956,0.927,-0.0013449538921415094
1993,30894.140866873,0.07400000000000001,0.022093664,0.9259999999999999,-0.0021748986675440285
1994,32050.4898669271,0.065,0.021071545,0.935,0.00573544855427649
1995,33780.6566694884,0.055,0.020830881,0.945,0.01592574771872962
1996,35278.2377578522,0.0559999999999999,0.019044097,0.9440000000000001,0.014826618883066384
1997,37055.921993881,0.054000000000000006,0.017654513,0.946,0.017045045177489615
1998,38981.9354557538,0.047,0.011297664,0.953,0.02551406831359676
1999,40619.8696974915,0.044000000000000004,0.01471226,0.956,0.029537504348896404
2000,43263.0047060308,0.04,0.021649561,0.96,0.03535142531696023
2001,44739.2961999248,0.039,0.022592894,0.961,0.036895811604001905
2002,46557.0711637892,0.057,0.016191383,0.943,0.013746944680002787
2003,48756.5012627124,0.06,0.021529549,0.94,0.010618053722362214
2004,52938.4739587926,0.057,0.028373158,0.943,0.013746944680002787
2005,57167.4256630056,0.054000000000000006,0.033371953,0.946,0.017045045177489615
2006,61469.6687534669,0.049,0.03231283,0.951,0.022972033833162125
2007,66396.6001410621,0.044000000000000004,0.029014997,0.956,0.029537504348896404
2008,67374.419102063,0.05,0.022178854,0.95,0.021739668686793445
2009,64762.2192523776,0.073,0.010552285,0.927,-0.0013449538921415094
2010,66553.4248711733,0.099,0.011512646,0.901,-0.01992923884029965
