,"IMF, Monetary Survey, DCS, private and Central Bank Credit to Domestic economy, USD per capita","Economic Report to the President, Rate (decimal)","Economic Report to the President, Rate (decimal)","Derived from S067-B, complement. Formula: 1 - unemployment_rate","Derived from S067-B, fitted_curve. Formula: y = -0.061 * ln(x) - 0.1619",Composite final series
Year,S067-A,S067-B,S067-C,S067-D,S067-E,S067
1955,3722.86729311166,0.05,0.0171556,0.95,0.0217396686867934,3722.86729311166
1956,3829.53179468686,0.042,0.034328242,0.958,0.0323752253026249,3829.53179468686
1957,3949.28954563791,0.042,0.033208284,0.958,0.0323752253026249,3949.28954563791
1958,4273.30386315587,0.052,0.022393119,0.948,0.0193472051844432,4273.30386315587
1959,4456.69821117758,0.062,0.011941887,0.938,0.0086178745301597,4456.69821117758
1960,4625.19388751651,0.053,0.014044932,0.947,0.0181852652912309,4625.19388751651
1961,4976.7808228899,0.066,0.011202242,0.934,0.0048041327542983,4976.7808228899
1962,5428.56940550032,0.06,0.013623128,0.94,0.0106180537223622,5428.56940550032
1963,5879.58180780421,0.055,0.01066697,0.945,0.0159257477187296,5879.58180780421
1964,6331.90132848093,0.055,0.015475964,0.945,0.0159257477187296,6331.90132848093
1965,6864.57591833993,0.05,0.018210319,0.95,0.0217396686867934,6864.57591833993
1966,7150.19136861554,0.04,0.028335598,0.96,0.0353514253169602,7150.19136861554
1967,7652.11320413202,0.038,0.030788801,0.962,0.0384803162746008,7652.11320413202
1968,8240.76355461854,0.038,0.042506239,0.962,0.0384803162746008,8240.76355461854
1969,8482.57239824609,0.034,0.049387016,0.966,0.0452650800163245,8482.57239824609
1970,8808.89441954307,0.035,0.052744369,0.965,0.0434968402670561,8808.89441954307
1971,9582.83757199402,0.061,0.049993478,0.939,0.0096097663033383,9582.83757199402
1972,10530.8844819266,0.06,0.043127897,0.94,0.0106180537223622,10530.8844819266
1973,11600.8341813058,0.052,0.055467073,0.948,0.0193472051844432,11600.8341813058
1974,12247.4088897106,0.049,0.090792597,0.951,0.0229720338331621,12247.4088897106
1975,12784.654758731,0.072,0.094511644,0.928,-0.000503561242069,12784.654758731
1976,13802.5957278645,0.0819999999999999,0.057392868,0.918,-0.0084368020652089,13802.5957278645
1977,15061.7923623104,0.078,0.063754652,0.922,-0.0053861664101547,15061.7923623104
1978,16315.6252750584,0.064,0.070161027,0.936,0.0066812039329703,16315.6252750584
1979,17516.901354776,0.06,0.083190634,0.94,0.0106180537223622,17516.901354776
1980,18369.880306714,0.06,0.091172435,0.94,0.0106180537223622,18369.880306714
1981,19366.099199411,0.072,0.093718662,0.928,-0.000503561242069,19366.099199411
1982,20006.2701898297,0.085,0.061000925,0.915,-0.0106286546279989,20006.2701898297
1983,21823.2093231734,0.108,0.039545474,0.892,-0.025236932836667,21823.2093231734
1984,24273.1892482209,0.083,0.037566941,0.917,-0.0091762050576821,24273.1892482209
1985,26560.4663046396,0.073,0.030269484,0.927,-0.0013449538921415,26560.4663046396
1986,28088.7434865997,0.07,0.022104672,0.93,0.0012148622528994,28088.7434865997
1987,28901.347349101,0.066,0.029027572,0.934,0.0048041327542983,28901.347349101
1988,30192.6784965767,0.057,0.034349512,0.943,0.0137469446800027,30192.6784965767
1989,30618.1046105159,0.053,0.0377604,0.947,0.0181852652912309,30618.1046105159
1990,30226.7244119516,0.054,0.038587852,0.946,0.0170450451774896,30226.7244119516
1991,30067.2360027226,0.063,0.035450216,0.937,0.0076418537080268,30067.2360027226
1992,30153.296124273,0.073,0.02370956,0.927,-0.0013449538921415,30153.296124273
1993,30894.140866873,0.074,0.022093664,0.926,-0.002174898667544,30894.140866873
1994,32050.4898669271,0.065,0.021071545,0.935,0.0057354485542764,32050.4898669271
1995,33780.6566694884,0.055,0.020830881,0.945,0.0159257477187296,33780.6566694884
1996,35278.2377578522,0.0559999999999999,0.019044097,0.944,0.0148266188830663,35278.2377578522
1997,37055.921993881,0.054,0.017654513,0.946,0.0170450451774896,37055.921993881
1998,38981.9354557538,0.047,0.011297664,0.953,0.0255140683135967,38981.9354557538
1999,40619.8696974915,0.044,0.01471226,0.956,0.0295375043488964,40619.8696974915
2000,43263.0047060308,0.04,0.021649561,0.96,0.0353514253169602,43263.0047060308
2001,44739.2961999248,0.039,0.022592894,0.961,0.0368958116040019,44739.2961999248
2002,46557.0711637892,0.057,0.016191383,0.943,0.0137469446800027,46557.0711637892
2003,48756.5012627124,0.06,0.021529549,0.94,0.0106180537223622,48756.5012627124
2004,52938.4739587926,0.057,0.028373158,0.943,0.0137469446800027,52938.4739587926
2005,57167.4256630056,0.054,0.033371953,0.946,0.0170450451774896,57167.4256630056
2006,61469.6687534669,0.049,0.03231283,0.951,0.0229720338331621,61469.6687534669
2007,66396.6001410621,0.044,0.029014997,0.956,0.0295375043488964,66396.6001410621
2008,67374.419102063,0.05,0.022178854,0.95,0.0217396686867934,67374.419102063
2009,64762.2192523776,0.073,0.010552285,0.927,-0.0013449538921415,64762.2192523776
2010,66553.4248711733,0.099,0.011512646,0.901,-0.0199292388402996,66553.4248711733
