,"Economic Report to the President, Rate (decimal)","Economic Report to the President, Rate (decimal)","IMF, Monetary Survey, DCS, private and Central Bank Credit to Domestic economy, USD per capita",Composite final series
Year,S066-A,S066-B,S066-C,S066
1971,0.061,0.049993478,9582.83757199402,0.061
1972,0.06,0.043127897,10530.8844819266,0.06
1973,0.052,0.055467073,11600.8341813058,0.052
1974,0.049,0.090792597,12247.4088897106,0.049
1975,0.072,0.094511644,12784.654758731,0.072
1976,0.0819999999999999,0.057392868,13802.5957278645,0.0819999999999999
1977,0.078,0.063754652,15061.7923623104,0.078
1978,0.064,0.070161027,16315.6252750584,0.064
1979,0.06,0.083190634,17516.901354776,0.06
1980,0.06,0.091172435,18369.880306714,0.06
1981,0.072,0.093718662,19366.099199411,0.072
