model,year,matrix_size,r_obs,r_obs_over_R,constant_capital,variable_capital,surplus_value,value_added,rate_surplus_value,rate_profit,max_rate_profit_R
circulating,1947,71,0.32,0.32,1.02,0.99,0.98,1.00,1.03,0.97,0.97
circulating,1958,71,0.32,0.30,1.02,0.98,0.98,0.98,1.00,0.96,0.96
circulating,1963,71,0.36,0.35,1.03,0.97,0.97,0.97,1.00,0.94,0.94
circulating,1967,71,0.40,0.39,1.04,0.97,0.97,0.97,1.00,0.94,0.94
circulating,1972,71,0.36,0.35,1.03,0.96,0.98,0.97,1.02,0.95,0.94
circulating,1998,65,0.23,0.22,1.02,0.99,0.98,0.98,0.99,0.96,0.96
fixed,1947,71,0.24,0.29,1.02,0.98,0.98,0.98,0.99,1.04,1.04
fixed,1958,71,0.18,0.26,1.03,0.99,0.96,0.97,0.97,1.04,1.06
fixed,1963,71,0.21,0.28,1.04,0.98,0.95,0.97,0.97,1.05,1.07
fixed,1967,71,0.23,0.31,1.04,0.99,0.94,0.97,0.96,1.05,1.08
fixed,1972,71,0.19,0.28,1.03,0.98,0.96,0.97,0.97,1.04,1.06
fixed,1998,65,0.11,0.27,1.03,1.01,0.98,0.96,1.00,0.98,1.00
