shift,N,shift_hours_h,H,HMK,XR,xr_prime,mkn,xr,mkh_prime,mkh,mk,a,l_prime,l
,0,0,0,0,0,,,,,,,,,
Shift_1,1,1,1,14,2.84,2.84,14,2.84,14.00,14,4.930,0.30,0.352,0.3521
Shift_1,1,2,2,28,7.36,7.36,14,3.68,7.00,14,1.902,0.30,0.136,0.2717
Shift_1,1,3,3,42,13.32,13.32,14,4.44,4.67,14,1.051,0.30,0.075,0.2252
Shift_1,1,4,4,56,20.48,20.48,14,5.12,3.50,14,0.684,0.30,0.049,0.1953
Shift_1,1,5,5,70,28.60,28.60,14,5.72,2.80,14,0.490,0.30,0.035,0.1748
Shift_1,1,6,6,84,37.44,37.44,14,6.24,2.33,14,0.374,0.30,0.027,0.1603
Shift_1,1,7,7,98,46.76,46.76,14,6.68,2.00,14,0.299,0.30,0.021,0.1497
Shift_1,1,8,8,112,56.32,56.32,14,7.04,1.75,14,0.249,0.30,0.018,0.1420
Shift_2,2,1,9,126,59.16,29.58,7,6.57,1.56,14,0.237,0.30,0.034,0.1521
Shift_2,2,2,10,140,63.68,31.84,7,6.37,1.40,14,0.220,0.30,0.031,0.1570
Shift_2,2,3,11,154,69.64,34.82,7,6.33,1.27,14,0.201,0.30,0.029,0.1580
Shift_2,2,4,12,168,76.80,38.40,7,6.40,1.17,14,0.182,0.30,0.026,0.1563
Shift_2,2,5,13,182,84.92,42.46,7,6.53,1.08,14,0.165,0.30,0.024,0.1531
Shift_2,2,6,14,196,93.76,46.88,7,6.70,1.00,14,0.149,0.30,0.021,0.1493
Shift_2,2,7,15,210,103.08,51.54,7,6.87,0.93,14,0.136,0.30,0.019,0.1455
Shift_2,2,8,16,224,112.64,56.32,7,7.04,0.88,14,0.124,0.30,0.018,0.1420
Shift_3,3,1,17,238,115.48,38.49,4.67,6.79,0.82,14,0.121,0.30,0.026,0.1472
Shift_3,3,2,18,252,120.00,40.00,4.67,6.67,0.78,14,0.117,0.30,0.025,0.1500
Shift_3,3,3,19,266,125.96,41.99,4.67,6.63,0.74,14,0.111,0.30,0.024,0.1508
Shift_3,3,4,20,280,133.12,44.37,4.67,6.66,0.70,14,0.105,0.30,0.023,0.1502
