study,study_year,estimate_year,misalignment_pct,source_paper,methodology,paper_text_anchor,extraction_note
Cline_Williamson,2007,2007,50.0,Cline-Williamson 2007 PIIE,extended_PPP,"paper p. 442 ('a high of 50% (Coudert and Couharde 2007)')",headline_high_named_in_paper_text
Cheung,2012,2009,-36.0,Cheung 2012 CESifo WP 3797,extended_PPP,"paper p. 442 ('a low of -36% (Cheung 2012)')",headline_low_named_in_paper_text
