Industry,"Table 28.   Changes in output per man-hour and related quantities for twenty-seven industries, Unite; Column: Output","Table 28.   Changes in output per man-hour and related quantities for twenty-seven industries, Unite; Column: Man-hours","Table 28.   Changes in output per man-hour and related quantities for twenty-seven industries, Unite; Column: Output per man-hour","Table 28.   Changes in output per man-hour and related quantities for twenty-seven industries, Unite; Column: Hourly earnings","Table 28.   Changes in output per man-hour and related quantities for twenty-seven industries, Unite; Column: Unit labour cost","Table 28.   Changes in output per man-hour and related quantities for twenty-seven industries, Unite; Column: Whole sale price","Table 28.   Changes in output per man-hour and related quantities for twenty-seven industries, Unite; Column: ULC/Price","Table 28.   Changes in output per man-hour and related quantities for twenty-seven industries, Unite; Column: Notes","Table 28.   Changes in output per man-hour and related quantities for twenty-seven industries, Unite; Column: ","Table 28.   Changes in output per man-hour and related quantities for twenty-seven industries, Unite; Column: "
,FPR007_C1,FPR007_C2,FPR007_C3,FPR007_C4,FPR007_C5,FPR007_C6,FPR007_C7,FPR007_C8,FPR007_C9,FPR007_C10
1. Rayon and allied products,3602.0,296.0,1217.0,339.0,28.0,32.0,1.1428571428571428,,,
2. Electricity,564.0,168.0,335.0,281.0,84.0,61.0,0.7261904761904762,,,
3. Petroleum refining,383.0,132.0,290.0,302.0,104.0,138.0,1.3269230769230769,,,
4. Glass products,326.0,137.0,238.0,296.0,125.0,97.0,0.776,,,
5. Rubber tyres and tubes,319.0,102.0,312.0,275.0,88.0,65.0,0.7386363636363636,,,
6.  Paint and varnishes,306.0,167.0,183.0,289.0,158.0,139.0,0.879746835443038,,,
7. Pulp and paper mills,296.0,161.0,184.0,285.0,155.0,159.0,1.0258064516129033,,,
8. Canning and preserving,287.0,144.0,200.0,318.0,159.0,,,,,
9. Fertilisers,240.0,121.0,198.0,309.0,157.0,97.0,0.6178343949044586,,,
10. Iron and steel,240.0,88.0,273.0,294.0,107.0,147.0,1.3738317757009346,,,
11. Icecream,225.0,66.0,341.0,227.0,67.0,85.0,1.2686567164179106,,,
12. Confectionery,202.0,79.0,256.0,292.0,114.0,,,,,
13. Hosiery,173.0,100.0,172.0,343.0,199.0,,,,,
"14. Bread, etc.",171.0,146.0,117.0,258.0,220.0,170.0,0.7727272727272727,,,
15. Cement,163.0,70.0,234.0,263.0,112.0,127.0,1.1339285714285714,,,
16. Cotton goods,146.0,72.0,203.0,310.0,152.0,168.0,1.105263157894737,,,
17. Meat packing,143.0,,125.0,270.0,216.0,299.0,1.3842592592592593,,,
18. Footwear,140.0,83.0,168.0,213.0,127.0,193.0,1.5196850393700787,,,
19. Coke,130.0,101.0,131.0,218.0,167.0,191.0,1.1437125748502994,,,
20. Cane sugar refining,125.0,79.0,158.0,281.0,177.0,128.0,0.7231638418079096,,,
21. Non-ferrous metals,122.0,68.0,180.0,256.0,142.0,140.0,0.9859154929577465,,,
22. Woollen and worsted,,55.0,214.0,295.0,137.0,151.0,1.102189781021898,,,
23. Tobacco products,108.0,37.0,289.0,309.0,107.0,32.0,0.29906542056074764,,,
24. Leather,92.0,56.0,164.0,278.0,169.0,181.0,1.0710059171597632,,,
"25. Flour, etc.",90.0,70.0,130.0,266.0,205.0,175.0,0.8536585365853658,,,
26. Bituminous coal,88.0,53.0,167.0,252.0,151.0,171.0,1.1324503311258278,,,
27. Clay construction products,79.0,52.0,154.0,213.0,138.0,163.0,1.181159420289855,,,
Median,171.0,88.0,198.0,281.0,142.0,139.0,0.9788732394366197,,,
Upper quartile,296.0,137.0,256.0,302.0,167.0,171.0,1.0239520958083832,,,
Lower quartile,122.0,68.0,164.0,258.0,107.0,85.0,0.794392523364486,,,
