Index,"Table 7.4: Age and Labor Productivity of Plants in Existence - Source: Salter 1969, Table 9, p.98; Column: Construction Date of Plant","Table 7.4: Age and Labor Productivity of Plants in Existence - Source: Salter 1969, Table 9, p.98; Column: Labor Productivity (tons per man-hr)","Table 7.4: Age and Labor Productivity of Plants in Existence - Source: Salter 1969, Table 9, p.98; Column: Relative to Oldest","Table 7.4: Age and Labor Productivity of Plants in Existence - Source: Salter 1969, Table 9, p.98; Column: ","Table 7.4: Age and Labor Productivity of Plants in Existence - Source: Salter 1969, Table 9, p.98; Column: Construction Date of Plant","Table 7.4: Age and Labor Productivity of Plants in Existence - Source: Salter 1969, Table 9, p.98; Column: Labor Productivity (barrels per man-hr)","Table 7.4: Age and Labor Productivity of Plants in Existence - Source: Salter 1969, Table 9, p.98; Column: Relative to Oldest","Table 7.4: Age and Labor Productivity of Plants in Existence - Source: Salter 1969, Table 9, p.98; Column: Labor Productivity (barrels per man-hr)","Table 7.4: Age and Labor Productivity of Plants in Existence - Source: Salter 1969, Table 9, p.98; Column: Relative to Oldest"
,FPR007_C1,FPR007_C2,FPR007_C3,FPR007_C4,FPR007_C5,FPR007_C6,FPR007_C7,FPR007_C8,FPR007_C9
1,,0.4807692307692307,1.0,1.0,,1.8148820326678765,1.0,1.8083182640144666,1.0
2,,0.5747126436781609,1.1954022988505748,1.1954022988505748,,2.237136465324385,1.232662192393736,1.8018018018018018,0.9963963963963964
3,,0.7042253521126761,1.4647887323943665,1.4647887323943665,,2.3529411764705883,1.2964705882352943,2.331002331002331,1.289044289044289
4,,0.7936507936507936,1.650793650793651,1.650793650793651,,2.444987775061125,1.3471882640586799,2.9940119760479043,1.655688622754491
