Industry (1958 S.I.C.) ranked according to increases in output,Table 33.  Changes over the period 1954-63 for selected United Kingdom industries - (Index numbers 1; Column: Gross output,Table 33.  Changes over the period 1954-63 for selected United Kingdom industries - (Index numbers 1; Column: Total employment,Table 33.  Changes over the period 1954-63 for selected United Kingdom industries - (Index numbers 1; Column: Output per head,Table 33.  Changes over the period 1954-63 for selected United Kingdom industries - (Index numbers 1; Column: Output per operative,Table 33.  Changes over the period 1954-63 for selected United Kingdom industries - (Index numbers 1; Column: Earnings per operative,Table 33.  Changes over the period 1954-63 for selected United Kingdom industries - (Index numbers 1; Column: Unit wage cost,Table 33.  Changes over the period 1954-63 for selected United Kingdom industries - (Index numbers 1; Column: Unit labour cost,Table 33.  Changes over the period 1954-63 for selected United Kingdom industries - (Index numbers 1; Column: Unit gross margin cost,Table 33.  Changes over the period 1954-63 for selected United Kingdom industries - (Index numbers 1; Column: Unit material cost,Table 33.  Changes over the period 1954-63 for selected United Kingdom industries - (Index numbers 1; Column: Net price,Table 33.  Changes over the period 1954-63 for selected United Kingdom industries - (Index numbers 1; Column: (selling price) Gross price,Table 33.  Changes over the period 1954-63 for selected United Kingdom industries - (Index numbers 1; Column: price/uls,Table 33.  Changes over the period 1954-63 for selected United Kingdom industries - (Index numbers 1; Column: ,Table 33.  Changes over the period 1954-63 for selected United Kingdom industries - (Index numbers 1; Column: ,Table 33.  Changes over the period 1954-63 for selected United Kingdom industries - (Index numbers 1; Column: 
,FPR007_C1,FPR007_C2,FPR007_C3,FPR007_C4,FPR007_C5,FPR007_C6,FPR007_C7,FPR007_C8,FPR007_C9,FPR007_C10,FPR007_C11,FPR007_C12,FPR007_C13,FPR007_C14,FPR007_C15
1.  Electricity,209.5,118.0,177.5,179.8,172.5,95.9,98.2,163.6,102.0,136.5,114.5,0.8576419213973799,,,
2. Chemicals (general)*,186.9,117.2,159.5,171.9,153.4,89.2,99.7,140.5,91.1,123.8,106.5,0.936150234741784,,,
3. Toilet preparations*,155.3,146.2,106.2,109.1,159.7,146.4,149.8,148.4,121.6,148.7,139.3,1.0753768844221105,,,
"4. Fertilisers, etc.",154.3,100.5,153.5,171.3,164.2,95.9,110.8,127.8,93.7,120.4,101.9,1.087340529931305,,,
5. Misc. paper manufactures,147.1,109.3,134.6,139.0,162.8,117.1,118.7,136.0,100.3,127.1,113.0,1.0504424778761061,,,
6. Glass,146.8,111.0,132.3,140.6,160.1,113.8,124.0,128.3,115.7,125.8,119.5,1.0376569037656904,,,
7. Paper and board,139.4,120.5,115.7,121.1,156.3,129.1,133.9,87.1,99.5,105.0,103.9,1.2887391722810395,,,
8. Hosiery and knitted goods,136.0,98.6,137.9,142.0,145.9,102.8,105.4,101.1,870.0,103.5,94.7,1.1129883843717001,,,
"9. Linoleum, leathercloth, etc.",135.9,120.5,112.8,123.3,167.5,135.8,141.2,183.4,107.0,161.9,126.9,1.1126871552403466,,,
10. Wire and wire manufactures,132.9,112.2,118.4,122.0,163.4,133.9,136.9,130.2,110.5,133.9,117.8,1.1621392190152802,,,
11. Rubber,126.5,108.7,116.4,124.6,170.7,137.0,145.7,151.3,102.1,148.3,124.0,1.1749999999999998,,,
12. Non-ferrous metals,125.9,102.6,122.7,125.8,155.4,123.6,129.8,131.3,94.8,130.4,103.8,1.2504816955684008,,,
13. Steel tubes,125.7,119.3,105.4,107.5,153.0,142.3,147.5,142.2,130.3,145.0,134.1,1.0999254287844893,,,
14. Brewing and malting,123.4,111.1,111.1,112.6,179.9,159.8,154.6,160.2,119.3,158.5,136.5,1.1326007326007326,,,
15. Paint and printing ink,122.8,94.4,130.1,140.2,157.3,112.2,171.0,115.0,93.2,115.9,103.2,1.6569767441860466,,,
16. Cement,117.2,111.9,104.7,108.7,160.4,147.5,154.3,133.6,111.3,140.2,123.8,1.2463651050080777,,,
17. Footwear,113.2,,133.5,135.7,159.5,117.5,118.6,128.4,88.2,122.3,102.6,1.1559454191033138,,,
18. Iron and steel (general),109.6,103.7,105.7,112.1,155.7,139.0,148.1,116.4,128.7,132.4,128.6,1.1516329704510109,,,
"19. Bricks, fireclay, etc.",106.1,84.6,125.4,128.0,,118.2,122.1,147.9,114.6,131.0,121.9,1.0016406890894174,,,
20. Dyestuffs,105.6,83.8,126.0,129.9,153.3,118.0,120.1,130.7,88.9,125.5,104.7,1.1470869149952243,,,
21.  Cutlery,103.6,95.2,108.8,115.8,160.0,138.2,149.7,87.4,110.5,108.6,110.4,1.355978260869565,,,
22. Jute,101.0,89.8,112.5,114.9,157.7,137.2,141.7,108.7,95.0,127.1,110.7,1.2800361336946702,,,
23. Cocoa and confectionery,97.5,,104.1,108.6,164.9,151.9,155.3,126.3,82.1,138.8,106.7,1.4554826616682288,,,
24. Brushes and brooms,93.3,79.3,117.7,128.5,162.0,126.0,133.4,144.8,124.4,138.4,133.4,1.0,,,
25. Coal mining,86.9,77.4,112.3,114.8,139.2,121.3,125.8,253.3,153.0,146.7,150.4,0.836436170212766,,,
26. Coke ovens,86.4,,95.5,98.9,159.7,161.6,165.6,123.0,169.9,142.6,163.0,1.0159509202453987,,,
27. Leather,85.9,71.8,119.6,118.3,150.3,127.0,122.9,154.1,105.5,135.3,112.3,1.0943900267141586,,,
"28. Cotton spinning, etc.",69.2,55.0,125.8,129.1,150.7,116.8,121.5,92.2,90.2,110.1,98.3,1.2360122075279756,,,
Median,122.7,101.6,118.1,124.0,159.6,126.5,133.7,131.0,103.8,131.7,113.8,1.1748681898066784,,,
Upper quartile,143.1,114.7,132.9,139.6,163.8,140.7,149.8,149.9,120.5,143.8,131.0,1.1435114503816795,,,
Lower quartile,102.3,87.3,,113.7,153.4,117.0,120.8,119.7,93.5,123.1,104.3,1.1581975071907957,,,
