"Size of
adjusted gross income","IRS2011; Column: Number
of
returns",IRS2011; Column: Bin,IRS2011; Column: Frequency,IRS2011; Column: Cumulative Frequency from Below,IRS2011; Column: Cumulative Frequency from Above
,FPR017_C1,FPR017_C2,FPR017_C3,FPR017_C4,FPR017_C5
Total,145370240.0,,1.0,,
"Under $2,000",6488963.0,1000.0,0.044637492515662076,0.044637492515662076,0.9553625074843379
"$2,000 under $4,000",4402111.0,3000.0,0.030282064609647753,0.07491955712530983,0.9250804428746902
"$4,000 under $6,000",4464759.0,5000.0,0.030713019391039046,0.10563257651634887,0.8943674234836512
"$6,000 under $8,000",4797750.0,7000.0,0.03300366017143536,0.13863623668778424,0.8613637633122158
"$8,000 under $10,000",5376896.0,9000.0,0.03698759801180764,0.1756238346995919,0.8243761653004081
"$10,000 under $12,000",5121146.0,11000.0,0.035228297070982344,0.21085213177057424,0.7891478682294257
"$12,000 under $14,000",5245984.0,13000.0,0.03608705605769104,0.2469391878282653,0.7530608121717347
"$14,000 under $16,000",5132336.0,15000.0,0.035305272936193816,0.2822444607644591,0.7177555392355409
"$16,000 under $18,000",4767240.0,17000.0,0.03279378227620729,0.31503824304066635,0.6849617569593336
"$18,000 under $20,000",4539183.0,19000.0,0.031224981124059505,0.3462632241647259,0.6537367758352741
"$20,000 under $25,000",10210706.0,22500.0,0.07023931445665908,0.416502538621385,0.583497461378615
"$25,000 under $30,000",8987613.0,27500.0,0.061825673535381105,0.4783282121567661,0.521671787843234
"$30,000 under $40,000",14520079.0,35000.0,0.09988343556425304,0.5782116477210191,0.4217883522789809
"$40,000 under $50,000",10983973.0,45000.0,0.07555860814428042,0.6537702558652995,0.34622974413470053
"$50,000 under $75,000",18949278.0,62500.0,0.13035183817540646,0.7841220940407059,0.21587790595929413
"$75,000 under $100,000",11926401.0,87500.0,0.08204155816211076,0.8661636522028167,0.13383634779718334
"$100,000 under $200,000",14755766.0,150000.0,0.1015047233876755,0.9676683755904921,0.032331624409507875
"$200,000 under $500,000",3801641.0,350000.0,0.02615143924918883,0.993819814839681,0.0061801851603190405
"$500,000 under $1,000,000",597525.0,750000.0,0.00411036674356457,0.9979301815832455,0.0020698184167544653
"$1,000,000 under $1,500,000",134907.0,1250000.0,0.0009280235074249035,0.9988582050906705,0.0011417949093295299
"$1,500,000 under $2,000,000",55986.0,1750000.0,0.0003851269695915753,0.9992433320602621,0.0007566679397379428
"$2,000,000 under $5,000,000",79363.0,3500009.0,0.0005459370501142462,0.9997892691103764,0.00021073088962364483
"$5,000,000 under $10,000,000",19189.0,7500000.0,0.00013200088271161966,0.999921269993088,7.873000691205334e-05
"$10,000,000 or more",11445.0,,7.87300069120062e-05,1.0,0.0
