,"IRS SOI 2011, income brackets below $200,000, Proportion","IRS SOI 2011, survival function for bottom 97% (EPTC exponential), Probability",Composite final series
Year,S103-A,S103-B,S103
1000,0.044637492515662,0.955362507484338,0.044637492515662
3000,0.0302820646096477,0.9250804428746902,0.0302820646096477
5000,0.030713019391039,0.8943674234836512,0.030713019391039
7000,0.0330036601714353,0.8613637633122158,0.0330036601714353
9000,0.0369875980118076,0.8243761653004081,0.0369875980118076
11000,0.0352282970709823,0.7891478682294257,0.0352282970709823
13000,0.036087056057691,0.7530608121717347,0.036087056057691
15000,0.0353052729361938,0.7177555392355409,0.0353052729361938
17000,0.0327937822762072,0.6849617569593336,0.0327937822762072
19000,0.0312249811240595,0.6537367758352741,0.0312249811240595
22500,0.070239314456659,0.583497461378615,0.070239314456659
27500,0.0618256735353811,0.521671787843234,0.0618256735353811
35000,0.099883435564253,0.4217883522789809,0.099883435564253
45000,0.0755586081442804,0.3462297441347005,0.0755586081442804
62500,0.1303518381754064,0.2158779059592941,0.1303518381754064
87500,0.0820415581621107,0.1338363477971833,0.0820415581621107
150000,0.1015047233876755,0.0323316244095078,0.1015047233876755
