Year,Adjustment Ratio 1925-1947; Source: Appendix 6.8B4 (KNHcorpirsIndx),"Net Historical-Cost Capital Stock, using BEA 1993 depreciation rate and initial value,adjusted for interwar period; Source: Adj. ratio applied to initial stock until 1947, KNH GPIM rule thereafter","Net Current-Cost Capital Stock, using BEA 1993 depreciation rate and initial value,adjusted for interwar period; Source: Adj. ratio applied to initial stock until 1947, KNC GPIM rule thereafter","Gross Current-Cost Capital Stock, using BEA 1993 depreciation rate and initial value, adjusted for interwar period; Source: Adj. ratio applied to initial stock until 1947, KGC GPIM rule thereafter",Ratio of new net stock to BEA,Ratio of new gross stock to BEA,"BEA FA T6.1 extension data, post-2011",Spliced Shaikh S213A + BEA FA (post-2011). Note: Full GPIM recalculation in Table68II1.
,S213A,S213B,S213C,S213D,S213E,S213F,S213A_EXT,S213A_COMBINED
1925,1.0,57.457,77.77,141.919,0.7927624872579001,1.4466768603465854,,
1926,1.0447976878612717,60.03094075144509,81.25391618497109,148.27664306358383,0.8043477992839094,1.46781837889383,,
1927,1.124312145366746,64.59960293633712,87.43775554517183,159.56125535830324,0.8530574420097264,1.5567064306619312,,
1928,1.1777288908696149,67.66876888269546,91.59197584292994,167.1421064633249,0.8740524304899298,1.595019247559475,,
1929,1.2475263431261716,71.67912109700045,97.02012370492236,177.04769109012315,0.9355052896893084,1.7071618259922459,,
1930,1.296250642874878,74.47867318766185,100.80941249637925,183.96259498615981,1.021397724640196,1.8639030948079205,,
1931,1.2245676416394793,70.35998298567957,95.23462549030229,173.78941513383327,1.075605242566381,1.9628239735087853,,
1932,1.1629658994330017,66.82053168372198,90.44385799890453,165.04695748163218,1.096093030591803,2.0002112229466134,,
1933,1.124451418870865,64.6076051740633,87.44858684558716,159.5810209147343,1.0488210866930046,1.9139467635641576,,
1934,1.1008070632100482,63.249071430859736,85.60976530584544,156.22543760370684,1.0151823893528038,1.8525610070021934,,
1935,1.0764770533751071,61.85114205577353,83.71762044098207,152.77254693794185,0.9979668115061707,1.8211450677914913,,
1936,1.0485473591260137,60.24638561330337,81.54552811923008,148.80879265980474,0.8853240978068013,1.615588409883547,,
1937,1.0747629179397966,61.7526529760669,83.58431212817798,152.529278551098,0.877049193302159,1.6004879061881074,,
1938,1.0638245911932203,61.12416953618886,82.73363845709673,150.97692215755063,0.8802689037436613,1.6063634119891563,,
1939,1.0737558633715516,61.69479064173924,83.50599349440556,152.38635837382725,0.884691277090983,1.6144336036193294,,
1940,1.0736273032139032,61.68740396076124,83.49599537094525,152.36811324481394,0.8338999073308118,1.5217467011505914,,
1941,1.078812562905718,61.98533342687384,83.89925301717768,153.1040001150166,0.7484561796393966,1.3658242581746627,,
1942,1.0688920040738574,61.41532787807163,83.12773115682388,151.69608432615777,0.6993882561367799,1.2762823958168406,,
1943,1.0469939238877635,60.15712988481923,81.42471746075137,148.58833068422751,0.6822386446209697,1.244986835617377,,
1944,1.0191392230639649,58.55668233958623,79.25845737768455,144.63521939801484,0.6592701145295975,1.203072590766696,,
1945,0.9862385360524706,56.666307565966804,76.69977094880063,139.96598679803057,0.5846033037566807,1.0668164622070768,,
1946,1.0748593380580327,61.75819298680039,83.5918107207732,152.54296239785796,0.5263742744212724,0.9605569069254541,,
1947,1.2019731939327905,69.06177380379634,93.47745529215311,170.5828337097477,0.4944820199888014,0.9023581560343411,,
1948,,78.76177380379634,108.87181947236776,191.68359280651978,0.5262719049053265,0.926573010484016,,
1949,,89.66177380379635,116.34235391433698,200.7047696097666,0.551192301121169,0.9508740375723879,,
1950,,98.16177380379635,135.4786434270008,230.20600652901382,0.5727975159213756,0.9733004800941135,,
1951,,107.46177380379635,153.05018883522644,255.84979414602253,0.5957185877454025,0.9958463900211822,,
1952,,119.86177380379635,167.35066081076795,276.7328418152084,0.615684323693283,1.018102179765961,,
1953,,132.46177380379635,181.0929233081971,296.53555848647704,0.634721541048744,1.0393421411501786,,
1954,,146.16177380379634,190.9591473281131,311.23510269058767,0.6501791784039759,1.0596956793598544,,
1955,,158.16177380379634,214.44974765048576,347.98339125729046,0.6640592977057501,1.0775559726384139,,
1956,,171.76177380379633,243.1735646598359,391.8473726280085,0.678833711953776,1.0938656381194198,,
1957,,189.76177380379633,266.0805277589744,426.5861093605473,0.6924062041707133,1.1100807384215923,,
1958,,209.16177380379634,274.9129145816438,442.59008309327965,0.7014975702250148,1.1293607954653502,,
1959,,222.36177380379632,290.56766392670824,469.2512596112735,0.7101897261447944,1.1469184803732662,,
1960,,237.26177380379633,299.9965190841172,484.9322528829036,0.7185764483276544,1.1615497973775437,,
1961,,254.36177380379632,310.34867507386866,503.27763471608745,0.725165293675147,1.175965947630219,,
1962,,269.96177380379635,323.6909055065932,525.4492389980019,0.7324697093236837,1.189022134405867,,
1963,,287.46177380379635,337.56699885843346,548.4317201515985,0.7395369820904316,1.2014964157490673,,
1964,,305.66177380379634,360.67945656384245,584.416740608418,0.7477950303356138,1.2116684948884981,,
1965,,327.96177380379635,391.51987491684906,629.5138499735924,0.7588939142199846,1.2202042865987657,,
1966,,357.06177380379637,433.05498984237107,689.3389442732511,0.771470629433738,1.2280305312386461,,
1967,,392.16177380379634,475.109465585575,753.3311352268145,0.7811332466115559,1.2385608750354413,,
1968,,425.5617738037963,528.4643465621049,835.8512661760232,0.7896897744418642,1.249021248353828,,
1969,,462.16177380379634,588.3750570199951,928.3262407092185,0.7985719592649685,1.25997065313231,,
1970,,503.66177380379634,653.1706816834147,1032.4109896184032,0.8057939986494113,1.273649603240195,,
1971,,543.9617738037963,721.3901275801234,1145.8564474489679,0.8111409761313163,1.2884167411715595,,
1972,,584.2617738037962,789.177136353478,1256.3166880969834,0.8168076094809702,1.3003025347352668,,
1973,,632.1617738037962,898.7857073762829,1429.5600183096162,0.8248106056532559,1.311899215622472,,
1974,,693.1617738037962,1106.0672695397259,1763.5896893717154,0.8297710037860923,1.3230439297111953,,
1975,,764.6617738037962,1233.0862744879516,1983.0408217262743,0.8328825444161472,1.3394359498213722,,
1976,,832.9617738037962,1358.7917794235582,2204.961979321552,0.8349489193722122,1.3549026788139433,,
1977,,909.1617738037962,1517.9330026892012,2477.8222116408647,0.8378893887473038,1.3677421432027124,,
1978,,1005.3617738037963,1732.7347669542085,2835.8341845926316,0.8415456707241352,1.3772932975370407,,
1979,,1131.2617738037964,2003.8061671874761,3283.9472079486036,0.8446626192440395,1.3842793257884503,,
1980,,1284.9617738037964,2311.2788732536965,3800.0711216002474,0.8475195224114748,1.3934426084959795,,
1981,,1449.0617738037963,2619.7223474076313,4326.983953050354,0.8490074014227624,1.4023018147753545,,
1982,,1636.8617738037963,2784.3085913891855,4638.957776099302,0.8487293037313304,1.414074365005421,,
1983,,1809.1617738037962,2868.0496357503303,4822.675106371553,0.8486541472963288,1.4270266382660566,,
1984,,1961.8617738037963,3045.659459810445,5136.971843292613,0.8500854290531761,1.433799468083431,,
1985,,2156.5617738037963,3224.884995537328,5450.733993443455,0.8521422244053981,1.440299606417782,,
1986,,2358.4617738037964,3377.160104795191,5739.714132823804,0.853682935795983,1.4508924242535655,,
1987,,2531.3617738037965,3558.1277941495446,6092.1964278163705,0.854505310439682,1.4630767923429886,,
1988,,2687.3617738037965,3790.1342922340514,6531.132870828345,0.8558293213767937,1.4747590933956078,,
1989,,2856.0617738037963,4022.319996688179,6967.269512947614,0.8564455496220773,1.4834938474051365,,
1990,,3044.261773803796,4263.947225064116,7416.819551621183,0.8594728050614127,1.494989118813574,,
1991,,3243.761773803796,4375.666147815624,7670.814119372146,0.8621103880402294,1.5113329750574573,,
