Year,"BEA 2011 initial value; Source: FA Table 6.1, line 1","BEA 1993 initial value; Source: Table A.13, p. 294","SCB  1985 initial value; Source: Table 6, p. 56",Ratio KNCcorp1' to KNCcorpbea; Source: KNCcorp1'/KNCcorpbea,Ratio KNCcorp2' to KNCcorpbea; Source: KNCCorp2'/KNCorpbea,"BEA FA T6.1 extension data, post-2011",Spliced Shaikh S210A + BEA FA (post-2011). Note: Full GPIM recalculation in Table68II1.
,S210A,S210B,S210C,S210D,S210E,S210A_EXT,S210A_COMBINED
1968,669.2050013381674,663.3570517043548,660.2882516136979,0.9912613479843713,0.9866756080623437,,669.2050013382
1969,736.7840182637449,731.0376203570992,728.0221110724598,0.9922007022896787,0.9881079027583514,,736.7840182637
1970,810.5926363043061,804.9054458455948,801.9210065654811,0.992983910531632,0.9893021113806792,,810.5926363043
1971,889.3523429438201,883.7061285058476,880.7431920128697,0.9936513188695459,0.9903197523464621,,889.3523429438
1972,966.172605633474,960.6494269680768,957.7510553591483,0.994283445180299,0.9912835965072679,,966.1726056335
1973,1089.6873794007997,1084.1143822534204,1081.1898676419703,0.994885691756434,0.9922018810904261,,1089.6873794008
1974,1332.9789357460609,1326.832667828031,1323.607320702092,0.9953890734855537,0.992969420001582,,1332.9789357461
1975,1480.5044033577967,1474.2957705025356,1471.0376964317677,0.9958064070318332,0.9936057556434426,,1480.5044033578
1976,1627.3950991459658,1621.1936344168278,1617.939321928747,0.9961893305857978,0.9941896241286574,,1627.395099146
1977,1811.6150211170527,1805.387567919852,1802.1196175897685,0.9965624853378833,0.994758597485337,,1811.6150211171
1978,2058.990768098445,2052.6630228432177,2049.3424427375653,0.996926773372048,0.9953140511796512,,2058.9907680984
1979,2372.3154328539517,2365.822272205757,2362.414887868755,0.9972629438065986,0.9958266321383383,,2372.315432854
1980,2727.1098920262507,2720.424605198836,2716.916399741078,0.9975485817982761,0.9962621629898459,,2727.1098920263
1981,3085.6295752163214,3078.8606467764976,3075.3085491165457,0.9978063055610461,0.9966551311982896,,3085.6295752163
1982,3280.5613982554005,3274.0824064103826,3270.6824573673202,0.9980250356391857,0.9969886431958463,,3280.5613982554
1983,3379.52703688241,3373.491887391754,3370.3248513425774,0.9982142029269803,0.9972770788813332,,3379.5270368824
1984,3582.7686909099193,3577.0556248255957,3574.0576069192634,0.9984054047087051,0.9975686166922365,,3582.7686909099
1985,3784.444548311834,3779.0676614125887,3776.2460586223647,0.9985792137179963,0.9978336346100972,,3784.4445483118
1986,3955.9887672421273,3950.939734991119,3948.2901788902877,0.9987236990426219,0.9980539407958919,,3955.9887672421
1987,4163.96217867707,4159.162441938049,4156.643707430714,0.9988473150011784,0.9982424260998736,,4163.9621786771
1988,4428.610001509143,4424.004552336261,4421.587773170187,0.9989600689220066,0.9984143493474107,,4428.6100015091
1989,4696.527407332671,4692.133670026412,4689.827989867026,0.9990644710601712,0.9985735380879105,,4696.5274073327
1990,4961.119421061194,4956.947879349533,4954.758799691783,0.9991591531350864,0.9987179060148383,,4961.1194210612
1991,5075.528851661904,5071.66673366684,5069.640028788116,0.9992390708223835,0.9988397617182573,,5075.5288516619
1992,5250.82411907481,5247.205502017748,5245.3065779421095,0.9993108477878897,0.9989492047328995,,5250.8241190748
1993,5500.592856221755,5497.177974103456,5495.385963020867,0.9993791792616615,0.9990533941818657,,5500.5928562218
1994,5805.960443253049,5802.7289096214245,5801.033113432561,0.9994434110147307,0.9991513325196326,,5805.960443253
1995,6136.599105605455,6133.559128383522,6131.963854320229,0.9995046153138542,0.9992446547011695,,6136.5991056055
1996,6451.600519091945,6448.76870181491,6447.282662833617,0.9995610674795107,0.99933073099527,,6451.6005190919
1997,6812.173917136629,6809.534978485561,6808.150155482844,0.999612614316198,0.9994093278147724,,6812.1739171366
1998,7197.345587275926,7194.894851564632,7193.608790903385,0.999659494506471,0.9994808090945158,,7197.3455872759
1999,7621.627746178,7619.35476040932,7618.161976721058,0.9997017716104254,0.999545271748718,,7621.627746178
2000,8154.6271204174855,8152.504680526482,8151.390898066341,0.9997397256968759,0.9996031428165438,,8154.6271204175
2001,8588.950335181662,8586.972966145015,8585.93531181163,0.9997697775677491,0.9996489648615522,,8588.9503351817
2002,8900.840268850468,8898.994865629484,8898.026462355432,0.9997926708978878,0.999683871813217,,8900.8402688505
2003,9178.639804728598,9176.921701672538,9176.02010108697,0.9998128150692682,0.9997145869434512,,9178.6398047286
2004,9904.847948333394,9903.173607589779,9902.294971940095,0.9998309574511038,0.9997422498147759,,9904.8479483334
2005,10780.814988175061,10779.172635853365,10778.310786612294,0.9998476597248448,0.9997677168594847,,10780.8149881751
2006,11684.026829024126,11682.428623110332,11681.589940365051,0.9998632144604612,0.9997914341780677,,11684.0268290241
2007,12317.435287381324,12315.92761865917,12315.136446675662,0.9998775988111991,0.9998133669345909,,12317.4352873813
2008,13141.338779693097,13139.890793363138,13139.130940618346,0.9998898143975866,0.9998319928348425,,13141.3387796931
2009,12704.129066712618,12702.844927443679,12702.171055924307,0.9998989195353577,0.9998458760314833,,12704.1290667126
2010,12996.264490139092,12995.058361192147,12994.425426770084,0.99990719418277,0.9998584929253783,,12996.2644901391
2011,13531.219575411427,13530.073533118904,13529.47213007828,0.9999153038433723,0.9998708582531376,,13531.2195754114
2012,,,,,,13993.7040446559,13993.7040446559
2013,,,,,,14522.8908798648,14522.8908798648
2014,,,,,,15213.6826867863,15213.6826867863
2015,,,,,,15499.648380911,15499.648380911
2016,,,,,,15953.7106218847,15953.7106218847
2017,,,,,,16570.7189138336,16570.7189138336
2018,,,,,,17344.9135047279,17344.9135047279
2019,,,,,,18135.7772009062,18135.7772009062
2020,,,,,,18504.1096751438,18504.1096751438
2021,,,,,,20552.8457781262,20552.8457781262
2022,,,,,,22924.8848680585,22924.8848680585
2023,,,,,,23715.1375187822,23715.1375187822
2024,,,,,,24486.6866317716,24486.6866317716
