Year,"Book Value of Total Corporate Assets (incl. land) less Reserves [1]; Source: HS 1975, Series V 115, pp. 924-926",KTHcorpirs relative to its initial value,KNHcorbea relative to its initial value; Source: Appendix Table 6.8B1,Adjusted KNCcorp; Source: See text at top of sheet,Adjusted KNRcorp; Source: See text at top of sheet,Adjusted KNHcorp; Source: See text at top of sheet,"BEA FA T6.1 extension data, post-2011",Spliced Shaikh S212A + BEA FA (post-2011). Note: Full GPIM recalculation in Table68II1.
,S212A,S212B,S212C,S212D,S212E,S212F,S212A_EXT,S212A_COMBINED
1925,93341.51590594744,1.0,1.0,98.1,1403.970954,69.2,,
1926,97523.0,1.0447976878612717,1.0447976878612717,102.49465317919075,1466.8656065635837,72.30000000000001,,
1927,104945.0,1.124312145366746,1.0823699421965316,110.29502146047777,1578.501595324337,77.80240045937882,,
1928,109931.0,1.1777288908696149,1.121387283236994,115.53520419430922,1653.497154467575,81.49883924817735,,
1929,116446.0,1.2475263431261716,1.1690751445086704,122.38233426067742,1751.4907500989823,86.32882294433108,,
1930,120994.0,1.296250642874878,1.1965317919075145,127.16218806602552,1819.8982517001555,89.70054448694155,,
1931,114303.0,1.2245676416394793,1.190751445086705,120.13008564483292,1719.2574000701097,84.74008080145197,,
1932,108553.0,1.1629658994330017,1.1647398843930634,114.08695473437746,1632.7703432964192,80.47724024076372,,
1933,104958.0,1.124451418870865,1.138728323699422,110.30868419123185,1578.6971312787819,77.81203818586386,,
1934,102751.0,1.1008070632100482,1.121387283236994,107.98917290090571,1545.5011427049494,76.17584877413533,,
1935,100480.0,1.0764770533751071,1.1127167630057804,105.602398936098,1511.342515586158,74.49221209355741,,
1936,97873.0,1.0485473591260137,1.1170520231213872,102.86249593026194,1472.13003610633,72.55947725152015,,
1937,100320.0,1.0747629179397966,1.1372832369942196,105.43424224989404,1508.9359192237598,74.37359392143392,,
1938,99299.0,1.0638245911932203,1.138728323699422,104.3611923960549,1493.5788261862053,73.61666171057084,,
1939,100226.0,1.0737558633715516,1.1445086705202312,105.3354501967492,1507.5220438608508,74.30390574531137,,
