Year,"[Noncorporate Sector] Proprietorships and Partnerships Income w/IVA and CCAdj; Source: T 1.13, line 23","[Noncorporate Sector] Employee Compensation, Proprietorships and Partnerships; Source: ECbusnipa (Appendix Table 6.8.1)  - ECcorpnipa (T 1.14, line 4)","[Noncorporate Sector] No. of Proprietors and Partners (Self-Employed Persons); Source: T 6.7, line 1 (Thousands-$)","[Noncorporate Sector] Private Sector Employee Compensation per Full Time Equivalent Employee (FEE); Source: T 6.2, line 3/Table 6.3, line 3 ($)",[Noncorporate Sector] Estimated Wage Equivalent of Prop & Partner's Income using SEP times Average Private Sector EC per FTE; Source: ecpriv*SEP,[Noncorporate Sector] Noncorporate Profit Estimate 1; Source: PropInc - WEQ1,"[Noncorporate Sector] Corporate Wage-Profit Ratio; Source: T1.14, line 4 ÷ line 11","[Noncorporate Sector] Employee Compensation, Proprietorships and Partnerships; Source: Ecbusnipa -Eccorpnipa (NIPA Table 1.14, 4)",[Noncorporate Sector] Estimated Wage Equivalent of Prop & Partner's Income using Corp Wage/Profit ratio; Source: (σ∙PropInc - ECprop)/(1+σ),[Noncorporate Sector] Noncorporate Profit Estimate 2; Source: PropInc - WEQ2,"[Corporate Sector] NIPA Corporate GVA; Source: T 1.14, line 1","[Corporate Sector] NIPA Corporate VA; Source: T 1.14, line 3","[Corporate Sector] NIPA Corporate GOS; Source: T 1.14, line 2 + line 8","[Corporate Sector] NIPA Corporate NOS; Source: T 1.14, line 8",[Corporate Sector] Corp Net interest,[Corporate Sector] Business net transfer payments,"[Corporate Sector] NIPA Corp Profits w/IVA & CCAdj; Source: T 1.14, line 11","BEA T1.13 line 23: Proprietors' Income, post-2011","Corporate wage-profit ratio sigma = ECcorp/Pcorp, from BEA T1.14","WEQ2 = (sigma*PropInc - ECprop)/(1+sigma), BEA-derived post-2011","Noncorporate Profit Est. 2 = PropInc - WEQ2, BEA-derived post-2011","NIPA Corporate GVA, BEA T1.14 line 1, post-2011","NIPA Corporate NOS, BEA T1.14 line 8, post-2011","NIPA Corp Profits w/IVA & CCAdj, BEA T1.14 line 11, post-2011",Spliced Shaikh sigma (1947-2011) + BEA-derived (post-2011),Spliced Shaikh WEQ2 (1947-2011) + BEA-derived (post-2011),Spliced Shaikh Corp NOS (1947-2011) + BEA T1.14 (post-2011),Spliced Shaikh Corp Profit (1947-2011) + BEA T1.14 (post-2011)
,S207A,S207B,S207C,S207D,S207E,S207F,S207G,S207H,S207I,S207J,S207K,S207L,S207M,S207N,S207O,S207P,S207Q,S207A_EXT,S207G_EXT,S207I_EXT,S207J_EXT,S207K_EXT,S207N_EXT,S207Q_EXT,S207G_COMBINED,S207I_COMBINED,S207N_COMBINED,S207Q_COMBINED
1947,34.5,22.99199999999999,10199.0,2734.8131998810823,27.892359825587157,6.607640174412843,3.6488888888888886,22.99199999999999,22.133173996175906,12.366826003824094,126.0,117.1,32.3,23.4,0.3,0.6,22.5,,,,,,,,3.6488888889,22.1331739962,23.4,22.5
1948,39.2,24.855999999999995,10211.0,2944.1591162362515,30.062808735888364,9.137191264111639,3.077702702702702,24.855999999999995,23.49115492957747,15.708845070422534,144.5,134.1,40.6,30.2,0.0,0.6,29.6,,,,,,,,3.0777027027,23.4911549296,30.2,29.6
1949,34.6,24.267000000000024,10064.0,3011.067033883316,30.303378629001692,4.296621370998309,3.2173913043478257,24.267000000000024,20.641845360824735,13.958154639175266,141.5,130.3,39.3,28.1,0.0,0.6,27.6,,,,,,,,3.2173913043,20.6418453608,28.1,27.6
1950,37.5,26.019999999999996,9996.0,3195.1628993406166,31.938848341808804,5.561151658191196,2.869186046511628,26.019999999999996,21.083110443275732,16.416889556724268,160.4,148.4,47.0,35.0,-0.1,0.7,34.4,,,,,,,,2.8691860465,21.0831104433,35.0,34.4
1951,42.7,29.114000000000004,9699.0,3478.9613387189843,33.74244602423543,8.957553975764576,2.930946291560102,29.114000000000004,24.431116460637604,18.2688835393624,183.9,170.3,53.5,39.9,-0.2,1.1,39.1,,,,,,,,2.9309462916,24.4311164606,39.9,39.1
1952,43.1,30.941000000000003,9637.0,3688.9789006361843,35.55068966543091,7.549310334569093,3.324324324324324,30.941000000000003,25.978018749999993,17.121981250000008,192.6,178.1,52.3,37.8,-0.2,1.1,37.0,,,,,,,,3.3243243243,25.97801875,37.8,37.0
1953,42.0,32.34,9475.0,3902.7911453320503,36.97894610202118,5.021053897978817,3.5924932975871315,32.34,25.812714535901932,16.187285464098068,206.2,190.79999999999998,53.699999999999996,38.3,0.0,1.0,37.3,,,,,,,,3.5924932976,25.8127145359,38.3,37.3
1954,42.3,32.158000000000015,9329.0,4010.568123751568,37.41459002647837,4.885409973521625,3.631868131868132,32.158000000000015,26.224844602609725,16.075155397390272,203.6,187.4,53.5,37.3,0.2,0.8,36.4,,,,,,,,3.6318681319,26.2248446026,37.3,36.4
1955,44.3,33.45200000000003,9149.0,4218.404272098421,38.59418068542845,5.705819314571549,3.1030042918454934,33.45200000000003,25.34998326359831,18.950016736401686,229.5,212.4,65.1,48.0,0.2,1.2,46.6,,,,,,,,3.1030042918,25.3499832636,48.0,46.6
1956,45.9,35.142000000000024,8981.0,4460.366187917992,40.05854873369148,5.841451266308518,3.4999999999999996,35.142000000000024,27.890666666666657,18.00933333333334,245.6,226.4,65.9,46.7,0.0,1.5,45.2,,,,,,,,3.5,27.8906666667,46.7,45.2
1957,47.8,36.24700000000004,8821.0,4662.869364060932,41.13117066038148,6.668829339618519,3.741573033707865,36.24700000000004,30.074447867298563,17.725552132701434,256.9,235.59999999999997,67.7,46.4,0.2,1.7,44.5,,,,,,,,3.7415730337,30.0744478673,46.4,44.5
