Year,"[NA] Bank (Fin Corp) Monetary Int Paid; Source: T 7.11, line 4","[NA] NonFin Bus Net Imputed Int Paid; Source: T 7.11, lines (74+75) – lines (53+54)",[NA] Imputed Bus Int Adjustment; Source: -BankMonIntPaid - NFNetImpIntPaid,[Business Sector] GVA Business Sector; Source: GVAbusnipa + BusImpAdj,[Business Sector] SDbus; Source: SDbusnipa,[Business Sector] ECbus (EC including WEQ2); Source: ECbusnipa + WEQ2,[Business Sector] Tbus; Source: Tbusnipa,[Business Sector] GOSbus; Source: GOSbusnipa - WEQ2 + BusImpIntAdj,[Business Sector] CFCbus; Source: CFCbusnipa,[Business Sector] VAbus; Source: VAbusnipa + BusImpIntAdj,[Business Sector] NOSbus; Source: NOSbusnipa  - WEQ2 + BusImpIntAdj,[Business Sector] Business Net Monetary Interest; Source: NIPA bus net int + BusImpIntAdj,[Business Sector] NIPA bus current transfer payments (net); Source: NIPA bus curr transfer payments (net),[Business Sector] NIPA rental income of persons w/CCAdj; Source: NIPA rental inc of persons w/CCAdj,[Business Sector] NIPA bus profits with IVA and CCAdj; Source: Corp Profit + (Proprietors' Income - WEQ2),[Business Sector] 1.014997489833659; Source: Relative to NIPA measures,[Business Sector] 1.0166299607445595; Source: Relative to NIPA measures,[Business Sector] 0.8383237703891585; Source: Relative to NIPA measures,[Business Sector] 0.779486114837026; Source: Relative to NIPA measures,"[Corporate Sector] NonFin Corp Net Imputed Int Paid; Source: T 7.11,  line 74 - line 53",[Corporate Sector] Imputed Bus Int Adjustment; Source: -BankMonIntPaid - CorpNFNetImpIntPaid,"[Corporate Sector] GVAcorp; Source: GVAcorpnipa (T 1.14, 1) + CorpImpIntAdj","[Corporate Sector] ECcorp; Source: ECcorpnipa (T 1.14, 4)","[Corporate Sector] Tcorp; Source: Tcorpnipa (T 1.14, 7)","[Corporate Sector] GOScorp; Source: GOScorpnipa (T 1.14, 2 + 8) + CorpImpIntAdj","[Corporate Sector] CFCcorp; Source: CFCcorpnipa (T 1.14, 2)","[Corporate Sector] VAcorp; Source: VAcorpnipa (T 1.14, 1 - 2) + CorpImpIntAdj","[Corporate Sector] NOScorp; Source: NOScorpnipa (T 1.14, 8) + CorpImpIntAdj",[Corporate Sector] Corp Net Monetary Interest; Source: Corpnetintnipa + CorpNFNetImpIntPaid,"[Corporate Sector] Corp current transfer payments (net); Source: NIPA Corp curr transfers (net) (T 1.14, 10)",[Corporate Sector] Corporate profits; Source: Pcorpnipa,[Corporate Sector] 1.0955704779331243; Source: Relative effect of imputed interest adjustment,[Non-Corporate Sector] GVAbus - GVAcorp; Source: GVAbus - GVAcorp,[Non-Corporate Sector] SDnipa; Source: SDnipa,[Non-Corporate Sector] ECbus-ECcorp; Source: ECbus-ECcorp,[Non-Corporate Sector] Tbus-Tcorp; Source: Tbus-Tcorp,[Non-Corporate Sector] GOSbus - GOScorp; Source: GOSbus - GOScorp - WEQ2,[Non-Corporate Sector] CFCbus-CFCcorp; Source: CFCbus-CFCcorp,[Non-Corporate Sector] VAbus - VAcorp; Source: VAbus - VAcorp,[Non-Corporate Sector] NOSbus - NOScorp - WEQ2; Source: NOSbus - NOScorp - WEQ2,[Non-Corporate Sector] NetIntbus-NetIntbus; Source: BusNetInt-CorpNetInt,[Non-Corporate Sector] Bus transf - Corp transfers; Source: Bustransfers - Corptransfers,[Non-Corporate Sector] Bus rental Income of persons; Source: Bus rental Income of persons,[Non-Corporate Sector] Proprietors' Income  - WEQ2; Source: Proprietors' Income  - WEQ2,"[Sectoral Profit Rates] Business Net Fixed Capital, Current-Cost (end of yr); Source: KNCcorp + KNCnoncorp (see below)","[Sectoral Profit Rates] Corporate Net Fixed Capital, Current-Cost (end of yr); Source: Fixed Asset Table 6.1, line 2","[Sectoral Profit Rates] Proprietor and Partner Net Fixed Capital, Current-Cost (end of yr); Source: Fixed Asset Table 6.1, lines 6 + 7",[Sectoral Profit Rates] Business profit rate; Source: Pbus/KNCbus(-1),[Sectoral Profit Rates] Corporate profit rate; Source: Pcorp/KNCcorp(-1),[Sectoral Profit Rates] Noncorporate profit rate; Source: Pnoncorp/KNCnoncorp(-1),[Sectoral Profit Rates] Noncorp profit rate using WEQ1; Source: Pnoncorp1/KNCprop(-1) (Appendix Table 6.8.2),"BEA T7.11 line 4: Bank monetary interest paid, post-2011","Imputed Business Interest Adjustment, BEA-derived post-2011","Corporate NOS adjusted for imputed interest, BEA-derived post-2011","Corporate Net Fixed Capital Current-Cost, FA T6.1 line 2, post-2011","Corporate profit rate r=NOS/KNC(-1), BEA-derived post-2011",Spliced Shaikh Corp NOS adj (1947-2011) + BEA (post-2011),Spliced Shaikh KNCcorp (1925-2011) + BEA FA T6.1 (post-2011),Spliced Shaikh KNCnoncorp (1925-2011) + BEA FA T6.1 (post-2011),Spliced Shaikh rcorp (1947-2011) + BEA-derived (post-2011),Spliced Shaikh rnoncorp (1947-2011) + BEA-derived (post-2011),"Corporate VA adjusted for imputed interest, BEA-derived post-2011","Corporate Net Monetary Interest, ratio-spliced post-2011","NIPA Corporate Profits, BEA T1.14 line 11, post-2011",Spliced Shaikh VAcorp (1947-2011) + BEA-derived (post-2011),Spliced Shaikh NMINTcorp (1947-2011) + ratio-spliced (post-2011),Spliced Shaikh Pcorpnipa (1947-2011) + BEA T1.14 (post-2011)
1978,-5.800000000000011,-21.2,27.00000000000001,1803.567,26.1,1113.6457545106614,133.6,530.2212454893388,177.39999999999998,1626.167,352.8492454893387,91.00000000000001,10.3,10.2,241.54924548933843,1.015197850686183,1.0168837901232328,0.848663585258844,0.7886661723051821,-16.0,21.80000000000001,1397.8999999999999,901.8,108.7,387.3,134.2,1263.6999999999998,253.10000000000002,49.30000000000001,8.2,195.6,1.0942498919152617,405.66700000000014,26.1,211.84575451066144,24.89999999999999,142.9212454893388,43.19999999999999,362.4670000000001,99.7492454893387,41.7,2.1000000000000014,10.2,45.94924548933842,2761.3,2077.5,683.8000000000001,0.0994316245376604,0.10710179050539342,0.0762010704632478,0.06904317482981459,,,,,,253.1,2761.3,2077.5,0.1071017905,0.0762010705,,,,1263.7,49.3,195.6
1979,-7.0,-26.2,33.2,2025.5179999999996,47.0,1259.582343530964,142.29999999999998,576.6356564690358,204.59999999999997,1820.9179999999997,372.0316564690357,112.2,13.4,11.400000000000002,235.031656469036,1.0166640064487698,1.0185711616709123,0.8477392906672645,0.7822364517851891,-19.2,26.2,1555.2,1022.0,115.0,418.2,155.1,1400.1000000000001,263.1,61.099999999999994,11.3,190.7,1.1105951878429718,470.31799999999953,47.0,237.58234353096395,27.299999999999983,158.4356564690358,49.49999999999997,420.81799999999953,108.93165646903566,51.10000000000001,2.0999999999999996,11.400000000000002,44.331656469036005,3188.2,2395.5,792.7,0.08511630625757287,0.09179302045728038,0.06483131978507752,0.05720109817203349,,,,,,263.1,3188.2,2395.5,0.0917930205,0.0648313198,,,,1400.1,61.1,190.7
1980,1.8000000000000114,-31.7,29.899999999999988,2176.516,45.3,1365.8008719384184,158.7,606.7151280615811,236.7,1939.816,370.01312806158114,138.39999999999998,15.0,14.299999999999999,202.41312806158152,1.0139289001852219,1.0156551387600292,0.8498577228549318,0.7753837553679409,-23.0,21.19999999999999,1684.2,1120.1,128.6,435.5,179.8,1504.4,255.7,77.1,12.6,166.0,1.090405117270789,492.31600000000003,45.3,245.70087193841846,30.099999999999994,171.21512806158114,56.89999999999998,435.41599999999994,114.31312806158115,61.29999999999998,2.4000000000000004,14.299999999999999,36.41312806158152,3660.1000000000004,2757.4,902.7,0.0634882153132117,0.06929659778751826,0.04593557217305603,0.016248951734750113,,,,,,255.7,3660.1,2757.4,0.0692965978,0.0459355722,,,,1504.4,77.1,166.0
1981,10.500000000000057,-37.7,27.199999999999946,2436.1789999999996,36.6,1497.3198939732142,188.9,713.3591060267861,272.59999999999997,2163.5789999999997,440.77510602678615,169.09999999999997,17.7,20.2,233.77510602678572,1.0112910905408472,1.0127318233328448,0.8619778850567262,0.7941893802284429,-27.4,16.89999999999994,1905.8999999999999,1240.0,154.4,511.3999999999999,208.1,1697.8,303.2999999999999,94.59999999999994,15.1,193.6,1.059008379888268,530.2789999999998,36.6,257.3198939732142,34.5,201.95910602678617,64.49999999999997,465.77899999999977,137.47510602678625,74.50000000000003,2.5999999999999996,20.2,40.17510602678573,4139.1,3122.0,1017.0999999999999,0.06387123467303782,0.070211068397766,0.04450549022575133,0.005033445300482161,,,,,,303.3,4139.1,3122.0,0.0702110684,0.0445054902,,,,1697.8,94.6,193.6
1982,12.5,-40.699999999999996,28.199999999999996,2493.803,4.8,1555.2095161224352,187.5,746.2934838775645,302.1000000000001,2191.703,444.2744838775646,191.09999999999997,20.6,24.3,208.07448387756494,1.0114373644094365,1.0130344168693086,0.8698880475634237,0.799198567867539,-27.799999999999997,15.299999999999997,1982.6,1293.8,161.3,527.5,231.4,1751.1999999999998,296.1,105.3,17.7,173.1,1.0544871794871795,511.203,4.8,261.4095161224352,26.19999999999999,218.79348387756454,70.70000000000007,440.50300000000016,148.17448387756457,85.79999999999997,2.900000000000002,24.3,34.97448387756495,4405.0,3315.4,1089.6,0.05027046553056581,0.055445227418321585,0.03438647515245792,-0.019963524497086552,,,,,,296.1,4405.0,3315.4,0.0554452274,0.0343864752,,,,1751.2,105.3,173.1
1983,9.700000000000102,-34.5,24.799999999999898,2711.6259999999997,49.7,1640.6625583265281,201.0,820.2634416734718,312.9,2398.7259999999997,507.38344167347196,189.29999999999993,22.700000000000003,25.800000000000004,269.783441673472,1.0092302218305167,1.0104468294293925,0.8715266385531693,0.8075496445543083,-22.1,12.399999999999899,2129.1,1367.1,177.4,584.4999999999999,240.4,1888.6999999999996,344.0999999999999,98.99999999999989,20.3,224.8,1.0373831775700932,582.5259999999998,49.7,273.56255832652823,23.599999999999994,235.7634416734719,72.49999999999997,510.02600000000007,163.28344167347205,90.30000000000004,2.400000000000002,25.800000000000004,44.98344167347199,4538.8,3411.6,1127.2,0.06124482217331941,0.06780478976895699,0.0412843627693392,-0.018979437066893777,,,,,,344.1,4538.8,3411.6,0.0678047898,0.0412843628,,,,1888.7,99.0,224.8
1984,12.800000000000068,-39.900000000000006,27.099999999999937,3033.0119999999997,31.5,1828.9065190712176,224.5,948.1054809287824,327.50000000000006,2705.5119999999997,620.5774809287823,220.89999999999998,30.400000000000002,28.4,340.6774809287822,1.009015566656642,1.0101179355528573,0.8655114539054891,0.8081488226706369,-27.6,14.799999999999933,2386.1,1513.9,195.6,676.5999999999999,252.9,2133.2,423.69999999999993,113.59999999999994,28.0,282.0,1.0361946686231351,646.9119999999998,31.5,315.00651907121755,28.900000000000006,271.5054809287825,74.60000000000005,572.3119999999999,196.87748092878235,107.30000000000004,2.400000000000002,28.4,58.67748092878219,4806.9,3614.3,1192.6,0.07505893208089852,0.08265916285613789,0.05205596249891961,0.006456934667745697,,,,,,423.7,4806.9,3614.3,0.0826591629,0.0520559625,,,,2133.2,113.6,282.0
1985,5.300000000000068,-38.5,33.19999999999993,3250.2589999999996,42.3,1958.6535726210348,239.70000000000005,1009.6054273789646,349.70000000000005,2900.5589999999993,659.9164273789645,236.29999999999995,35.5,32.6,355.41642737896484,1.0103199848059983,1.011578598982548,0.8692337399484323,0.8129051827777343,-27.299999999999997,21.99999999999993,2548.5,1622.4,209.0,716.9999999999999,271.7,2276.8,445.29999999999995,118.89999999999993,31.9,294.4,1.0519725962674225,701.7589999999996,42.3,336.25357262103466,30.700000000000045,292.6054273789647,78.00000000000006,623.7589999999991,214.61642737896454,117.40000000000002,3.6000000000000014,32.6,61.01642737896486,5080.7,3815.6,1265.1,0.07393880200939584,0.08145422350109287,0.051162525053634805,0.010435251525826047,,,,,,445.3,5080.7,3815.6,0.0814542235,0.0511625251,,,,2276.8,118.9,294.4
1986,7.900000000000091,-40.8,32.899999999999906,3424.129,67.7,2083.775970527793,248.60000000000002,1024.0530294722073,371.7,3052.429,652.4210294722072,254.89999999999992,35.9,28.999999999999996,332.7210294722069,1.0097014975986582,1.010895739037446,0.8564235376089349,0.7916770167118151,-29.5,21.59999999999991,2662.2,1720.4,219.6,722.1999999999999,289.8,2372.3999999999996,432.3999999999999,127.8999999999999,29.9,274.7,1.0525803310613435,761.9290000000001,67.7,363.375970527793,29.00000000000003,301.85302947220737,81.89999999999998,680.0290000000005,220.02102947220732,127.00000000000001,6.0,28.999999999999996,58.02102947220692,5335.0,3986.4,1348.6,0.06548724181160212,0.07199391969808155,0.04586280094238157,0.013947983003658593,,,,,,432.4,5335.0,3986.4,0.0719939197,0.0458628009,,,,2372.4,127.9,274.7
1987,11.899999999999977,-49.9,38.00000000000002,3626.4099999999994,32.9,2231.769719418465,262.5,1099.2402805815354,392.3,3234.109999999999,706.8912805815352,259.1,32.5,27.400000000000002,387.8912805815354,1.0105896483400727,1.0118894531164446,0.8538790029599864,0.7898226598676372,-38.099999999999994,26.200000000000017,2858.7999999999997,1840.0,233.4,785.4000000000001,306.5,2552.2999999999997,478.9,133.8,25.3,319.8,1.0578749723878949,767.6099999999997,32.9,391.7697194184648,29.099999999999994,313.84028058153535,85.80000000000001,681.8099999999995,227.9912805815352,125.30000000000001,7.199999999999999,27.400000000000002,68.09128058153539,5615.200000000001,4194.6,1420.6,0.07270689420459894,0.08022275737507525,0.05049034597474076,0.023308233294452214,,,,,,478.9,5615.2,4194.6,0.0802227574,0.050490346,,,,2552.3,133.8,319.8
1988,-0.20000000000004547,-56.2,56.40000000000005,3914.277999999999,-9.5,2418.7501632340427,286.79999999999995,1218.2278367659574,419.59999999999997,3494.677999999999,798.6088367659571,288.6000000000001,32.9,25.700000000000003,451.40883676595746,1.0146194358660383,1.01640356015424,0.8610485417328702,0.8024606478757611,-44.0,44.200000000000045,3109.7,1980.4,252.0,877.3000000000001,328.8,2780.8999999999996,548.5,152.00000000000006,26.9,369.6,1.0876462423160818,804.5779999999991,-9.5,438.3501632340426,34.799999999999955,340.9278367659573,90.79999999999995,713.7779999999993,250.1088367659571,136.60000000000002,6.0,25.700000000000003,81.80883676595744,5962.1,4460.1,1502.0,0.08039051801644775,0.08811328851380346,0.05758752412076407,0.03547451910607891,,,,,,548.5,5962.1,4460.1,0.0881132885,0.0575875241,,,,2780.9,152.0,369.6
1989,-3.800000000000068,-61.0,64.80000000000007,4211.637000000001,56.1,2557.935770139371,308.5,1289.1012298606288,446.59999999999997,3765.0370000000007,842.5002298606286,338.2000000000001,40.1,25.299999999999997,439.0002298606285,1.015626367759331,1.0175123917738242,0.8621014965285441,0.8033758270817474,-47.8,51.600000000000065,3281.1,2088.3,267.5,925.1999999999999,350.8,2930.2999999999997,574.4,181.60000000000008,34.4,358.4,1.098699311400153,930.5370000000007,56.1,469.63577013937083,41.0,363.90122986062886,95.79999999999995,834.737000000001,268.1002298606286,156.60000000000002,5.700000000000003,25.299999999999997,80.60022986062853,6294.099999999999,4725.9,1568.1999999999998,0.07363181259298376,0.08035694266944686,0.05366193732398704,0.03655767496635459,,,,,,574.4,6294.1,4725.9,0.0803569427,0.0536619373,,,,2930.3,181.6,358.4
1990,-17.299999999999955,-56.3,73.59999999999995,4434.507,84.2,2696.9354836264165,331.09999999999997,1322.2715163735834,471.9000000000001,3962.6069999999995,850.4355163735837,341.4,40.9,29.2,439.23551637358344,1.0168772230180558,1.0189251395021919,0.8625745082466477,0.8014659470111991,-43.599999999999994,60.89999999999995,3437.9,2200.6,284.5,952.8,373.0,3064.9,579.8,186.69999999999993,34.8,358.4,1.1173636538832143,996.6069999999995,84.2,496.3354836264166,46.599999999999966,369.4715163735834,98.90000000000009,897.7069999999994,270.63551637358376,154.70000000000005,6.100000000000001,29.2,80.83551637358346,6607.6,4991.6,1616.0,0.06978527770031989,0.07583740663154108,0.051546688160683245,0.03315495347964201,,,,,,579.8,6607.6,4991.6,0.0758374066,0.0515466882,,,,3064.9,186.7,358.4
1991,-37.0,-49.2,86.2,4543.08,79.7,2747.882160291994,357.80000000000007,1357.697839708008,492.8,4050.2799999999997,864.8878397080077,324.9,40.5,34.400000000000006,465.18783970800706,1.0193408842059917,1.0217452725474763,0.8734489868876341,0.814702185105508,-37.099999999999994,74.1,3541.5,2249.4,307.9,984.2,392.1,3149.4,592.1,176.7,34.6,380.8,1.143050193050193,1001.5799999999999,79.7,498.48216029199375,49.90000000000009,373.49783970800786,100.69999999999999,900.8799999999997,272.7878397080077,148.2,5.899999999999999,34.400000000000006,84.38783970800705,6733.700000000001,5104.6,1629.1,0.07040193711907607,0.0762881641157144,0.052220197839113275,0.019872606087336913,,,,,,592.1,6733.7,5104.6,0.0762881641,0.0522201978,,,,3149.4,176.7,380.8
1992,-33.700000000000045,-48.7,82.40000000000005,4801.817,110.0,2919.8091645822915,379.0999999999999,1392.9078354177093,503.09999999999997,4298.717,889.7468354177092,285.6,42.1,42.099999999999994,520.046835417709,1.0174597836978592,1.019543122587794,0.8553522837929242,0.7906752291990661,-36.1,69.80000000000004,3712.0,2375.5,325.9,1010.6,402.0,3310.0,608.6,150.40000000000003,35.1,423.1,1.1295471417965852,1089.817,110.0,544.3091645822915,53.19999999999993,382.30783541770927,101.09999999999997,988.7169999999996,281.1468354177092,135.2,7.0,42.099999999999994,96.94683541770888,6938.2,5275.2,1663.0,0.07723047290757071,0.08288602437017592,0.05950944412111527,0.04435764785984204,,,,,,608.6,6938.2,5275.2,0.0828860244,0.0595094441,,,,3310.0,150.4,423.1
1993,-26.399999999999977,-55.4,81.79999999999998,5053.061,135.8,3068.9543003045683,392.2,1456.1066996954307,523.4,4529.661,932.7526996954307,270.29999999999995,39.0,47.599999999999994,575.7526996954315,1.0164545776212515,1.0183908624842368,0.8490645811464513,0.7827733297209057,-41.900000000000006,68.29999999999998,3891.5,2488.2,342.0,1061.3,420.1,3471.4,641.1999999999999,141.79999999999998,32.7,466.8,1.1192180136149414,1161.5609999999997,135.8,580.7543003045685,50.19999999999999,394.8066996954308,103.29999999999995,1058.261,291.55269969543076,128.49999999999997,6.299999999999997,47.599999999999994,108.95269969543148,7235.400000000001,5523.3,1712.1000000000001,0.08298300707610497,0.08848953594176524,0.06551575447710853,0.049052693931526836,,,,,,641.2,7235.4,5523.3,0.0884895359,0.0655157545,,,,3471.4,141.8,466.8
1994,-23.800000000000068,-62.0,85.80000000000007,5392.317,108.8,3246.153675551788,435.00000000000006,1602.363324448212,551.6,4840.717,1050.7863244482119,280.30000000000007,40.1,52.00000000000001,677.9863244482119,1.0161687977255138,1.0180444790098335,0.8550602939354177,0.7946055085059074,-47.6,71.40000000000006,4181.9,2634.8,372.4,1174.8000000000002,444.9,3737.0,729.9000000000001,146.40000000000006,33.2,550.3,1.1084282460136676,1210.4170000000004,108.8,611.353675551788,62.60000000000008,427.5633244482119,106.70000000000005,1103.7169999999996,320.8863244482118,133.9,6.899999999999999,52.00000000000001,127.68632444821202,7603.0,5823.5,1779.5,0.09370405567739336,0.09963246609816594,0.07457877720239005,0.061811146027872674,,,,,,729.9,7603.0,5823.5,0.0996324661,0.0745787772,,,,3737.0,146.4,550.3
1995,-48.10000000000002,-66.2,114.30000000000003,5666.408,52.5,3416.6482395857847,445.1,1752.1597604142146,588.3000000000001,5078.108,1163.9227604142147,296.5,44.099999999999994,56.09999999999999,767.0227604142151,1.0205867753292983,1.0230266762936842,0.8717052275227843,0.8186262205754783,-51.5,99.60000000000002,4457.1,2776.0,379.1,1302.0,476.8,3980.2999999999997,825.2,164.3,37.7,623.2,1.137265711135612,1209.308,52.5,640.6482395857847,66.0,450.1597604142146,111.50000000000006,1097.8080000000004,338.7227604142147,132.2,6.3999999999999915,56.09999999999999,143.822760414215,7998.4,6155.3,1843.1,0.10088422470264569,0.10701468189233279,0.0808220064142821,0.07320229215939479,,,,,,825.2,7998.4,6155.3,0.1070146819,0.0808220064,,,,3980.3,164.3,623.2
1996,-42.799999999999955,-66.4,109.19999999999996,6008.726,25.9,3615.2889203187256,465.0999999999999,1902.4370796812757,621.4999999999999,5387.226,1280.9750796812752,300.5999999999999,54.5,58.400000000000006,867.575079681275,1.0185099616477662,1.0206895532534321,0.8612747558160153,0.8069642684145616,-50.9,93.69999999999996,4718.7,2914.9,390.7,1413.1000000000001,506.0,4212.7,907.0999999999999,162.99999999999994,44.6,699.5,1.1151954757806737,1290.0259999999998,25.9,700.3889203187255,74.39999999999992,489.33707968127555,115.49999999999989,1174.5259999999998,373.87507968127534,137.59999999999997,9.899999999999999,58.400000000000006,168.07507968127504,8387.5,6471.8,1915.6999999999998,0.10846857867589456,0.11364190210062872,0.09119151412363684,0.10153511683438281,,,,,,907.1,8387.5,6471.8,0.1136419021,0.0911915141,,,,4212.7,163.0,699.5
1997,-29.90000000000009,-70.8,100.70000000000009,6408.717,-14.0,3869.914897954476,494.30000000000007,2058.502102045524,660.8999999999999,5747.817,1397.6261020455238,326.60000000000014,46.699999999999996,61.300000000000004,962.9261020455244,1.0159638123993642,1.0178321079588044,0.8575748557915611,0.8034642725182664,-53.6,83.50000000000009,5062.4,3123.9,406.9,1531.6999999999998,540.9,4521.5,990.8000000000001,178.30000000000007,35.2,777.3,1.0920313016642789,1346.317,-14.0,746.014897954476,87.40000000000009,526.8021020455244,119.99999999999989,1226.317,406.8261020455237,148.30000000000007,11.499999999999993,61.300000000000004,185.62610204552448,8844.900000000001,6832.1,2012.8000000000002,0.11480490039290903,0.12010568929818596,0.09689727099521037,0.11236246454661641,,,,,,990.8,8844.9,6832.1,0.1201056893,0.096897271,,,,4521.5,178.3,777.3
1998,-4.599999999999909,-74.69999999999999,79.2999999999999,6751.667,-85.3,4238.619931912822,517.9000000000001,2080.4470680871777,704.4000000000001,6047.267,1375.9830680871783,366.19999999999993,63.400000000000006,60.7,885.5830680871791,1.0118848378693799,1.0132876069857624,0.8279516373551908,0.7609263220080622,-56.099999999999994,60.6999999999999,5360.0,3396.8,418.4,1544.6999999999998,578.3,4781.7,966.4,202.8999999999999,53.8,709.7,1.067019984542343,1391.6670000000004,-85.3,841.8199319128216,99.50000000000011,535.7470680871779,126.10000000000014,1265.567,409.5830680871783,163.30000000000004,9.600000000000009,60.7,175.88306808717903,9347.6,7219.2,2128.4,0.10012358173491831,0.10387728516854261,0.0873822874042026,0.12930326563635472,,,,,,966.4,9347.6,7219.2,0.1038772852,0.0873822874,,,,4781.7,202.9,709.7
1999,-25.600000000000364,-79.4,105.00000000000037,7209.672,-71.1,4549.443944217812,540.3,2191.0280557821893,759.5000000000001,6450.172,1431.5730557821894,382.9000000000003,67.0,60.59999999999999,921.2730557821882,1.0147790073911926,1.0165480147740675,0.8279418505008546,0.7586904742075303,-58.400000000000006,84.00000000000037,5708.5,3628.6,441.5,1638.4000000000005,625.8,5082.7,1012.6000000000004,223.00000000000037,54.9,734.8,1.0904587551152276,1501.1719999999996,-71.1,920.8439442178119,98.79999999999995,552.6280557821888,133.70000000000016,1367.4719999999998,418.973055782189,159.89999999999995,12.100000000000001,60.59999999999999,186.47305578218823,9884.6,7651.3,2233.3,0.09855717572234457,0.10178413120567376,0.08761184729476988,0.14585421029508217,,,,,,1012.6,9884.6,7651.3,0.1017841312,0.0876118473,,,,5082.7,223.0,734.8
2000,-26.199999999999818,-91.80000000000001,117.99999999999983,7685.406999999999,-134.0,4982.86191702528,571.7000000000002,2264.8450829747203,827.0,6858.406999999999,1437.88508297472,441.49999999999983,86.2,60.70000000000001,849.5850829747205,1.0155931879968925,1.0175063612627546,0.812249882717698,0.7330912016797799,-67.0,93.19999999999982,6109.599999999999,3950.7,466.6,1692.3999999999999,685.1,5424.499999999999,1007.2999999999998,259.79999999999984,73.8,673.6,1.1019582102614591,1575.8069999999998,-134.0,1032.1619170252798,105.10000000000014,572.4450829747204,141.89999999999998,1433.9070000000002,430.5850829747202,181.7,12.400000000000006,60.70000000000001,175.9850829747205,10549.5,8200.9,2348.6,0.08595037563226843,0.08803732699018467,0.0788004670105765,0.15632053770511006,,,,,,1007.3,10549.5,8200.9,0.088037327,0.078800467,,,,5424.5,259.8,673.6
2001,-43.399999999999864,-94.0,137.39999999999986,7902.835,-103.4,5140.979794683418,572.9,2292.355205316582,879.3000000000001,7023.535,1413.0172053165827,453.59999999999985,102.3,64.5,792.5172053165824,1.0176937930714762,1.0199531377180378,0.805002323089024,0.7178871134057726,-67.2,110.59999999999987,6145.299999999999,3986.2,462.6,1696.6,730.3,5414.999999999999,966.3,264.79999999999984,87.0,614.5,1.1292509056912468,1757.5350000000008,-103.4,1154.779794683418,110.29999999999995,595.7552053165823,149.0000000000001,1608.5350000000008,446.71720531658275,188.8,15.299999999999997,64.5,178.01720531658236,11092.0,8635.2,2456.8,0.07512367461174296,0.07493080027801827,0.07579715801608719,0.16783864290857756,,,,,,966.3,11092.0,8635.2,0.0749308003,0.075797158,,,,5415.0,264.8,614.5
2002,-47.600000000000136,-96.69999999999999,144.30000000000013,8120.816,-22.1,5153.609227667732,617.4,2371.906772332268,911.3,7209.516,1460.5677723322683,397.50000000000017,79.80000000000001,58.499999999999986,924.7677723322684,1.018090604970892,1.0204240040219577,0.8158062034430535,0.7317107220741789,-68.0,115.60000000000014,6238.3,3980.7,492.2,1765.4,755.9,5482.400000000001,1009.5000000000001,231.80000000000013,63.5,714.3,1.129320953126748,1882.5159999999996,-22.1,1172.909227667732,125.19999999999999,606.5067723322677,155.39999999999998,1727.115999999999,451.0677723322682,165.70000000000005,16.30000000000001,58.499999999999986,210.4677723322684,11515.599999999999,8955.9,2559.7,0.0833725002102658,0.08271956642579209,0.08566744233648176,0.16632905342328855,,,,,,1009.5,11515.6,8955.9,0.0827195664,0.0856674423,,,,5482.4,231.8,714.3
2003,-48.39999999999998,-103.1,151.49999999999997,8495.303999999998,16.6,5327.574813523132,647.6999999999999,2503.4291864768684,938.4999999999999,7556.803999999998,1564.9061864768687,384.6,71.69999999999999,54.89999999999999,1053.7061864768684,1.0181571858591119,1.0204583093415207,0.8232735632678615,0.7443781508237971,-73.7,122.09999999999998,6482.8,4105.5,517.3,1860.0,775.5,5707.3,1084.5,221.5,50.9,812.0,1.1268703241895262,2012.503999999998,16.6,1222.0748135231324,130.39999999999998,643.4291864768684,162.9999999999999,1849.503999999998,480.4061864768687,163.10000000000002,20.79999999999999,54.89999999999999,241.70618647686842,11856.4,9186.4,2670.0,0.09150249978089449,0.09066648801348832,0.09442754482043537,0.16025443101765086,,,,,,1084.5,11856.4,9186.4,0.090666488,0.0944275448,,,,5707.3,221.5,812.0
2004,-85.90000000000009,-107.19999999999999,193.10000000000008,9098.489,-22.3,5569.801212084103,700.5,2850.4877879158958,981.9999999999999,8116.489,1868.463787915896,377.1,75.9,55.10000000000001,1360.3637879158975,1.0216834997325777,1.0243708847312685,0.8451589243341279,0.7815551043275598,-76.5,162.4000000000001,6936.6,4265.9,553.7,2117.0,809.2,6127.4,1307.8000000000002,211.00000000000009,54.9,1041.9,1.1417845294220361,2161.888999999999,-22.3,1303.9012120841035,146.79999999999995,733.4877879158958,172.79999999999984,1989.089,560.6637879158959,166.09999999999994,21.000000000000007,55.10000000000001,318.46378791589746,12811.5,9909.5,2902.0,0.11473666441043635,0.11341766089001133,0.11927482693479305,0.1827227868462975,,,,,,1307.8,12811.5,9909.5,0.1134176609,0.1192748269,,,,6127.4,211.0,1041.9
