Year,"BEA 1993 Current-Cost Net stock; Source: BEA 1993, Table A13","BEA 1993 Constant-Cost Net stock (1987-$); Source: BEA 1993, Table A12","BEA 1993 Implicit Price Deflator, Net Stock (1985 = 100); Source: KNCbea93*100/KNRbea93","BEA 1993 Current-Cost Corporate Depreciation; Source: BEA 1993, Table A13","BEA 1993 Depreciation Rate, Net Stock; Source: DEPcorp*100/[pKN*KNR(-1)]","BEA 2011 Chain Index Net Stock Deflator, 2005 = 100; Source: Appendix Table 6.8.II.1",BEA 2011 Current-Cost Gross Investment; Source: Appendix Table 6.8.II.1,New Net Current Cost Corp Stock; Source: KNCnew = IGC + (1-dcorpnew)* (pKN/pKN(-1))*KNCnew(-1),"BEA 1993 Current-Cost Gross stock; Source: BEA 1993, Table A13","BEA 1993 Constant-Cost Gross stock (1987-$); Source: BEA 1993, Table A12","BEA 1993 Implicit Price Deflator, Gross Stock; Source: KGCbea93*100/KGRbea93","BEA 1993 Current-Cost Corporate Retirements (Discards); Source: BEA 1993, Table A13","BEA 1993 Retirement Rate, Gross Stock; Source: RETcorp/[pKG*KGR(-1)]",New Gross Current Cost Corp Stock; Source: KGCnew = IGC + (1-rcorpnew)*(pKN/pKN(-1))*KGCnew(-1),Ratio of New Current-Cost Net Stock to BEA Net Stock,Ratio of New Current-Cost Net Stock to BEA Net Stock,"BEA FA T6.1 extension data, post-2011",Spliced Shaikh S211A + BEA FA (post-2011). Note: Full GPIM recalculation in Table68II1.
,S211A,S211B,S211C,S211D,S211E,S211F,S211G,S211H,S211I,S211J,S211K,S211L,S211M,S211N,S211O,S211P,S211A_EXT,S211A_COMBINED
1925,77.769,822.004,9.460902866652717,4.96,,6.987324041178134,7.3,98.1,141.919,1503.79,9.437421448473525,2.962,,98.1,1.0,1.0,,
1926,79.727,841.003,9.47998996436398,5.147,0.06604992970917478,7.010001550945491,7.3,99.21785819593643,145.696,1541.389,9.452253778896827,3.09,0.02173881735212212,103.57888634048325,0.9823550316429349,1.0255335281235964,,
1927,80.892,855.083,9.460134279362354,5.237,0.06582452410921125,6.967098917027275,6.9,99.01962729698553,148.348,1572.329,9.434921062958198,3.377,0.023220979458267146,107.45447964918465,0.9669885478221243,1.0493601528240688,,
1928,81.55,867.516,9.400402989685492,5.341,0.0664458457635659,6.980388542387048,7.0,99.61651252904326,150.074,1601.811,9.369020439989487,3.435,0.02331788361739119,112.14905682068812,0.9514471110701362,1.0711466745051397,,
1929,81.369,887.887,9.16434185881762,5.45,0.0685516207978954,6.728795296351779,7.7,97.14330619893347,149.632,1639.396,9.127263943549941,3.484,0.023830121952977092,113.23068259542862,0.9376767007619061,1.0929602567126315,,
1930,76.628,895.364,8.558307012566956,5.297,0.06970828750457933,6.30017160445793,6.4,91.01494858854144,141.978,1663.032,8.53729813978324,3.51,0.025078571627239674,109.75912023967132,0.9240096303405223,1.1143057892352417,,
1931,68.367,879.613,7.772395360232284,4.956,0.07121587016761978,5.684310306741422,4.0,80.26985367641122,129.182,1662.333,7.771126483081307,3.406,0.026354820343160387,100.41991283187753,0.9080300189639278,1.1359718646139991,,
1932,61.955,848.424,7.302362969458667,4.436,0.06906157557055527,5.40058573691137,2.4,73.39643055484115,120.679,1644.989,7.336158478871287,3.188,0.026141564884613135,95.31348659763638,0.8907333805199168,1.1567170703596648,,
1933,60.951,816.242,7.467270735884702,4.258,0.0672095231856014,5.562149640687173,2.2,72.71164502154747,122.035,1623.978,7.514572241742191,3.277,0.026509966521794392,97.76253672270182,0.8739380411243686,1.1750304894555508,,
1934,61.071,790.377,7.726818973730258,4.366,0.06922517399698302,5.706230194073993,2.7,72.13128734578216,124.88,1606.532,7.773265643012402,3.537,0.028018921130113263,100.18479698993251,0.8566661204962251,1.1898431946547803,,
1935,61.096,769.43,7.940423430331544,4.406,0.0702047564150169,5.724143641217373,3.2,70.47787092446919,126.869,1591.274,7.972794125964479,3.769,0.029425659624302238,100.74204665214876,0.8420295212003487,1.2036086816266278,,
