Year,"IRS corporate Inventories, 1947-2011; Source: IRS Corporate Balance Sheets (to 1997).xlsx;  IRS Corporate Balance Sheets (extended to 2011).xlsx (Thousands $)","Depreciable Assets, 1990-2011; Source: IRS Corporate Balance Sheets (extended to 2011).xlsx (Thousands $)","Accumulated Depreciation, 1990-2011; Source: ""","IRS Net Fixed Capital, 1990-2011; Source: Depreciable assets - accumulated depreciation (Thousand $)","BEA Net Historical Cost Capital Stock; Source: Appndx 6.8.II.1 (Bills $), BEA Historical Cost Net Stock","See AppFig6.7.11 for graph and trend line; Source: (KNHIRS corp/ KNHcorpbea), actual for 1990-2011","Source: (KNHIRS / KHNBEA), actual for 1990-2011 and extrapolated via linear time trend for 1947-2011","Source: KNHIRS actual for 1990-2011, and estimated as KNHcorpbea*(KNHIRScorp / KHNcorpbea)' for 1947-1989 (Bill $)",Final Corporate Net Historical Cost Stock; Source: Appendix 6.8.II.5,Source: INVcorp = (INVIRScorp)*KNHcorp/KNHIRScorp,"Inventory/net capital, IRS Corporate; Source: see variables above",Estimated Corporate Inventories; Source: (INVIRScorp / KNHIRScorpest)*KNHcorp,"Final Corporate Gross Current Cost Fixed Capital Stock (plant, equipment); Source: Appendix 6.8.II.5","Final Corporate Current Cost Total Stock (plant, equipment, inventories); Source: KGCcorp + INVcorp","Estimated Corp Inventories, held at 2011 INV/KGC ratio (IRS not API-accessible). MVP proxy: constant ratio applied to BEA FA-derived KGC.","Corp Gross Current-Cost Fixed Capital, BEA FA-derived via ratio splice post-2011","Corp Current-Cost Total Stock (KGC+INV), BEA-derived post-2011",Spliced Shaikh INVcorp (1946-2011) + ratio proxy (post-2011),Spliced Shaikh KGCcorp (1946-2011) + BEA-derived (post-2011),Spliced Shaikh KTCcorp (1946-2011) + BEA-derived (post-2011)
,S214A,S214B,S214C,S214D,S214E,S214F,S214G,S214H,S214I,S214J,S214K,S214L,S214M,S214N,S214L_EXT,S214M_EXT,S214N_EXT,S214L_COMBINED,S214M_COMBINED,S214N_COMBINED
1946,36965000.0,,,,95.3,,1.1584,110.39552,61.75819298680039,20.679205132210768,0.33484148632118405,20.679205132210768,152.54296239785796,173.22216753006873,,,,20.6792051322,152.5429623979,173.2221675301
1947,44009000.0,,,,105.0,,1.149,120.645,69.06177380379634,25.192420766142597,0.36478096895851464,25.192420766142593,170.5828337097477,195.77525447589028,,,,25.1924207661,170.5828337097,195.7752544759
1948,48293000.0,,,,115.9,,1.1396000000000002,132.07964,78.76177380379634,28.798097438081573,0.3656354605448652,28.798097438081573,191.68359280651978,220.48169024460137,,,,28.7980974381,191.6835928065,220.4816902446
1949,44726000.0,,,,124.4,,1.1302,140.59688000000003,89.66177380379635,28.522770172059257,0.3181151672782496,28.522770172059257,200.7047696097666,229.22753978182587,,,,28.5227701721,200.7047696098,229.2275397818
1950,54496000.0,,,,133.7,,1.1208,149.85096,98.16177380379635,35.69829666230825,0.36366800719861925,35.698296662308245,230.20600652901382,265.9043031913221,,,,35.6982966623,230.206006529,265.9043031913
1951,63776000.0,,,,146.0,,1.1114000000000002,162.26440000000002,107.46177380379635,42.236510818829736,0.39303753626796756,42.236510818829736,255.84979414602253,298.0863049648523,,,,42.2365108188,255.849794146,298.0863049649
1952,64520000.0,,,,158.6,,1.102,174.77720000000002,119.86177380379635,44.2476572792157,0.3691557022311834,44.2476572792157,276.7328418152084,320.9804990944241,,,,44.2476572792,276.7328418152,320.9804990944
1953,65519000.0,,,,172.3,,1.0926,188.25498000000002,132.46177380379635,46.10110690219687,0.348033289743517,46.10110690219686,296.53555848647704,342.6366653886739,,,,46.1011069022,296.5355584865,342.6366653887
1954,62914000.0,,,,184.4,,1.0832000000000002,199.74208000000004,146.16177380379634,46.03747911853146,0.31497619329887816,46.03747911853146,311.23510269058767,357.2725818091191,,,,46.0374791185,311.2351026906,357.2725818091
1955,70920000.0,,,,197.9,,1.0738,212.50502000000003,158.16177380379634,52.78384952113242,0.33373329251233685,52.78384952113242,347.98339125729046,400.7672407784229,,,,52.7838495211,347.9833912573,400.7672407784
1956,78744000.0,,,,216.0,,1.0644,229.9104,171.76177380379633,58.82817443841661,0.3424986429496012,58.8281744384166,391.8473726280085,450.6755470664251,,,,58.8281744384,391.847372628,450.6755470664
1957,80560000.0,,,,235.4,,1.0550000000000002,248.34700000000004,189.76177380379633,61.555841212633254,0.3243848325125731,61.555841212633254,426.5861093605473,488.14195057318057,,,,61.5558412126,426.5861093605,488.1419505732
1958,80047000.0,,,,248.7,,1.0456,260.04072,209.16177380379634,64.38519516355932,0.3078248668131668,64.38519516355933,442.59008309327965,506.975278256839,,,,64.3851951636,442.5900830933,506.9752782568
1959,88304000.0,,,,263.6,,1.0362,273.14232000000004,222.36177380379632,71.88719080210795,0.3232893386861472,71.88719080210795,469.2512596112735,541.1384504133814,,,,71.8871908021,469.2512596113,541.1384504134
1960,91334000.0,,,,280.9,,1.0268000000000002,288.42812000000004,237.26177380379633,75.13160245469801,0.31666121874663256,75.131602454698,484.9322528829036,560.0638553376016,,,,75.1316024547,484.9322528829,560.0638553376
1961,94818000.0,,,,296.5,,1.0174,301.6591,254.36177380379632,79.95142420211542,0.3143216962458616,79.95142420211542,503.27763471608745,583.2290589182029,,,,79.9514242021,503.2776347161,583.2290589182
1962,100327000.0,,,,313.9,,1.008,316.41119999999995,269.96177380379635,85.59891331410986,0.3170779036898821,85.59891331410988,525.4492389980019,611.0481523121117,,,,85.5989133141,525.449238998,611.0481523121
1963,106340000.0,,,,331.7,,0.9986000000000002,331.23562000000004,287.46177380379635,92.28682901402844,0.3210403518800303,92.28682901402844,548.4317201515985,640.7185491656269,,,,92.286829014,548.4317201516,640.7185491656
1964,112960000.0,,,,353.5,,0.9892000000000001,349.6822,305.66177380379634,98.7398099442203,0.323036173988839,98.7398099442203,584.416740608418,683.1565505526382,,,,98.7398099442,584.4167406084,683.1565505526
