Count of 1997 NAICS,Unnamed: 1,Unnamed: 2
2002 NAICS,1997 NAICS,Total
111110,111110,1
111110 Total,,1
111120,111120,1
111120 Total,,1
111130,111130,1
111130 Total,,1
111140,111140,1
111140 Total,,1
111150,111150,1
111150 Total,,1
111160,111160,1
111160 Total,,1
111191,111191,1
111191 Total,,1
111199,111199,1
111199 Total,,1
111211,111211,1
111211 Total,,1
111219,111219,1
111219 Total,,1
111310,111310,1
111310 Total,,1
111320,111320,1
111320 Total,,1
111331,111331,1
111331 Total,,1
111332,111332,1
111332 Total,,1
111333,111333,1
111333 Total,,1
111334,111334,1
111334 Total,,1
111335,111335,1
111335 Total,,1
111336,111336,1
111336 Total,,1
111339,111339,1
111339 Total,,1
111411,111411,1
111411 Total,,1
111419,111419,1
111419 Total,,1
111421,111421,1
111421 Total,,1
111422,111422,1
111422 Total,,1
111910,111910,1
111910 Total,,1
111920,111920,1
111920 Total,,1
111930,111930,1
111930 Total,,1
111940,111940,1
111940 Total,,1
111991,111991,1
111991 Total,,1
111992,111992,1
111992 Total,,1
111998,111998,1
111998 Total,,1
112111,112111,1
112111 Total,,1
112112,112112,1
112112 Total,,1
112120,112120,1
112120 Total,,1
112130,112130,1
112130 Total,,1
112210,112210,1
112210 Total,,1
112310,112310,1
112310 Total,,1
112320,112320,1
112320 Total,,1
112330,112330,1
112330 Total,,1
112340,112340,1
112340 Total,,1
112390,112390,1
112390 Total,,1
112410,112410,1
112410 Total,,1
112420,112420,1
112420 Total,,1
112511,112511,1
112511 Total,,1
112512,112512,1
112512 Total,,1
112519,112519,1
112519 Total,,1
112910,112910,1
112910 Total,,1
112920,112920,1
112920 Total,,1
112930,112930,1
112930 Total,,1
112990,112990,1
112990 Total,,1
113110,113110,1
113110 Total,,1
113210,113210,1
113210 Total,,1
113310,113310,1
113310 Total,,1
114111,114111,1
114111 Total,,1
114112,114112,1
114112 Total,,1
114119,114119,1
114119 Total,,1
114210,114210,1
114210 Total,,1
115111,115111,1
115111 Total,,1
115112,115112,1
115112 Total,,1
115113,115113,1
115113 Total,,1
115114,115114,1
115114 Total,,1
115115,115115,1
115115 Total,,1
115116,115116,1
115116 Total,,1
115210,115210,1
115210 Total,,1
115310,115310,1
115310 Total,,1
211111,211111,1
211111 Total,,1
211112,211112,1
211112 Total,,1
212111,212111,1
212111 Total,,1
212112,212112,1
212112 Total,,1
212113,212113,1
212113 Total,,1
212210,212210,1
212210 Total,,1
212221,212221,1
212221 Total,,1
212222,212222,1
212222 Total,,1
212231,212231,1
212231 Total,,1
212234,212234,1
212234 Total,,1
212291,212291,1
212291 Total,,1
212299,212299,1
212299 Total,,1
212311,212311,1
212311 Total,,1
212312,212312,1
212312 Total,,1
212313,212313,1
212313 Total,,1
212319,212319,1
212319 Total,,1
212321,212321,1
212321 Total,,1
212322,212322,1
212322 Total,,1
212324,212324,1
212324 Total,,1
212325,212325,1
212325 Total,,1
212391,212391,1
212391 Total,,1
212392,212392,1
212392 Total,,1
212393,212393,1
212393 Total,,1
212399,212399,1
212399 Total,,1
213111,213111,1
213111 Total,,1
213112,213112,1
213112 Total,,1
213113,213113,1
213113 Total,,1
213114,213114,1
213114 Total,,1
213115,213115,1
213115 Total,,1
221111,221111,1
221111 Total,,1
221112,221112,1
221112 Total,,1
221113,221113,1
221113 Total,,1
221119,221119,1
221119 Total,,1
221121,221121,1
221121 Total,,1
221122,221122,1
221122 Total,,1
221210,221210,1
221210 Total,,1
221310,221310,1
221310 Total,,1
221320,221320,1
221320 Total,,1
221330,221330,1
221330 Total,,1
236115,233210,1
236115 Total,,1
236116,233220,1
236116 Total,,1
236117,233210,1
,233220,1
236117 Total,,2
236118,233210,1
,233220,1
236118 Total,,2
236210,233310,1
,234930,1
,234990,1
236210 Total,,3
236220,233220,1
,233310,1
,233320,1
,235990,1
236220 Total,,4
237110,234910,1
,234990,1
,235810,1
237110 Total,,3
237120,213112,1
,234910,1
,234930,1
237120 Total,,3
237130,234920,1
,234930,1
237130 Total,,2
237210,233110,1
237210 Total,,1
237310,234110,1
,234120,1
,235210,1
237310 Total,,3
237990,234120,1
,234990,1
,235990,1
237990 Total,,3
238110,235710,1
238110 Total,,1
238120,235910,1
238120 Total,,1
238130,235510,1
238130 Total,,1
238140,235420,1
,235410,1
238140 Total,,2
238150,235920,1
238150 Total,,1
238160,235610,1
238160 Total,,1
238170,235610,1
238170 Total,,1
238190,235990,1
,235910,1
238190 Total,,2
238210,235110,1
,235310,1
238210 Total,,2
238220,235910,1
,235950,1
,(blank),
238220 Total,,2
238290,235990,1
,235950,1
238290 Total,,2
238310,235420,1
238310 Total,,1
238320,235210,1
238320 Total,,1
238330,235520,1
238330 Total,,1
238340,235430,1
238340 Total,,1
238350,235510,1
238350 Total,,1
238390,235990,1
,235610,1
238390 Total,,2
238910,213112,1
,213113,1
,213114,1
,213115,1
,234990,1
,235990,1
,235110,1
,235930,1
,235940,1
238910 Total,,9
238990,234990,1
,235990,1
,561720,1
,235710,1
238990 Total,,4
311111,311111,1
311111 Total,,1
311119,311119,1
311119 Total,,1
311211,311211,1
311211 Total,,1
311212,311212,1
311212 Total,,1
311213,311213,1
311213 Total,,1
311221,311221,1
311221 Total,,1
311222,311222,1
311222 Total,,1
311223,311223,1
311223 Total,,1
311225,311225,1
311225 Total,,1
311230,311230,1
311230 Total,,1
311311,311311,1
311311 Total,,1
311312,311312,1
311312 Total,,1
311313,311313,1
311313 Total,,1
311320,311320,1
311320 Total,,1
311330,311330,1
311330 Total,,1
311340,311340,1
311340 Total,,1
311411,311411,1
311411 Total,,1
311412,311412,1
311412 Total,,1
311421,311421,1
311421 Total,,1
311422,311422,1
311422 Total,,1
311423,311423,1
311423 Total,,1
311511,311511,1
311511 Total,,1
311512,311512,1
311512 Total,,1
311513,311513,1
311513 Total,,1
311514,311514,1
311514 Total,,1
311520,311520,1
311520 Total,,1
311611,311611,1
311611 Total,,1
311612,311612,1
311612 Total,,1
311613,311613,1
311613 Total,,1
311615,311615,1
311615 Total,,1
311711,311711,1
311711 Total,,1
311712,311712,1
311712 Total,,1
311811,311811,1
311811 Total,,1
311812,311812,1
311812 Total,,1
311813,311813,1
311813 Total,,1
311821,311821,1
311821 Total,,1
311822,311822,1
311822 Total,,1
311823,311823,1
311823 Total,,1
311830,311830,1
311830 Total,,1
311911,311911,1
311911 Total,,1
311919,311919,1
311919 Total,,1
311920,311920,1
311920 Total,,1
311930,311930,1
311930 Total,,1
311941,311941,1
311941 Total,,1
311942,311942,1
311942 Total,,1
311991,311991,1
311991 Total,,1
311999,311999,1
311999 Total,,1
312111,312111,1
312111 Total,,1
312112,312112,1
312112 Total,,1
312113,312113,1
312113 Total,,1
312120,312120,1
312120 Total,,1
312130,312130,1
312130 Total,,1
312140,312140,1
312140 Total,,1
312210,312210,1
312210 Total,,1
312221,312221,1
312221 Total,,1
312229,312229,1
312229 Total,,1
313111,313111,1
313111 Total,,1
313112,313112,1
313112 Total,,1
313113,313113,1
313113 Total,,1
313210,313210,1
313210 Total,,1
313221,313221,1
313221 Total,,1
313222,313222,1
313222 Total,,1
313230,313230,1
313230 Total,,1
313241,313241,1
313241 Total,,1
313249,313249,1
313249 Total,,1
313311,313311,1
313311 Total,,1
313312,313312,1
313312 Total,,1
313320,313320,1
313320 Total,,1
