1997 NAICS,NAICS Part Indicator,1997 NAICS Title,SIC,SIC Part Indicator,SIC Title and Part Description
11111,,Soybean Farming,0116,,Soybeans
11112,,Oilseed (except Soybean) Farming,0119,*,"Cash Grains, NEC (oilseed, except soybean farming)"
11113,,Dry Pea and Bean Farming,0119,*,"Cash Grains, NEC (dry pea and bean farms)"
11114,,Wheat Farming,0111,,Wheat
11115,a,Corn Farming,0115,,Corn
11115,b,Corn Farming,0119,*,"Cash Grains, NEC (popcorn farming)"
11116,,Rice Farming,0112,,Rice
111191,,Oilseed and Grain Combination Farming,0119,*,"Cash Grains, NEC (oilseed and grain combination farms)"
111199,,All Other Grain Farming,0119,*,"Cash Grains, NEC (except popcorn, soybean, and dry pea and bean, and oilseed and grain combination farms)"
111211,,Potato Farming,0134,,Irish Potatoes
111219,a,Other Vegetable (except Potato) and Melon Farming,0161,,Vegetables and Melons
111219,b,Other Vegetable (except Potato) and Melon Farming,0139,*,Field Crops Except Cash Grains (sweet potatoes and yams)
11131,,Orange Groves,0174,*,Citrus Fruits (orange groves and farms)
11132,,Citrus (except Orange) Groves,0174,*,Citrus Fruits (except orange groves and farms)
111331,,Apple Orchards,0175,*,Deciduous Tree Fruits (apple orchards and farms)
111332,,Grape Vineyards,0172,,Grapes
111333,,Strawberry Farming,0171,*,Berry Crops (strawberry farms)
111334,,Berry (except Strawberry) Farming,0171,*,Berry Crops ( except strawberry farms)
111335,,Tree Nut Farming,0173,,Tree Nuts
111336,,Fruit and Tree Nut Combination Farming,0179,*,"Fruits and Tree Nuts, NEC (combination farms)"
111339,a,Other Noncitrus Fruit Farming,0175,*,Deciduous Tree Fruits (except apple orchards and farms)
111339,b,Other Noncitrus Fruit Farming,0179,*,"Fruit and Tree Nuts, NEC (except combination farms)"
111411,,Mushroom Production,0182,*,"Food Crops Grown Under Cover (mushrooms, growing of)"
111419,,Other Food Crops Grown Under Cover,0182,*,"Food Crops Grown Under Cover (except mushroom, growing of)"
111421,a,Nursery and Tree Production,0181,*,Ornamental Floriculture and Nursery Products (nursery farming)
111421,b,Nursery and Tree Production,0811,*,Timber Tracts (short rotation woody crops)
111422,,Floriculture Production,0181,*,Ornamental Floriculture and Nursery Products (floriculture farming)
11191,,Tobacco Farming,0132,,Tobacco
11192,,Cotton Farming,0131,,Cotton
11193,,Sugarcane Farming,0133,*,Sugarcane and Sugar Beets (sugarcane farms)
11194,,Hay Farming,0139,*,"Field Crops, Except Cash Grains, NEC (hay farms)"
111991,,Sugar Beet Farming,0133,*,Sugarcane and Sugar Beets (sugar beet farms)
111992,,Peanut Farming,0139,*,"Field Crops, Except Cash Grains, NEC (peanut farms)"
111998,a,All Other Miscellaneous Crop Farming,0139,*,"Field Crops, Except Cash Grains, NEC (except peanut, sweet potato, yam and hay farms)"
111998,b,All Other Miscellaneous Crop Farming,0191,,"General Farms, Primarily Crop"
111998,c,All Other Miscellaneous Crop Farming,0831,*,"Forest Products (maple sap, gathering of)"
111998,d,All Other Miscellaneous Crop Farming,0919,*,Miscellaneous Marine Products (plant aquaculture)
111998,e,All Other Miscellaneous Crop Farming,2099,*,"Food Preparations, NEC (reducing maple sap to maple syrup)"
112111,a,Beef Cattle Ranching and Farming,0212,,"Beef Cattle, Except Feedlots"
112111,b,Beef Cattle Ranching and Farming,0241,*,Dairy Farms (dairy heifer replacement farms)
112112,,Cattle Feedlots,0211,,Beef Cattle Feedlots
11212,,Dairy Cattle and Milk Production,0241,*,Dairy Farms
11213,,Dual Purpose Cattle Ranching and Farming,,,Null Set for U.S.
11221,,Hog and Pig Farming,0213,,Hogs
11231,,Chicken Egg Production,0252,,Chicken Eggs
11232,,Broilers and Other Meat Type Chicken Production,0251,,"Broiler, Fryers, and Roaster Chickens"
11233,,Turkey Production,0253,,Turkey and Turkey Eggs
11234,,Poultry Hatcheries,0254,,Poultry Hatcheries
11239,,Other Poultry Production,0259,,"Poultry and Eggs, NEC"
11241,,Sheep Farming,0214,*,Sheep and Goats (sheep farms)
11242,,Goat Farming,0214,*,Sheep and Goats (goat farms)
112511,a,Finfish Farming and Fish Hatcheries,0273,*,Animal Aquaculture (finfish farms)
112511,b,Finfish Farming and Fish Hatcheries,0921,*,Fish Hatcheries and Preserves (finfish hatcheries)
112512,a,Shellfish Farming,0273,*,Animal Aquaculture (shellfish farms)
112512,b,Shellfish Farming,0921,*,Fish Hatcheries and Preserves (shellfish hatcheries)
112519,a,Other Animal Aquaculture,0273,*,Animal Aquaculture (except finfish and shellfish)
112519,b,Other Animal Aquaculture,0279,*,"Animal Specialties, NEC (alligator and frog production)"
11291,,Apiculture,0279,*,"Animal Specialties, NEC (apiculture)"
11292,,Horse and Other Equine Production,0272,,Horses and Other Equines
11293,,Fur-Bearing Animal and Rabbit Production,0271,,Fur-Bearing Animals and Rabbits
11299,a,All Other Animal Production,0219,,"General Livestock, Except Dairy and Poultry"
11299,b,All Other Animal Production,0279,*,"Animal Specialties, NEC (except apiculture)"
11299,c,All Other Animal Production,0291,,"General Farms, Primarily Livestock and Animal Specialties"
11311,,Timber Tract Operations,0811,*,Timber Tracts (long term timber farms)
11321,,Forest Nurseries and Gathering of Forest Products,0831,*,"Forest Nurseries and Gathering of Forest Products (forest products, except gathering of maple sap)"
11331,,Logging,2411,,Logging
114111,,Finfish Fishing,0912,,Finfish
114112,,Shellfish Fishing,0913,,Shellfish
114119,,Other Marine Fishing,0919,*,Miscellaneous Marine Products (except plant aquaculture)
11421,,Hunting and Trapping,0971,,"Hunting and Trapping, and Game Propagation"
115111,,Cotton Ginning,0724,,Cotton Ginning
