year,value,subseries_id,source_id,units,month
1833,3.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1833,3.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1833,3.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1833,3.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1833,3.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1833,3.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1833,4.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1833,3.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1833,2.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1834,-1.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1834,-2.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1834,-5.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1834,-6.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1834,-6.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1834,-7.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1834,-7.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1834,-7.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1834,-7.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1834,-7.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1834,-7.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1834,-6.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1835,-6.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1835,-6.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1835,-5.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1835,-1.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1835,1.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1835,4.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1835,5.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1835,6.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1835,5.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1835,6.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1835,7.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1835,8.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1836,9.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1836,11.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1836,14.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1836,17.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1836,17.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1836,16.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
