year,value,subseries_id,source_id,units
1786,-29.8957180182234,S1601-A,SHAIKH_APPENDIX_5,deviation_1930=100
1786,-15.6676687341582,S1601-B,SHAIKH_APPENDIX_5,deviation_1930=100
1786,81.84732056090964,S1601-C,SHAIKH_APPENDIX_5,ratio_wpi_per_gold
1786,91.02836879432623,S1601-D,SHAIKH_APPENDIX_5,ratio_wpi_per_gold
1787,-30.1778268474007,S1601-A,SHAIKH_APPENDIX_5,deviation_1930=100
1787,-11.6673441065201,S1601-B,SHAIKH_APPENDIX_5,deviation_1930=100
1787,80.33327872245972,S1601-C,SHAIKH_APPENDIX_5,ratio_wpi_per_gold
1787,96.35342789598107,S1601-D,SHAIKH_APPENDIX_5,ratio_wpi_per_gold
1788,-32.5287030674071,S1601-A,SHAIKH_APPENDIX_5,deviation_1930=100
1788,-18.1294374661084,S1601-B,SHAIKH_APPENDIX_5,deviation_1930=100
1788,76.77082733787171,S1601-C,SHAIKH_APPENDIX_5,ratio_wpi_per_gold
1788,91.128841607565,S1601-D,SHAIKH_APPENDIX_5,ratio_wpi_per_gold
1789,-32.0580643842049,S1601-A,SHAIKH_APPENDIX_5,deviation_1930=100
1789,-13.2658583888378,S1601-B,SHAIKH_APPENDIX_5,deviation_1930=100
1789,76.0583370609541,S1601-C,SHAIKH_APPENDIX_5,ratio_wpi_per_gold
1789,97.15721040189123,S1601-D,SHAIKH_APPENDIX_5,ratio_wpi_per_gold
1790,-28.0556285037566,S1601-A,SHAIKH_APPENDIX_5,deviation_1930=100
1790,-14.5584972901001,S1601-B,SHAIKH_APPENDIX_5,deviation_1930=100
1790,78.90829816862453,S1601-C,SHAIKH_APPENDIX_5,ratio_wpi_per_gold
1790,96.9562647754137,S1601-D,SHAIKH_APPENDIX_5,ratio_wpi_per_gold
1791,-24.3811131320244,S1601-A,SHAIKH_APPENDIX_5,deviation_1930=100
1791,-15.1792254247638,S1601-B,SHAIKH_APPENDIX_5,deviation_1930=100
1791,81.46374614738856,S1601-C,SHAIKH_APPENDIX_5,ratio_wpi_per_gold
1791,97.35815602836878,S1601-D,SHAIKH_APPENDIX_5,ratio_wpi_per_gold
1792,-21.7542359749708,S1601-A,SHAIKH_APPENDIX_5,deviation_1930=100
1792,-17.8398948871748,S1601-B,SHAIKH_APPENDIX_5,deviation_1930=100
1792,82.98559635014196,S1601-C,SHAIKH_APPENDIX_5,ratio_wpi_per_gold
1792,95.65011820330967,S1601-D,SHAIKH_APPENDIX_5,ratio_wpi_per_gold
1793,-17.8247147385581,S1601-A,SHAIKH_APPENDIX_5,deviation_1930=100
1793,-9.48233861115569,S1601-B,SHAIKH_APPENDIX_5,deviation_1930=100
1793,85.85025555532485,S1601-C,SHAIKH_APPENDIX_5,ratio_wpi_per_gold
1793,104.89361702127658,S1601-D,SHAIKH_APPENDIX_5,ratio_wpi_per_gold
1794,-7.38226712874873,S1601-A,SHAIKH_APPENDIX_5,deviation_1930=100
1794,-8.28837037000612,S1601-B,SHAIKH_APPENDIX_5,deviation_1930=100
1794,95.24991857233124,S1601-C,SHAIKH_APPENDIX_5,ratio_wpi_per_gold
1794,106.90307328605199,S1601-D,SHAIKH_APPENDIX_5,ratio_wpi_per_gold
1795,7.33338914849497,S1601-A,SHAIKH_APPENDIX_5,deviation_1930=100
1795,8.75021522349727,S1601-B,SHAIKH_APPENDIX_5,deviation_1930=100
1795,108.94657039711193,S1601-C,SHAIKH_APPENDIX_5,ratio_wpi_per_gold
1795,124.6867612293144,S1601-D,SHAIKH_APPENDIX_5,ratio_wpi_per_gold
1796,14.0525363872106,S1601-A,SHAIKH_APPENDIX_5,deviation_1930=100
1796,9.36164271710086,S1601-B,SHAIKH_APPENDIX_5,deviation_1930=100
1796,114.67588880747773,S1601-C,SHAIKH_APPENDIX_5,ratio_wpi_per_gold
1796,125.99290780141843,S1601-D,SHAIKH_APPENDIX_5,ratio_wpi_per_gold
1797,10.7154568814358,S1601-A,SHAIKH_APPENDIX_5,deviation_1930=100
