year,value,subseries_id,source_id,units,month
1903,4.3,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1903,3.8,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1903,4.8,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1903,5.9,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1903,5.5,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1903,4.6,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1903,4.1,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1903,2.3,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1903,0.9,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1903,-3.7,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1903,-7.5,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1903,-11.0,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1904,-7.1,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1904,-3.6,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1904,-4.1,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1904,-2.3,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1904,-4.3,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1904,-6.7,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1904,-4.7,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1904,-8.0,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1904,-5.1,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1904,-5.0,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1904,-0.6,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1904,0.6,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1905,3.4,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1905,4.0,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1905,6.9,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1905,8.2,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1905,8.7,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1905,8.5,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1905,8.0,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1905,8.2,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1905,9.7,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1905,9.4,S206-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
