year,value,subseries_id,source_id,units,is_forecast
2026,3.5,XS2302-pctgdp,IMF_WEO_BCA_NGDPD_CHN,percent_of_nominal_gdp,True
2027,716.34,XS2302-level,IMF_WEO_BCA_CHN,billion_usd,True
2027,3.3,XS2302-pctgdp,IMF_WEO_BCA_NGDPD_CHN,percent_of_nominal_gdp,True
2028,693.873,XS2302-level,IMF_WEO_BCA_CHN,billion_usd,True
2028,3.0,XS2302-pctgdp,IMF_WEO_BCA_NGDPD_CHN,percent_of_nominal_gdp,True
2029,718.6,XS2302-level,IMF_WEO_BCA_CHN,billion_usd,True
2029,2.9,XS2302-pctgdp,IMF_WEO_BCA_NGDPD_CHN,percent_of_nominal_gdp,True
2030,749.263,XS2302-level,IMF_WEO_BCA_CHN,billion_usd,True
2030,2.9,XS2302-pctgdp,IMF_WEO_BCA_NGDPD_CHN,percent_of_nominal_gdp,True
2031,781.735,XS2302-level,IMF_WEO_BCA_CHN,billion_usd,True
2031,2.8,XS2302-pctgdp,IMF_WEO_BCA_NGDPD_CHN,percent_of_nominal_gdp,True
