year,value,subseries_id,source_id,units
1946,20.679205132210768,XS009-A,SHAIKH_APP_6_8_II6,billions_current_usd
1946,152.54296239785796,XS009-B,SHAIKH_APP_6_8_II6,billions_current_usd
1946,173.22216753006873,XS009-C,SHAIKH_APP_6_8_II6,billions_current_usd
1947,25.192420766142597,XS009-A,SHAIKH_APP_6_8_II6,billions_current_usd
1947,170.5828337097477,XS009-B,SHAIKH_APP_6_8_II6,billions_current_usd
1947,195.77525447589028,XS009-C,SHAIKH_APP_6_8_II6,billions_current_usd
1948,28.798097438081573,XS009-A,SHAIKH_APP_6_8_II6,billions_current_usd
1948,191.68359280651978,XS009-B,SHAIKH_APP_6_8_II6,billions_current_usd
1948,220.48169024460137,XS009-C,SHAIKH_APP_6_8_II6,billions_current_usd
1949,28.522770172059257,XS009-A,SHAIKH_APP_6_8_II6,billions_current_usd
1949,200.7047696097666,XS009-B,SHAIKH_APP_6_8_II6,billions_current_usd
1949,229.22753978182587,XS009-C,SHAIKH_APP_6_8_II6,billions_current_usd
1950,35.69829666230825,XS009-A,SHAIKH_APP_6_8_II6,billions_current_usd
1950,230.20600652901382,XS009-B,SHAIKH_APP_6_8_II6,billions_current_usd
1950,265.9043031913221,XS009-C,SHAIKH_APP_6_8_II6,billions_current_usd
1951,42.236510818829736,XS009-A,SHAIKH_APP_6_8_II6,billions_current_usd
1951,255.84979414602253,XS009-B,SHAIKH_APP_6_8_II6,billions_current_usd
1951,298.0863049648523,XS009-C,SHAIKH_APP_6_8_II6,billions_current_usd
1952,44.2476572792157,XS009-A,SHAIKH_APP_6_8_II6,billions_current_usd
1952,276.7328418152084,XS009-B,SHAIKH_APP_6_8_II6,billions_current_usd
1952,320.9804990944241,XS009-C,SHAIKH_APP_6_8_II6,billions_current_usd
1953,46.10110690219687,XS009-A,SHAIKH_APP_6_8_II6,billions_current_usd
1953,296.53555848647704,XS009-B,SHAIKH_APP_6_8_II6,billions_current_usd
1953,342.6366653886739,XS009-C,SHAIKH_APP_6_8_II6,billions_current_usd
1954,46.03747911853146,XS009-A,SHAIKH_APP_6_8_II6,billions_current_usd
1954,311.23510269058767,XS009-B,SHAIKH_APP_6_8_II6,billions_current_usd
1954,357.2725818091191,XS009-C,SHAIKH_APP_6_8_II6,billions_current_usd
1955,52.78384952113242,XS009-A,SHAIKH_APP_6_8_II6,billions_current_usd
1955,347.98339125729046,XS009-B,SHAIKH_APP_6_8_II6,billions_current_usd
1955,400.7672407784229,XS009-C,SHAIKH_APP_6_8_II6,billions_current_usd
1956,58.82817443841661,XS009-A,SHAIKH_APP_6_8_II6,billions_current_usd
1956,391.8473726280085,XS009-B,SHAIKH_APP_6_8_II6,billions_current_usd
1956,450.6755470664251,XS009-C,SHAIKH_APP_6_8_II6,billions_current_usd
1957,61.555841212633254,XS009-A,SHAIKH_APP_6_8_II6,billions_current_usd
1957,426.5861093605473,XS009-B,SHAIKH_APP_6_8_II6,billions_current_usd
1957,488.14195057318057,XS009-C,SHAIKH_APP_6_8_II6,billions_current_usd
