year,value,subseries_id,source_id,units,industry
1965,103.06,S801-A-Competitive,EICHNER_1973_EJ,index_1957-59=100,Competitive
1965,102.67,S801-A-Oligopolistic,EICHNER_1973_EJ,index_1957-59=100,Oligopolistic
1966,107.58,S801-A-Competitive,EICHNER_1973_EJ,index_1957-59=100,Competitive
1966,105.8,S801-A-Oligopolistic,EICHNER_1973_EJ,index_1957-59=100,Oligopolistic
1967,105.72,S801-A-Competitive,EICHNER_1973_EJ,index_1957-59=100,Competitive
1967,106.53,S801-A-Oligopolistic,EICHNER_1973_EJ,index_1957-59=100,Oligopolistic
1968,108.17,S801-A-Competitive,EICHNER_1973_EJ,index_1957-59=100,Competitive
1968,109.07,S801-A-Oligopolistic,EICHNER_1973_EJ,index_1957-59=100,Oligopolistic
1969,114.29,S801-A-Competitive,EICHNER_1973_EJ,index_1957-59=100,Competitive
1969,112.65,S801-A-Oligopolistic,EICHNER_1973_EJ,index_1957-59=100,Oligopolistic
1970,115.89,S801-A-Competitive,EICHNER_1973_EJ,index_1957-59=100,Competitive
1970,118.28,S801-A-Oligopolistic,EICHNER_1973_EJ,index_1957-59=100,Oligopolistic
1971,119.34,S801-A-Competitive,EICHNER_1973_EJ,index_1957-59=100,Competitive
1971,123.21,S801-A-Oligopolistic,EICHNER_1973_EJ,index_1957-59=100,Oligopolistic
1972,127.37,S801-A-Competitive,EICHNER_1973_EJ,index_1957-59=100,Competitive
1972,126.05,S801-A-Oligopolistic,EICHNER_1973_EJ,index_1957-59=100,Oligopolistic
1973,145.03,S801-A-Competitive,EICHNER_1973_EJ,index_1957-59=100,Competitive
1973,128.47,S801-A-Oligopolistic,EICHNER_1973_EJ,index_1957-59=100,Oligopolistic
