year,value,subseries_id,source_id,units,industry,census_number,axis,decile_index,cr8_midpoint
1938,18.3,S803-FIG83,BAIN_1951_TABLE_I,percent,"Doors and Shutters, Metal…",1104,ROE,,
1938,54.0,S803-FIG83,BAIN_1951_TABLE_I,percent,Flavoring Extracts…,115,CR8,,
1938,1.8,S803-FIG83,BAIN_1951_TABLE_I,percent,Flavoring Extracts…,115,ROE,,
1938,37.0,S803-FIG83,BAIN_1951_TABLE_I,percent,Flour....,116,CR8,,
1938,7.6,S803-FIG83,BAIN_1951_TABLE_I,percent,Flour....,116,ROE,,
1938,86.4,S803-FIG83,BAIN_1951_TABLE_I,percent,Gypsum Products....,1022,CR8,,
1938,10.1,S803-FIG83,BAIN_1951_TABLE_I,percent,Gypsum Products....,1022,ROE,,
1938,34.3,S803-FIG83,BAIN_1951_TABLE_I,percent,Leather…,907,CR8,,
1938,0.8,S803-FIG83,BAIN_1951_TABLE_I,percent,Leather…,907,ROE,,
1938,71.4,S803-FIG83,BAIN_1951_TABLE_I,percent,"Liquors, Distilled..",133,CR8,,
1938,14.2,S803-FIG83,BAIN_1951_TABLE_I,percent,"Liquors, Distilled..",133,ROE,,
1938,7.6,S803-FIG83,BAIN_1951_TABLE_I,percent,Lumber and Timber Products…,311,CR8,,
1938,9.1,S803-FIG83,BAIN_1951_TABLE_I,percent,Lumber and Timber Products…,311,ROE,,
1938,63.5,S803-FIG83,BAIN_1951_TABLE_I,percent,Meat Packing…,123,CR8,,
1938,3.6,S803-FIG83,BAIN_1951_TABLE_I,percent,Meat Packing…,123,ROE,,
1938,94.2,S803-FIG83,BAIN_1951_TABLE_I,percent,Motor Vehicles....,1408,CR8,,
1938,16.3,S803-FIG83,BAIN_1951_TABLE_I,percent,Motor Vehicles....,1408,ROE,,
1938,23.7,S803-FIG83,BAIN_1951_TABLE_I,percent,Paper Goods…,408,CR8,,
1938,12.4,S803-FIG83,BAIN_1951_TABLE_I,percent,Paper Goods…,408,ROE,,
1938,82.8,S803-FIG83,BAIN_1951_TABLE_I,percent,"Pens, Fountain, etc…",1634,CR8,,
1938,12.3,S803-FIG83,BAIN_1951_TABLE_I,percent,"Pens, Fountain, etc…",1634,ROE,,
1938,58.9,S803-FIG83,BAIN_1951_TABLE_I,percent,Petroleum Refining…,705,CR8,,
1938,6.8,S803-FIG83,BAIN_1951_TABLE_I,percent,Petroleum Refining…,705,ROE,,
1938,84.9,S803-FIG83,BAIN_1951_TABLE_I,percent,Photographic Apparatus and Materials....,1636,CR8,,
1938,12.9,S803-FIG83,BAIN_1951_TABLE_I,percent,Photographic Apparatus and Materials....,1636,ROE,,
1938,47.4,S803-FIG83,BAIN_1951_TABLE_I,percent,Printer's Machinery…,1325,CR8,,
1938,2.2,S803-FIG83,BAIN_1951_TABLE_I,percent,Printer's Machinery…,1325,ROE,,
1938,27.1,S803-FIG83,BAIN_1951_TABLE_I,percent,Rayon Manufactures…,209,CR8,,
1938,8.4,S803-FIG83,BAIN_1951_TABLE_I,percent,Rayon Manufactures…,209,ROE,,
1938,90.2,S803-FIG83,BAIN_1951_TABLE_I,percent,Rayon and Allied Products..,629,CR8,,
1938,12.1,S803-FIG83,BAIN_1951_TABLE_I,percent,Rayon and Allied Products..,629,ROE,,
1938,68.2,S803-FIG83,BAIN_1951_TABLE_I,percent,Roofing…,1638,CR8,,
