year,value,subseries_id,source_id,units
1948,0.0320853960396039,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1949,0.0150403490907111,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1949,0.0601505775602413,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1950,-0.00625328602157759,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1950,0.062096053354342,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1951,0.0176186001387445,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1951,0.0314246424658415,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1952,0.0208495045796239,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1952,0.0252582508250825,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1953,0.0151528668068629,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1953,0.0232165841584158,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1954,-0.00971522944381153,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1954,0.0653745187028444,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1955,-0.0131862915001453,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1955,0.0560965346513243,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1956,0.0169010573806701,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1956,0.0461169554427496,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1957,0.00331906513660784,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1957,0.0444900990073144,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1958,-0.00297890260575572,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1958,0.0946656353146844,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1959,-0.00292425310893074,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1959,0.077523102310231,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1960,0.0125187455055784,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1960,0.0701852997778671,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1961,-0.00397610385842206,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1961,0.103687706271918,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1962,-0.00188781369593427,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1962,0.0808360836059405,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1963,-0.0014266948564906,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1963,0.0782013201331683,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1964,0.00174655285998959,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1964,0.0678840071529083,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1965,-0.00456973896842016,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1965,0.052634419693915,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1966,0.0171816060915468,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1966,0.0387926292637788,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1967,0.013208825095647,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1967,0.0332817656751237,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1968,0.00894551376303931,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1968,0.0296527777770833,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1969,0.0160501561405576,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1969,0.0272822469753486,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1970,0.01692382787292,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1970,0.0427612761290428,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1971,-0.0132203837928484,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1971,0.0668638613833292,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1972,-0.000637380510435936,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1972,0.066580858088781,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1973,0.000247432348482679,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1973,0.0481824807472483,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1974,0.0123526873633683,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1974,0.0543685368520792,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1975,-0.0204035354836856,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1975,0.119573019805507,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1976,0.00433191136977983,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1976,0.120264851485148,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1977,-0.000626370563346911,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1977,0.0995841584158415,S1404-B,SHAIKH_APPENDIX_14_3,decimal
1978,0.002053060305368,S1404-A,SHAIKH_APPENDIX_14_3,decimal_annual_growth_rate
1978,0.0713283828363242,S1404-B,SHAIKH_APPENDIX_14_3,decimal
