year,value,subseries_id,source_id,units,region
1600,595.1329502218834,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1600,889.6961153731464,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1600,400.0,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1600,572.0,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1600,422.0,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1610,597.1399786516164,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1610,900.532543609954,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1610,407.6,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1610,575.6,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1610,421.9,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1620,599.1470070813493,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1620,911.3689718467616,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1620,415.20000000000005,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1620,579.2,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1620,421.79999999999995,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1630,601.1540355110823,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
1630,922.2054000835692,S217-B,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Europe
1630,422.80000000000007,S217-C,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Western Offshoots
1630,582.8000000000001,S217-E,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Asia
1630,421.69999999999993,S217-F,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,Africa
1640,603.1610639408152,S217-A,MADDISON_2003_APP_TABLE_2A,geary_khamis_1990_per_capita,World
