year,value,subseries_id,source_id,units,month
1867,0.0,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1867,-3.0,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1867,-2.8,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1867,-2.4,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1867,-1.2,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1867,-0.4,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1867,0.3,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1867,1.9,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1867,2.1,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1867,-0.2,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1867,-1.5,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1867,-2.0,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1868,-3.2,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1868,-2.7,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1868,-2.2,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1868,-0.5,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1868,0.1,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1868,-0.2,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1868,0.4,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1868,2.0,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1868,2.5,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1868,2.0,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1868,1.6,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1868,2.0,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1869,1.1,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1869,1.9,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1869,2.3,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1869,2.8,S205-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
