year,value,subseries_id,source_id,units
1857,5.76636874513462,S1003-A,S1002_components_book,ratio_1947=1
1858,6.31701193554081,S1003-A,S1002_components_book,ratio_1947=1
1859,5.864615913564621,S1003-A,S1002_components_book,ratio_1947=1
1860,5.88900984072101,S1003-A,S1002_components_book,ratio_1947=1
1861,6.449360642359416,S1003-A,S1002_components_book,ratio_1947=1
1862,4.808517119470567,S1003-A,S1002_components_book,ratio_1947=1
1863,3.2499756219692153,S1003-A,S1002_components_book,ratio_1947=1
1864,2.2706986956663204,S1003-A,S1002_components_book,ratio_1947=1
1865,2.9564920346500223,S1003-A,S1002_components_book,ratio_1947=1
1866,3.323283933329442,S1003-A,S1002_components_book,ratio_1947=1
1867,3.5428242038999955,S1003-A,S1002_components_book,ratio_1947=1
1868,3.5941599376056828,S1003-A,S1002_components_book,ratio_1947=1
1869,3.920997022809255,S1003-A,S1002_components_book,ratio_1947=1
1870,4.30922382461417,S1003-A,S1002_components_book,ratio_1947=1
1871,4.425937824007492,S1003-A,S1002_components_book,ratio_1947=1
1872,4.128291753744342,S1003-A,S1002_components_book,ratio_1947=1
1873,4.241977633099959,S1003-A,S1002_components_book,ratio_1947=1
1874,4.2457773682950215,S1003-A,S1002_components_book,ratio_1947=1
1875,4.200292634765505,S1003-A,S1002_components_book,ratio_1947=1
1876,4.264673346383002,S1003-A,S1002_components_book,ratio_1947=1
1877,4.430000615031367,S1003-A,S1002_components_book,ratio_1947=1
1878,5.085328526151285,S1003-A,S1002_components_book,ratio_1947=1
1879,4.806750525946705,S1003-A,S1002_components_book,ratio_1947=1
1880,4.048762464774123,S1003-A,S1002_components_book,ratio_1947=1
1881,3.6512710029533877,S1003-A,S1002_components_book,ratio_1947=1
1882,3.5240950958301482,S1003-A,S1002_components_book,ratio_1947=1
1883,3.793924149904212,S1003-A,S1002_components_book,ratio_1947=1
1884,4.061551389927217,S1003-A,S1002_components_book,ratio_1947=1
1885,4.228684528877533,S1003-A,S1002_components_book,ratio_1947=1
1886,4.0906073349543215,S1003-A,S1002_components_book,ratio_1947=1
1887,4.0077678515680395,S1003-A,S1002_components_book,ratio_1947=1
1888,3.8891776602229218,S1003-A,S1002_components_book,ratio_1947=1
1889,3.9766760472143026,S1003-A,S1002_components_book,ratio_1947=1
1890,4.060166464043623,S1003-A,S1002_components_book,ratio_1947=1
1891,4.270103947961516,S1003-A,S1002_components_book,ratio_1947=1
1892,4.435993198121783,S1003-A,S1002_components_book,ratio_1947=1
1893,4.440571544296511,S1003-A,S1002_components_book,ratio_1947=1
1894,4.681262133110645,S1003-A,S1002_components_book,ratio_1947=1
1895,4.424465076458816,S1003-A,S1002_components_book,ratio_1947=1
1896,4.705021182291441,S1003-A,S1002_components_book,ratio_1947=1
1897,4.442337075731037,S1003-A,S1002_components_book,ratio_1947=1
1898,4.18496614215174,S1003-A,S1002_components_book,ratio_1947=1
1899,3.735274914539694,S1003-A,S1002_components_book,ratio_1947=1
1900,3.5330642213294117,S1003-A,S1002_components_book,ratio_1947=1
1901,3.5818873591699156,S1003-A,S1002_components_book,ratio_1947=1
1902,3.436493803440407,S1003-A,S1002_components_book,ratio_1947=1
1903,3.6348693311930593,S1003-A,S1002_components_book,ratio_1947=1
1904,3.658905110728528,S1003-A,S1002_components_book,ratio_1947=1
1905,3.583840165798396,S1003-A,S1002_components_book,ratio_1947=1
1906,3.577263557323899,S1003-A,S1002_components_book,ratio_1947=1
1907,3.609899689237943,S1003-A,S1002_components_book,ratio_1947=1
1908,3.7009440680037216,S1003-A,S1002_components_book,ratio_1947=1
1909,3.361395971873578,S1003-A,S1002_components_book,ratio_1947=1
1910,3.3670751344997036,S1003-A,S1002_components_book,ratio_1947=1
1911,3.6837838820270297,S1003-A,S1002_components_book,ratio_1947=1
1912,3.493827897509582,S1003-A,S1002_components_book,ratio_1947=1
1913,3.6169495096782462,S1003-A,S1002_components_book,ratio_1947=1
