year,value,subseries_id,source_id,units,country_key
2011,3.0763440920635476,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R09_Russia
2011,1.1651130659456579,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R10_Sudan
2011,2.35558815073606,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R11_Suriname
2011,0.8573324159622574,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R12_Turkey
2011,6.3396696145095754,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R13_Ukraine
2011,1.01971683202507,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R14_Uruguay
2011,1.2340425531914898,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R15_Zambia
2011,3.669084086355211,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R16_Zimbabwe
2011,0.29047656117307197,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R17_Algeria
2011,0.258662568918805,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R18_Colombia
2011,0.45471494881020347,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R19_Dominican Republic
2011,0.278852086407532,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R20_Ghana
2011,0.27608185172760796,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R21_Haiti
2011,0.35287845759712455,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R22_Iraq
2011,0.264066566074044,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R23_Jamaica
2011,0.470052083333333,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R24_Mozambique
2011,0.251947123972847,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R25_Myanmar
2011,0.570317089119659,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R26_Nigeria
2011,0.25323739418117297,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R27_Paraguay
2011,0.4566659404402343,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R28_Romania
2011,0.3630680263179105,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R29_Serbia
2011,0.27427785419532197,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R30_Tanzania
2011,0.6603325200672228,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R31_Turkey
2011,0.5440018403651564,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R32_Turkey
2011,0.43492180975284755,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R33_Uruguay
2011,0.3938868368542675,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R34_Venezuela
2011,0.25244434070238597,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R35_Zambia
2011,0.22967745012855395,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R36_Zimbabwe
2011,0.5719306195892185,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R37_Zimbabwe
2011,0.46759556498227794,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R38_Ecuador
2011,0.02807980461184155,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R39_Australia
2011,0.021533065298459747,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R40_Canada
2011,0.042568948260830054,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R41_Korea
2011,0.02778881099777045,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R42_Malaysia
2011,0.023376275872172995,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R43_Norway
2011,0.01255988693931135,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R44_Panama
2011,0.03974213483017757,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R45_Thailand
2011,0.02891938340717982,S1509-pi,RAMAMURTHY_2014_CH3,rate_percent,R46_United States
