year,value,subseries_id,source_id,units
1925,98.1,XS006-depr_only,SHAIKH_APP_6_8_II3,billions_current_usd
1925,77.769,XS006-depr_plus_init,SHAIKH_APP_6_8_II3,billions_current_usd
1926,0.06604992970917478,XS006-dcorpnew,SHAIKH_APP_6_8_II3,decimal_rate
1926,99.21785819593643,XS006-depr_only,SHAIKH_APP_6_8_II3,billions_current_usd
1926,79.727,XS006-depr_plus_init,SHAIKH_APP_6_8_II3,billions_current_usd
1927,0.06582452410921125,XS006-dcorpnew,SHAIKH_APP_6_8_II3,decimal_rate
1927,99.01962729698553,XS006-depr_only,SHAIKH_APP_6_8_II3,billions_current_usd
1927,80.892,XS006-depr_plus_init,SHAIKH_APP_6_8_II3,billions_current_usd
1928,0.0664458457635659,XS006-dcorpnew,SHAIKH_APP_6_8_II3,decimal_rate
1928,99.61651252904326,XS006-depr_only,SHAIKH_APP_6_8_II3,billions_current_usd
1928,81.55,XS006-depr_plus_init,SHAIKH_APP_6_8_II3,billions_current_usd
1929,0.0685516207978954,XS006-dcorpnew,SHAIKH_APP_6_8_II3,decimal_rate
1929,97.14330619893347,XS006-depr_only,SHAIKH_APP_6_8_II3,billions_current_usd
1929,81.369,XS006-depr_plus_init,SHAIKH_APP_6_8_II3,billions_current_usd
1930,0.06970828750457933,XS006-dcorpnew,SHAIKH_APP_6_8_II3,decimal_rate
1930,91.01494858854144,XS006-depr_only,SHAIKH_APP_6_8_II3,billions_current_usd
1930,76.628,XS006-depr_plus_init,SHAIKH_APP_6_8_II3,billions_current_usd
1931,0.07121587016761978,XS006-dcorpnew,SHAIKH_APP_6_8_II3,decimal_rate
1931,80.26985367641122,XS006-depr_only,SHAIKH_APP_6_8_II3,billions_current_usd
1931,68.367,XS006-depr_plus_init,SHAIKH_APP_6_8_II3,billions_current_usd
1932,0.06906157557055527,XS006-dcorpnew,SHAIKH_APP_6_8_II3,decimal_rate
1932,73.39643055484115,XS006-depr_only,SHAIKH_APP_6_8_II3,billions_current_usd
1932,61.955,XS006-depr_plus_init,SHAIKH_APP_6_8_II3,billions_current_usd
1933,0.0672095231856014,XS006-dcorpnew,SHAIKH_APP_6_8_II3,decimal_rate
1933,72.71164502154747,XS006-depr_only,SHAIKH_APP_6_8_II3,billions_current_usd
1933,60.951,XS006-depr_plus_init,SHAIKH_APP_6_8_II3,billions_current_usd
1934,0.06922517399698302,XS006-dcorpnew,SHAIKH_APP_6_8_II3,decimal_rate
1934,72.13128734578216,XS006-depr_only,SHAIKH_APP_6_8_II3,billions_current_usd
1934,61.071,XS006-depr_plus_init,SHAIKH_APP_6_8_II3,billions_current_usd
1935,0.0702047564150169,XS006-dcorpnew,SHAIKH_APP_6_8_II3,decimal_rate
1935,70.47787092446919,XS006-depr_only,SHAIKH_APP_6_8_II3,billions_current_usd
1935,61.096,XS006-depr_plus_init,SHAIKH_APP_6_8_II3,billions_current_usd
1936,0.06833457914343127,XS006-dcorpnew,SHAIKH_APP_6_8_II3,decimal_rate
1936,76.12454536477391,XS006-depr_only,SHAIKH_APP_6_8_II3,billions_current_usd
1936,64.147,XS006-depr_plus_init,SHAIKH_APP_6_8_II3,billions_current_usd
1937,0.07280341772487296,XS006-dcorpnew,SHAIKH_APP_6_8_II3,decimal_rate
1937,77.66735773712426,XS006-depr_only,SHAIKH_APP_6_8_II3,billions_current_usd
1937,67.517,XS006-depr_plus_init,SHAIKH_APP_6_8_II3,billions_current_usd
1938,0.07394165154781916,XS006-dcorpnew,SHAIKH_APP_6_8_II3,decimal_rate
