year,value,subseries_id,source_id,units,label
1600,1107.635045245813,S218-A,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,RICHEST 4
1600,400.0,S218-B,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,POOREST 4
1600,2.7690876131145323,S218-C,MADDISON_2003_SHAIKH_EXCLUSION_RULE,ratio,RATIO OF RICHEST 4 TO POOREST 4
1700,1406.0802685347344,S218-A,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,RICHEST 4
1700,415.07142857142856,S218-B,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,POOREST 4
1700,3.3875621682130928,S218-C,MADDISON_2003_SHAIKH_EXCLUSION_RULE,ratio,RATIO OF RICHEST 4 TO POOREST 4
1820,1534.0896018684518,S218-A,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,RICHEST 4
1820,407.91430899475677,S218-B,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,POOREST 4
1820,3.7608134062494254,S218-C,MADDISON_2003_SHAIKH_EXCLUSION_RULE,ratio,RATIO OF RICHEST 4 TO POOREST 4
1830,1634.217228529217,S218-A,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,RICHEST 4
1830,504.50251371010813,S218-B,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,POOREST 4
1830,3.2392647888138244,S218-C,MADDISON_2003_SHAIKH_EXCLUSION_RULE,ratio,RATIO OF RICHEST 4 TO POOREST 4
1840,1865.2968044528911,S218-A,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,RICHEST 4
1840,499.86785436450344,S218-B,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,POOREST 4
1840,3.7315798328826273,S218-C,MADDISON_2003_SHAIKH_EXCLUSION_RULE,ratio,RATIO OF RICHEST 4 TO POOREST 4
1850,2130.7940039505306,S218-A,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,RICHEST 4
1850,530.3543544804756,S218-B,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,POOREST 4
1850,4.017679851121073,S218-C,MADDISON_2003_SHAIKH_EXCLUSION_RULE,ratio,RATIO OF RICHEST 4 TO POOREST 4
1860,2598.5776571191177,S218-A,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,RICHEST 4
1860,561.4441180930112,S218-B,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,POOREST 4
1860,4.628381656121698,S218-C,MADDISON_2003_SHAIKH_EXCLUSION_RULE,ratio,RATIO OF RICHEST 4 TO POOREST 4
1870,3080.029127586999,S218-A,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,RICHEST 4
1870,441.95528306071964,S218-B,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,POOREST 4
1870,6.969096751726889,S218-C,MADDISON_2003_SHAIKH_EXCLUSION_RULE,ratio,RATIO OF RICHEST 4 TO POOREST 4
1880,3643.5157807701084,S218-A,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,RICHEST 4
1880,590.815853491329,S218-B,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,POOREST 4
1880,6.166922839391245,S218-C,MADDISON_2003_SHAIKH_EXCLUSION_RULE,ratio,RATIO OF RICHEST 4 TO POOREST 4
1890,3912.447409823689,S218-A,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,RICHEST 4
1890,572.3860301262547,S218-B,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,POOREST 4
1890,6.835330011392306,S218-C,MADDISON_2003_SHAIKH_EXCLUSION_RULE,ratio,RATIO OF RICHEST 4 TO POOREST 4
1900,4223.527045127504,S218-A,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,RICHEST 4
1900,591.97798309269,S218-B,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,POOREST 4
1900,7.134601565859582,S218-C,MADDISON_2003_SHAIKH_EXCLUSION_RULE,ratio,RATIO OF RICHEST 4 TO POOREST 4
1910,5025.162871433008,S218-A,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,RICHEST 4
1910,694.3076583591242,S218-B,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,POOREST 4
1910,7.237660150989995,S218-C,MADDISON_2003_SHAIKH_EXCLUSION_RULE,ratio,RATIO OF RICHEST 4 TO POOREST 4
1920,5126.768741081586,S218-A,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,RICHEST 4
1920,738.1707533931836,S218-B,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,POOREST 4
1920,6.945234171789022,S218-C,MADDISON_2003_SHAIKH_EXCLUSION_RULE,ratio,RATIO OF RICHEST 4 TO POOREST 4
1930,5850.43729493062,S218-A,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,RICHEST 4
1930,687.888958475791,S218-B,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,POOREST 4
1930,8.504915252446976,S218-C,MADDISON_2003_SHAIKH_EXCLUSION_RULE,ratio,RATIO OF RICHEST 4 TO POOREST 4
1940,6640.676259769741,S218-A,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,RICHEST 4
1940,832.2884346015467,S218-B,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,POOREST 4
1940,7.978815977358771,S218-C,MADDISON_2003_SHAIKH_EXCLUSION_RULE,ratio,RATIO OF RICHEST 4 TO POOREST 4
1950,8593.043800832167,S218-A,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,RICHEST 4
1950,316.2590040270121,S218-B,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,POOREST 4
1950,27.17090641346048,S218-C,MADDISON_2003_SHAIKH_EXCLUSION_RULE,ratio,RATIO OF RICHEST 4 TO POOREST 4
1960,10510.323779447426,S218-A,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,RICHEST 4
1960,406.80451678483786,S218-B,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,POOREST 4
1960,25.836300595960246,S218-C,MADDISON_2003_SHAIKH_EXCLUSION_RULE,ratio,RATIO OF RICHEST 4 TO POOREST 4
1970,14333.839351629078,S218-A,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,RICHEST 4
1970,491.5402775827697,S218-B,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,POOREST 4
1970,29.161067780890907,S218-C,MADDISON_2003_SHAIKH_EXCLUSION_RULE,ratio,RATIO OF RICHEST 4 TO POOREST 4
1980,17189.88037201159,S218-A,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,RICHEST 4
1980,503.8273012527448,S218-B,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,POOREST 4
1980,34.118596450152054,S218-C,MADDISON_2003_SHAIKH_EXCLUSION_RULE,ratio,RATIO OF RICHEST 4 TO POOREST 4
1990,20505.16800836622,S218-A,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,RICHEST 4
1990,502.88846454329223,S218-B,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,POOREST 4
1990,40.77478298689627,S218-C,MADDISON_2003_SHAIKH_EXCLUSION_RULE,ratio,RATIO OF RICHEST 4 TO POOREST 4
2000,24425.513015024248,S218-A,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,RICHEST 4
2000,380.7560757587105,S218-B,MADDISON_2003_SHAIKH_EXCLUSION_RULE,geary_khamis_1990_per_capita,POOREST 4
2000,64.15002824670086,S218-C,MADDISON_2003_SHAIKH_EXCLUSION_RULE,ratio,RATIO OF RICHEST 4 TO POOREST 4
