year,value,subseries_id,source_id,units,cr4_midpoint
1957,37.5,S802-C1957,SEMMLER_1984_TABLE_3_3,percent,20
1957,58.6,S802-C1957,SEMMLER_1984_TABLE_3_3,percent,50
1957,66.7,S802-C1957,SEMMLER_1984_TABLE_3_3,percent,80
1960,50.0,S802-C1960,SEMMLER_1984_TABLE_3_3,percent,20
1960,44.8,S802-C1960,SEMMLER_1984_TABLE_3_3,percent,50
1960,38.9,S802-C1960,SEMMLER_1984_TABLE_3_3,percent,80
1969,81.6,S802-C1969,SEMMLER_1984_TABLE_3_3,percent,20
1969,85.2,S802-C1969,SEMMLER_1984_TABLE_3_3,percent,50
1969,84.0,S802-C1969,SEMMLER_1984_TABLE_3_3,percent,80
