year,value,subseries_id,source_id,units,industry,axis
1950,32.0,S701-A-1. Rayon and allied products-PRICE,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,1. Rayon and allied products,selling_price
1950,28.0,S701-A-1. Rayon and allied products-ULC,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,1. Rayon and allied products,unit_labour_cost
1950,147.0,S701-A-10. Iron and steel-PRICE,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,10. Iron and steel,selling_price
1950,107.0,S701-A-10. Iron and steel-ULC,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,10. Iron and steel,unit_labour_cost
1950,85.0,S701-A-11. Icecream-PRICE,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,11. Icecream,selling_price
1950,67.0,S701-A-11. Icecream-ULC,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,11. Icecream,unit_labour_cost
1950,114.0,S701-A-12. Confectionery-ULC,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,12. Confectionery,unit_labour_cost
1950,199.0,S701-A-13. Hosiery-ULC,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,13. Hosiery,unit_labour_cost
1950,170.0,"S701-A-14. Bread, etc.-PRICE",SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,"14. Bread, etc.",selling_price
1950,220.0,"S701-A-14. Bread, etc.-ULC",SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,"14. Bread, etc.",unit_labour_cost
1950,127.0,S701-A-15. Cement-PRICE,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,15. Cement,selling_price
1950,112.0,S701-A-15. Cement-ULC,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,15. Cement,unit_labour_cost
1950,168.0,S701-A-16. Cotton goods-PRICE,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,16. Cotton goods,selling_price
1950,152.0,S701-A-16. Cotton goods-ULC,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,16. Cotton goods,unit_labour_cost
1950,299.0,S701-A-17. Meat packing-PRICE,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,17. Meat packing,selling_price
1950,216.0,S701-A-17. Meat packing-ULC,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,17. Meat packing,unit_labour_cost
1950,193.0,S701-A-18. Footwear-PRICE,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,18. Footwear,selling_price
1950,127.0,S701-A-18. Footwear-ULC,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,18. Footwear,unit_labour_cost
1950,191.0,S701-A-19. Coke-PRICE,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,19. Coke,selling_price
1950,167.0,S701-A-19. Coke-ULC,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,19. Coke,unit_labour_cost
1950,61.0,S701-A-2. Electricity-PRICE,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,2. Electricity,selling_price
1950,84.0,S701-A-2. Electricity-ULC,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,2. Electricity,unit_labour_cost
1950,128.0,S701-A-20. Cane sugar refining-PRICE,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,20. Cane sugar refining,selling_price
1950,177.0,S701-A-20. Cane sugar refining-ULC,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,20. Cane sugar refining,unit_labour_cost
1950,140.0,S701-A-21. Non-ferrous metals-PRICE,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,21. Non-ferrous metals,selling_price
1950,142.0,S701-A-21. Non-ferrous metals-ULC,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,21. Non-ferrous metals,unit_labour_cost
1950,151.0,S701-A-22. Woollen and worsted-PRICE,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,22. Woollen and worsted,selling_price
1950,137.0,S701-A-22. Woollen and worsted-ULC,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,22. Woollen and worsted,unit_labour_cost
1950,32.0,S701-A-23. Tobacco products-PRICE,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,23. Tobacco products,selling_price
1950,107.0,S701-A-23. Tobacco products-ULC,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,23. Tobacco products,unit_labour_cost
1950,181.0,S701-A-24. Leather-PRICE,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,24. Leather,selling_price
1950,169.0,S701-A-24. Leather-ULC,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,24. Leather,unit_labour_cost
1950,175.0,"S701-A-25. Flour, etc.-PRICE",SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,"25. Flour, etc.",selling_price
1950,205.0,"S701-A-25. Flour, etc.-ULC",SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,"25. Flour, etc.",unit_labour_cost
1950,171.0,S701-A-26. Bituminous coal-PRICE,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,26. Bituminous coal,selling_price
1950,151.0,S701-A-26. Bituminous coal-ULC,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,26. Bituminous coal,unit_labour_cost
1950,163.0,S701-A-27. Clay construction products-PRICE,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,27. Clay construction products,selling_price
1950,138.0,S701-A-27. Clay construction products-ULC,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,27. Clay construction products,unit_labour_cost
1950,138.0,S701-A-3. Petroleum refining-PRICE,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,3. Petroleum refining,selling_price
1950,104.0,S701-A-3. Petroleum refining-ULC,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,3. Petroleum refining,unit_labour_cost
1950,97.0,S701-A-4. Glass products-PRICE,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,4. Glass products,selling_price
1950,125.0,S701-A-4. Glass products-ULC,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,4. Glass products,unit_labour_cost
1950,65.0,S701-A-5. Rubber tyres and tubes-PRICE,SALTER_1969_TABLE28_US,ratio_1950_over_1923_x100,5. Rubber tyres and tubes,selling_price
