year,value,subseries_id,source_id,units,industry,axis
1963,136.5,S702-A-1.  Electricity-PRICE,SALTER_1969_TABLE33_UK,ratio_1963_over_1954_x100,1.  Electricity,selling_price
1963,98.2,S702-A-1.  Electricity-ULC,SALTER_1969_TABLE33_UK,ratio_1963_over_1954_x100,1.  Electricity,unit_labour_cost
1963,133.9,S702-A-10. Wire and wire manufactures-PRICE,SALTER_1969_TABLE33_UK,ratio_1963_over_1954_x100,10. Wire and wire manufactures,selling_price
1963,136.9,S702-A-10. Wire and wire manufactures-ULC,SALTER_1969_TABLE33_UK,ratio_1963_over_1954_x100,10. Wire and wire manufactures,unit_labour_cost
1963,148.3,S702-A-11. Rubber-PRICE,SALTER_1969_TABLE33_UK,ratio_1963_over_1954_x100,11. Rubber,selling_price
1963,145.7,S702-A-11. Rubber-ULC,SALTER_1969_TABLE33_UK,ratio_1963_over_1954_x100,11. Rubber,unit_labour_cost
1963,130.4,S702-A-12. Non-ferrous metals-PRICE,SALTER_1969_TABLE33_UK,ratio_1963_over_1954_x100,12. Non-ferrous metals,selling_price
1963,129.8,S702-A-12. Non-ferrous metals-ULC,SALTER_1969_TABLE33_UK,ratio_1963_over_1954_x100,12. Non-ferrous metals,unit_labour_cost
1963,145.0,S702-A-13. Steel tubes-PRICE,SALTER_1969_TABLE33_UK,ratio_1963_over_1954_x100,13. Steel tubes,selling_price
1963,147.5,S702-A-13. Steel tubes-ULC,SALTER_1969_TABLE33_UK,ratio_1963_over_1954_x100,13. Steel tubes,unit_labour_cost
1963,158.5,S702-A-14. Brewing and malting-PRICE,SALTER_1969_TABLE33_UK,ratio_1963_over_1954_x100,14. Brewing and malting,selling_price
1963,154.6,S702-A-14. Brewing and malting-ULC,SALTER_1969_TABLE33_UK,ratio_1963_over_1954_x100,14. Brewing and malting,unit_labour_cost
1963,115.9,S702-A-15. Paint and printing ink-PRICE,SALTER_1969_TABLE33_UK,ratio_1963_over_1954_x100,15. Paint and printing ink,selling_price
1963,171.0,S702-A-15. Paint and printing ink-ULC,SALTER_1969_TABLE33_UK,ratio_1963_over_1954_x100,15. Paint and printing ink,unit_labour_cost
1963,140.2,S702-A-16. Cement-PRICE,SALTER_1969_TABLE33_UK,ratio_1963_over_1954_x100,16. Cement,selling_price
1963,154.3,S702-A-16. Cement-ULC,SALTER_1969_TABLE33_UK,ratio_1963_over_1954_x100,16. Cement,unit_labour_cost
