naics_1997_3digit,rscd_industry_label,rscd_chapters_using_it,corresponding_1987_sic_2digit_divisions,is_many_to_many,note_and_source
111,Farms / Agriculture,ch7(excluded #1); ch9 IO,01;08;09;20,TRUE,"MANY-TO-MANY: NAICS 111 draws from 4 distinct 1987 SIC 2-digit divisions (01,08,09,20) -- not a clean bijection; sector-level correspondence only | source: _sources/naics/1997_NAICS_to_1987_SIC.csv (US Census 1987 SIC <-> 1997 NAICS), retrieved 2026-06-30"
211,Oil and gas extraction,ch7(excluded #3); ch9 IO,13;28,TRUE,"MANY-TO-MANY: NAICS 211 draws from 2 distinct 1987 SIC 2-digit divisions (13,28) -- not a clean bijection; sector-level correspondence only | source: _sources/naics/1997_NAICS_to_1987_SIC.csv (US Census 1987 SIC <-> 1997 NAICS), retrieved 2026-06-30"
212,"Mining, except oil and gas",ch7(excluded #4); ch8 mining; ch9 IO,10;12;14;32,TRUE,"MANY-TO-MANY: NAICS 212 draws from 4 distinct 1987 SIC 2-digit divisions (10,12,14,32) -- not a clean bijection; sector-level correspondence only | source: _sources/naics/1997_NAICS_to_1987_SIC.csv (US Census 1987 SIC <-> 1997 NAICS), retrieved 2026-06-30"
311,Food manufacturing,ch7 retained; ch8 mfg; ch9 IO,07;20;28;51;54,TRUE,"MANY-TO-MANY: NAICS 311 draws from 5 distinct 1987 SIC 2-digit divisions (07,20,28,51,54) -- not a clean bijection; sector-level correspondence only | source: _sources/naics/1997_NAICS_to_1987_SIC.csv (US Census 1987 SIC <-> 1997 NAICS), retrieved 2026-06-30"
313,Textile mills,ch7(excluded #20); ch8 mfg,22;23;30;51;73,TRUE,"MANY-TO-MANY: NAICS 313 draws from 5 distinct 1987 SIC 2-digit divisions (22,23,30,51,73) -- not a clean bijection; sector-level correspondence only | source: _sources/naics/1997_NAICS_to_1987_SIC.csv (US Census 1987 SIC <-> 1997 NAICS), retrieved 2026-06-30"
315,Apparel,ch7(excluded #21); ch8 mfg,22;23;30;31;56,TRUE,"MANY-TO-MANY: NAICS 315 draws from 5 distinct 1987 SIC 2-digit divisions (22,23,30,31,56) -- not a clean bijection; sector-level correspondence only | source: _sources/naics/1997_NAICS_to_1987_SIC.csv (US Census 1987 SIC <-> 1997 NAICS), retrieved 2026-06-30"
325,Chemical manufacturing,ch7 retained; ch8 mfg; ch9 IO,28;30;38;39;73,TRUE,"MANY-TO-MANY: NAICS 325 draws from 5 distinct 1987 SIC 2-digit divisions (28,30,38,39,73) -- not a clean bijection; sector-level correspondence only | source: _sources/naics/1997_NAICS_to_1987_SIC.csv (US Census 1987 SIC <-> 1997 NAICS), retrieved 2026-06-30"
331,Primary metals,ch7(excluded #10); ch8 mfg; ch9 IO,28;33,TRUE,"MANY-TO-MANY: NAICS 331 draws from 2 distinct 1987 SIC 2-digit divisions (28,33) -- not a clean bijection; sector-level correspondence only | source: _sources/naics/1997_NAICS_to_1987_SIC.csv (US Census 1987 SIC <-> 1997 NAICS), retrieved 2026-06-30"
333,Machinery,ch7 retained; ch8 mfg,24;34;35;36;37;38;39,TRUE,"MANY-TO-MANY: NAICS 333 draws from 7 distinct 1987 SIC 2-digit divisions (24,34,35,36,37,38,39) -- not a clean bijection; sector-level correspondence only | source: _sources/naics/1997_NAICS_to_1987_SIC.csv (US Census 1987 SIC <-> 1997 NAICS), retrieved 2026-06-30"
334,Computers and electronic products,ch7(excluded #13); ch8 mfg,34;35;36;38;39;73;78,TRUE,"MANY-TO-MANY: NAICS 334 draws from 7 distinct 1987 SIC 2-digit divisions (34,35,36,38,39,73,78) -- not a clean bijection; sector-level correspondence only | source: _sources/naics/1997_NAICS_to_1987_SIC.csv (US Census 1987 SIC <-> 1997 NAICS), retrieved 2026-06-30"
336,Motor vehicles / transportation equipment,ch7(excluded #15/#16); ch8 mfg; ch9 IO,23;25;32;34;35;36;37;39,TRUE,"MANY-TO-MANY: NAICS 336 draws from 8 distinct 1987 SIC 2-digit divisions (23,25,32,34,35,36,37,39) -- not a clean bijection; sector-level correspondence only | source: _sources/naics/1997_NAICS_to_1987_SIC.csv (US Census 1987 SIC <-> 1997 NAICS), retrieved 2026-06-30"
