λ = gDC,"Harberger (1988) (Table 12.1, p. 223); Column: Inflation"
,FPR015_C1
3.123,2.546
3.432,2.69
1.421,1.23
1.631,1.383
0.671,0.499
0.549,0.5
0.222,0.281
0.216,0.29
0.471,0.421
0.219,0.203
0.256,0.228
0.491,0.45
0.282,0.36
0.474,0.351
0.5,0.583
0.2,0.353
0.853,0.928
0.652,0.531
0.287,0.092
0.186,0.109
0.449,0.056
0.24,0.111
0.252,0.114
0.425,0.086
0.517,0.083
0.087,0.052
0.251,0.075
0.035,0.076
0.14,0.053
