Year,BEA,BEA,BEA,BEA,BEA,BEA,BEA,BEA,BEA,BEA,BEA,BEA,BEA,BEA,BEA,BEA,BEA,BEA,BEA,Calculated Growth Rate,Calculated Growth Rate,Calculated Growth Rate,Calculated Growth Rate,Calculated Growth Rate,Calculated Growth Rate,Calculated Growth Rate,Calculated Growth Rate,Calculated Growth Rate,Calculated Growth Rate,Calculated Growth Rate,Calculated Growth Rate,Calculated Growth Rate,Calculated Growth Rate,Calculated Growth Rate,Calculated Growth Rate,Calculated Growth Rate,Calculated Growth Rate,Calculated Growth Rate
,S203A,S203B,S203C,S203D,S203E,S203F,S203G,S203H,S203I,S203J,S203K,S203L,S203M,S203N,S203O,S203P,S203Q,S203R,S203S,S203T,S203U,S203V,S203W,S203X,S203Y,S203Z,S203AA,S203AB,S203AC,S203AD,S203AE,S203AF,S203AG,S203AH,S203AI,S203AJ,S203AK,S203
1987,57.119,55.349,74.328,88.792,78.673,75.101,53.213,80.826,42.827,52.237,57.821,36.708,48.407,45.116,55.636,57.607,66.855,88.699,65.18,,,,,,,,,,,,,,,,,,,
1988,59.813,58.181,71.901,93.89,82.89,74.859,56.591,83.489,45.377,55.182,62.523,38.623,50.889,48.985,59.065,61.34,71.153,88.553,67.199,0.047164691258600566,0.05116623606569215,-0.03265256700032293,0.05741508243985938,0.05360161681898479,-0.0032223272659486213,0.06348072839343777,0.03294731893202707,0.059541877787377295,0.05637766334207561,0.08131993566351325,0.05216846463986058,0.05127357613568306,0.08575671602092383,0.06163275576964544,0.06480115263770037,0.06428838531149506,-0.001646016302325859,0.030975759435409422
1989,61.328,59.654,75.446,91.316,86.952,74.621,57.166,84.802,46.639,56.838,64.685,39.96,52.147,52.493,61.147,62.511,74.407,89.981,69.345,0.025328941868824506,0.02531754352795601,0.04930390397908235,-0.02741506017680262,0.049004705030763596,-0.003179310436954852,0.010160626247989857,0.015726622668854606,0.027811446327434597,0.030009785799717248,0.034579274826863626,0.03461667918079914,0.024720470042641773,0.07161375931407576,0.03524930161686268,0.01909031626997071,0.04573243573707342,0.016125935880207276,0.03193499903272379
1990,62.409,60.651,78.349,93.484,87.562,73.439,56.735,84.886,47.408,58.052,67.182,41.282,53.28,54.861,64.109,64.847,76.063,91.775,71.251,0.017626532741977563,0.016713045227478407,0.03847785170850693,0.023741732007534155,0.00701536479896947,-0.015840045027539218,-0.007539446524157722,0.0009905426758800573,0.01648834666266419,0.021358949998240506,0.03860245806601226,0.033083083083083054,0.02172704086524635,0.0451107766749852,0.04844064304054152,0.0373694229815551,0.022255970540406178,0.01993754237005607,0.027485759607758453
1991,61.953,60.06,79.004,95.308,90.957,67.058,54.481,85.16,47.528,57.427,67.673,41.845,53.393,53.907,65.898,63.835,73.36,91.474,72.708,-0.007306638465605864,-0.009744274620368976,0.008360030121635331,0.019511360232767228,0.03877252689522859,-0.08688843802339341,-0.03972856261566926,0.003227858539688544,0.0025312183597705484,-0.010766209605181598,0.007308505254383535,0.013637905140254869,0.0021208708708708723,-0.017389402307650292,0.02790559827793282,-0.015605964809474515,-0.03553633172501747,-0.0032797602833015693,0.020448835805813248
1992,64.008,62.269,83.044,93.023,92.626,69.765,57.464,87.35,50.652,60.091,71.08,43.648,54.22,55.55,68.683,66.217,78.012,89.831,74.413,0.03317030652268649,0.03677988677988675,0.0511366513087943,-0.02397490242162259,0.0183493299031412,0.0403680396075039,0.05475303316752633,0.025716298731798926,0.06572967513886563,0.046389329061242934,0.050345041597091855,0.04308758513561961,0.015488921768771258,0.030478416532175867,0.042262284136089345,0.03731495261220341,0.06341330425299896,-0.01796138793536961,0.023449964240523702
1993,66.022,64.45,80.241,92.776,94.617,71.975,60.588,88.52,53.289,62.978,73.383,46.302,56.675,57.121,69.883,69.135,79.482,87.352,76.355,0.03146481689788794,0.03502545407827329,-0.03375319107942776,-0.002655257301957592,0.021495044587912737,0.03167777538880512,0.054364471669219094,0.013394390383514532,0.052061122956645445,0.048043800236308165,0.032400112549240356,0.06080461876832843,0.04527849502028758,0.028280828082808407,0.01747157229591001,0.0440672334898895,0.018843254883863958,-0.027596264095913425,0.02609759047478266
1994,69.077,67.724,87.47,94.314,95.26,75.635,65.805,91.484,56.609,67.623,77.922,49.122,58.884,59.958,70.715,71.867,83.951,85.908,78.596,0.04627245463633334,0.05079906904577203,0.09009110055956437,0.016577563162886833,0.006795818933172715,0.050850989927058166,0.08610615963557144,0.03348395842747398,0.062301788361575516,0.07375591476388577,0.061853562814275787,0.060904496566023036,0.038976621085134555,0.049666497435268964,0.011905613668560466,0.03951688724958413,0.05622656702146389,-0.01653081784046162,0.02934974788815392
1995,71.485,70.343,84.516,92.412,95.802,76.653,70.917,92.799,59.472,70.767,80.786,53.006,60.449,63.292,72.662,74.347,87.996,83.149,80.701,0.03485964937678254,0.038671667355737904,-0.033771578827026305,-0.02016667726954624,0.00568969137098474,0.013459377272426742,0.07768406656029159,0.014374098202964536,0.050574996908618663,0.0464930570959583,0.036754703421370216,0.07906844183868733,0.026577678146864958,0.05560559058007275,0.027533055221664382,0.03450818873752892,0.04818286857809917,-0.03211575173441361,0.02678253346226267
1996,74.523,73.634,85.715,94.072,97.052,82.034,75.492,92.65,62.155,75.09,84.607,57.723,63.45,68.47,74.718,76.904,90.686,82.24,82.225,0.04249842624326772,0.04678503902307263,0.014186662880401268,0.017963035103666147,0.013047744305964448,0.070199470340365,0.0645120351960744,-0.0016056207502236353,0.04511366693570085,0.061087795158760505,0.04729779912361054,0.08898992566879227,0.0496451554202717,0.08181128736649179,0.02829539511711765,0.03439277980281652,0.030569571344152058,-0.010932181986554323,0.018884524355336385
1997,78.34,77.705,90.029,98.241,97.777,85.321,82.565,96.468,66.894,78.8,88.098,63.281,66.066,74.053,76.829,79.3,91.581,82.268,84.518,0.05121908672490383,0.05528695982834009,0.05032958058682846,0.04431711880261924,0.0074702221489511,0.040068751980885775,0.09369204683940002,0.041208850512682194,0.07624487169173855,0.04940737781329063,0.04126136135307945,0.09628744174765691,0.0412293144208038,0.08153936030378262,0.028252897561497736,0.03115572662020183,0.009869219063582069,0.0003404669260700377,0.02788689571298275
1998,82.735,82.382,91.963,98.461,100.497,92.081,89.181,97.709,73.485,81.933,91.239,69.848,70.564,80.817,79.601,81.914,96.943,81.496,87.734,0.05610160837375533,0.0601891770156362,0.021481966921769624,0.002239390885679038,0.027818403100933642,0.079230201240023,0.08013080603161149,0.012864369531865538,0.09852901605525144,0.039758883248731,0.03565347680991637,0.10377522479101153,0.06808343171979514,0.0913399862260813,0.03608012599409083,0.032963430012610484,0.05854926240158975,-0.009383964603491113,0.03805106604510278
1999,86.917,86.78,95.213,93.318,118.434,93.444,95.255,98.634,79.078,86.671,93.495,78.385,75.892,85.23,81.586,84.053,98.826,82.313,90.76,0.0505469269353962,0.05338544827753622,0.03534029990322196,-0.052233879404028016,0.17848293978924734,0.014802185032742887,0.06810867785739116,0.009466886366660265,0.07611077090562701,0.057827737297547976,0.024726268372077698,0.12222254037338232,0.07550592370047049,0.05460484798990328,0.02493687265235356,0.026112752398857353,0.01942378511083831,0.010025031903406312,0.03449061937219344
2000,90.789,90.886,93.796,94.562,130.555,96.638,98.647,98.441,84.108,89.417,95.341,86.513,82.69,89.198,84.354,88.055,101.114,83.379,93.001,0.04454824717834249,0.04731504955058763,-0.014882421518069844,0.013330761482243547,0.10234392150902627,0.03418089979024863,0.0356096792819276,-0.0019567289170062674,0.0636080831584005,0.031683031233053605,0.019744371356756885,0.10369330866875037,0.08957465872555748,0.04655637686260694,0.033927389503100924,0.047612815723412805,0.02315180215732715,0.01295056673915429,0.02469149405024229
2001,91.015,90.782,93.371,99.498,140.848,96.496,92.187,95.826,85.237,88.525,92.057,88.54,84.868,89.498,88.25,87.566,100.823,85.856,96.302,0.002489288349910135,-0.0011442906498250194,-0.004531110068659805,0.052198557560119374,0.07884033549078939,-0.0014694012707218151,-0.0654860259308444,-0.026564134862506528,0.01342321776763189,-0.009975731684131572,-0.03444478241260307,0.023430004739172228,0.02633933970250335,0.0033633041099576655,0.046186310074211034,-0.005553347339730896,-0.0028779397511720095,0.029707720169346974,0.03549424199739781
2002,91.572,90.996,93.561,96.379,108.161,93.629,91.382,96.58,88.723,92.557,91.643,89.937,85.447,89.103,91.979,89.947,101.026,90.297,99.154,0.006119870351041001,0.002357295499107792,0.0020348930610147864,-0.03134736376610581,-0.23207287288424405,-0.029711076106781475,-0.00873225075119044,0.00786842819276612,0.04089773220549775,0.045546455803445296,-0.0044972136828269615,0.015778179353964195,0.006822359428759972,-0.004413506447071502,0.04225495750708208,0.027190918849781864,0.002013429475417272,0.051726146105106174,0.029615168947685344
