Year,Calculated_gCR,Calculated_gYR,Calculated_pi,Calculated_gXR,NY.GDP.MKTP.CN,PA.NUS.FCRF,NY.GDP.DEFL.KD.ZG,"IMF, IFS"
,S074A,S074B,S074C,S074D,S074E,S074F,S074G,S074
1960,,,,,0.1315089166,,,0.0285
1961,9.824561403508772,26.840973154211195,20.310697533647897,,0.1668071896,,20.310697533647897,0.0313
1962,17.57188498402555,27.773825823152652,28.87184161137023,,0.2131359279,8.72e-12,28.87184161137023,0.0368
1963,23.641304347826082,18.92452867867707,25.591154352064677,59.40366972477064,0.2534708977,1.39e-11,25.591154352064677,0.0455
1964,37.80219780219782,41.81986936640737,28.774617351761037,0.7194244604316545,0.359472096,1.4e-11,28.774617351761037,0.0627
1965,24.401913875598073,34.0465691712619,21.23293491740901,21.428571428571423,0.481860011816025,1.7e-11,21.23293491740901,0.078
1966,36.28205128205129,24.774823501368797,25.6034624194849,22.941176470588243,0.60123997926712,2.09e-11,25.6034624194849,0.1063
1967,40.451552210724344,33.1365215468063,29.018262947518195,59.33014354066984,0.800469994544983,3.33e-11,29.018262947518195,0.1493
1968,31.07836570663096,15.593338266692973,10.275310542495845,5.105105105105119,0.925289988517761,3.5e-11,10.275310542495845,0.1957
1969,24.271844660194166,18.229955442581907,7.795830054766341,0.0,1.09396994113922,3.5e-11,7.795830054766341,0.2432
1970,24.38322368421052,9.710506342838444,6.467874609647424,8.28571428571428,1.20019996166229,3.79e-11,6.467874609647424,0.3025
1971,35.53719008264462,38.698552752297864,31.271063886809287,19.261213720316633,1.66465997695923,4.52e-11,31.271063886809287,0.41
1972,56.09756097560977,66.91937514411887,64.24478595024274,10.61946902654867,2.77864003181458,5e-11,64.24478595024274,0.64
1973,103.125,70.1897324981394,65.5352873679864,0.0,4.72896003723145,5e-11,65.5352873679864,1.3
1974,52.30769230769231,37.859274475393825,30.630441361711775,0.0,6.51930999755859,5e-11,30.630441361711775,1.98
1975,181.8181818181818,197.61278246083322,197.69736449881543,632.0,19.4022998809814,3.66e-10,197.69736449881543,5.58
1976,273.1182795698925,427.45807205836536,438.3227798132292,282.5136612021858,102.338996887207,1.4e-09,438.3227798132292,20.82
1977,260.18251681075884,177.41624152541098,159.42717768784917,191.42857142857142,283.904998779297,4.08e-09,159.42717768784917,74.99
1978,177.54367248966528,149.5944157362588,161.37217199264285,95.09803921568627,708.611022949219,7.96e-09,161.37217199264285,208.13
1979,190.39062124633642,172.66581411716234,147.3770440752795,65.82914572864323,1932.14001464844,1.32e-08,147.3770440752795,604.39
1980,109.43430566356162,98.76405815458072,90.8408016044117,39.393939393939384,3840.39990234375,1.84e-08,90.8408016044117,1265.8
1981,186.0870595670722,94.6229558053583,106.3640990002396,139.1304347826087,7474.2998046875,4.4e-08,106.3640990002396,3621.29
1982,177.5773274164731,192.36852375516466,207.61768137585028,488.6363636363636,21852.5,2.59e-07,207.61768137585028,10051.88
1983,403.3386789336921,401.0410708156961,382.3494348358886,305.4054054054054,109490.0,1.05e-06,382.3494348358886,50595.0
1984,552.6346476924597,622.3673394830578,606.7359411957335,544.7619047619048,790920.0,6.77e-06,606.7359411957335,330200.5
1985,423.3177115116422,570.7378748798867,625.8021403023716,789.2171344165436,5305000.0,6.02e-05,625.8021403023716,1727997.7
1986,89.9158951426845,88.20169651272384,74.46149340307639,56.64451827242525,9984100.0,9.43e-05,74.46149340307639,3281742.3
1987,238.32129353971519,133.69457437325346,127.08637640659401,127.39112760339343,23332300.0,0.00021442983333,127.08637640659401,11102833.0
1988,326.8740861003674,376.00108004783067,388.4913389587641,308.18033716558693,111062000.0,0.00087526041667,388.4913389587641,47395116.9
1989,5379.547855066056,2820.9269921305217,3057.628835673213,4736.727450107137,3244039936.0,0.042333960833,3057.628835673213,2597038111.5
1990,760.4032378675395,2024.5730854035946,2076.793473222132,1051.7681637526262,68921999360.0,0.48758908333,2076.793473222132,22345000000.0
1991,84.57373014097114,162.46772680971745,132.9532281427737,95.56516937534364,180898004992.0,0.95355441667,132.9532281427737,41243000000.0
1992,23.523991950149117,25.284966096791834,11.920760241953076,3.889369012574658,226638004224.0,0.99064166667,11.920760241953076,50945000000.0
1993,20.67131219943076,4.3536251220461155,-1.4666599492073829,0.8382613955572963,236504973312.0,0.99894583333,-1.4666599492073829,61476000000.0
1994,11.302571735311341,8.851815412939471,2.8493225343198674,0.006256595494445555,257439956992.0,0.99900833333,2.8493225343198674,68424369000.0
1995,5.09144921745643,0.229925905409623,3.1651918596055566,0.07424028861979283,258031878144.0,0.99975,3.1651918596055566,71908161000.0
1996,6.804989770215372,5.4713704018079605,-0.05242221330860275,-0.008752188047013564,272149757952.0,0.9996625,-0.05242221330860275,76801504000.0
1997,15.830326708185298,7.609461201009975,-0.4639540284121466,-0.01625548622659691,292858888192.0,0.9995,-0.4639540284121466,88959433000.0
1998,9.225833307638101,2.0793202096730306,-1.7052052088351104,0.0,298948362240.0,0.9995,-1.7052052088351104,97166682000.0
1999,3.598482451011346,-5.159867502340193,-1.836587324863899,0.0,283523022848.0,0.9995,-1.836587324863899,100663208000.0
2000,-2.7320879167192906,0.2400942347334323,1.0372772633181881,0.0,284203745280.0,0.9995,1.0372772633181881,97913000657.65
2001,2.2047198307177456,-5.456307410981632,-1.095778846119515,0.0,268696715264.0,0.9995,-1.095778846119515,100071708000.0
2002,94.97601759730132,16.33195621497778,30.555281544398213,206.4789061230615,312580145152.0,3.0632566667,30.555281544398213,195115831000.0
2003,-2.460611717354703,20.260149998076358,10.495608050719099,-5.308974000379677,375909351424.0,2.9006291667,10.495608050719099,190314788000.0
2004,6.7907445006322895,19.082809972207603,9.220651190261208,0.7816115365685747,447643418624.0,2.9233008189,9.220651190261208,203238579000.0
2005,0.150024666330697,18.83090427901705,8.840489895574024,-0.6719568089948253,531938722296.405,2.9036575,8.840489895574024,203543487000.0
2006,-0.9252440487078812,23.029017782988692,13.42627795867213,5.188484981441513,654438985248.647,3.0543133333,13.42627795867213,201660213000.0
2007,14.902456737958518,24.14538965102258,,1.3533489000402985,812455828265.131,3.0956488492,,231712539000.0
2008,8.962562013098479,27.1156194001906,,1.56722267490184,1032758258452.17,3.1441645599,,252479919000.0
2009,26.848091898092687,10.912532239938443,,17.999766227821095,1145458336366.39,3.7101068305,,320265959677.35
2010,31.438395895738033,25.94568766014966,,5.018408701048323,1442655378597.16,3.8962951545,,420952440000.0
2011,36.99877140514971,27.682755151712314,,5.48840406643787,1842022134737.22,4.1101395762,,576699671000.0
2012,39.974456999473475,,,10.38394867345576,,4.5369343602,,807232233000.0
