Year,"IMF, IFS","IMF, IFS, 2005 = 100",Inflation Rate,Total Domestic Credit,Current Account,New purchasing power = ∆CR + CA,New demand relative to GDP,Growth utilization Rate,Appendix 6.8.II.7,"Current Cost Investment, BEA, see Appendix 15.2",T-bill 3 mo. Interest Rate,Appendix 6.8.II.7,Calculated_Appendix 6.8.II.7,"Unemployment Rate (Appendix 14.2: Sources and Methods, and 14.3: Data Tables.xlsx)","Unemploymnt Intensity (Appendix 14.2: Sources and Methods, and 14.3: Data Tables.xlsx)",Calculated,Growth rate of nominal GDP,Growth rate of private and public credit,Growth rate of real GDP,Based on data from Appendix 6.8.II.7,Normalized growth utilization,Normalized inflation,Appendix 6.8.II.7,GDP from NIPA T1.1.5,Calculated,Calculated
,S073A,S073B,S073C,S073D,S073E,S073F,S073G,S073H,S073I,S073J,S073K,S073L,S073M,S073N,S073O,S073P,S073Q,S073R,S073S,S073T,S073U,S073V,S073W,S073X,S073Y,S073
1948,269.125,14.5139544290144,0.05568,135.33200000000002,2.4,,,0.33541927409261574,157.81715955056183,17.8,0.0104,0.31468453732815793,0.3042845373281579,0.0374999999999999,0.0320853960396039,1854.2500000000034,,,,0.152106226528314,,,,,,
1949,267.225,14.4858989822331,-0.001932998,136.48399999999998,0.9,,0.00762470970738504,0.337398374,148.68508720987654,16.2,0.01102,-0.11933291420477785,-0.13035291420477785,0.0605000000025,0.0601505775602413,1844.7250000000033,-0.0070599163957268,0.0085123991369373,-0.0051406617815531,0.131929957098199,-1.4704799772682833,-1.5210784529126518,-9.132072340685284,-9.525000000000091,0.662601626,-0.001932998
1950,293.725,14.6426880031905,0.010823562,145.67700000000002,-1.8,,0.0276658246795771,0.327444052,173.54382022471907,17.8,0.01218,0.43918643202486496,0.42700643202486493,0.0520833333325,0.062096053354342,2005.9500000000014,0.0991673683225746,0.0673558805427742,0.087382264393964,0.113275625402801,-1.5983344093826555,-0.9751902884257444,24.858733014842528,161.2249999999981,0.6725559480000001,0.010823562
1951,339.25,15.6976609675404,0.072047766,154.401,0.9,,0.0327653417312111,0.329533679,179.19555257142858,21.7,0.01552,0.07423948026439547,0.058719480264395475,0.0328333333349999,0.0314246424658415,2161.150000000004,0.154991914205464,0.0598859119833604,0.0773695120213154,0.0950418696058558,-1.5714950050097747,1.644761198788047,5.651732346709508,155.20000000000277,0.6704663209999999,0.072047766
1952,358.3,15.9679126511058,0.017216048,201.662,0.6,,0.141078850405305,0.330912863,171.50916590308373,22.7,0.01766,-0.08652761196412544,-0.10418761196412543,0.03025,0.0252582508250825,2243.874999999998,0.0561532792925571,0.306092577120614,0.0382949760981064,0.0792645716170687,-1.5537806104883571,-0.7016382925077029,-7.686386668344852,82.724999999994,0.669087137,0.017216048
1953,379.35,16.1616376785353,0.012132145,211.50799999999998,-1.3,,0.0238515210717276,0.36,172.391968,24.8,0.01931,0.016692636395081967,-0.0026173636049180334,0.02925,0.0232165841584158,2347.224999999999,0.0587496511303377,0.0488242703136932,0.0460409868363588,0.0676161946500888,-1.1801821491398157,-0.9191924354035527,0.8828020969162651,103.35000000000082,0.64,0.012132145
1954,380.35,16.3074119727745,0.009019772,227.556,0.2,,0.0428311585606959,0.352642276,171.0179041991701,24.1,0.00953,-0.013296796656494017,-0.022826796656494015,0.0559166666674999,0.0653745187028444,2332.3750000000045,0.00263608804534071,0.0758741986118728,-0.00627923867119648,0.0599345562023938,-1.2746855842983615,-1.0523794061988618,-1.3740638008299015,-14.849999999994452,0.647357724,0.009019772
1955,414.725,16.5871754107048,0.0171556,242.07199999999997,0.4,,0.0392165111081898,0.347903657,204.7586306315789,26.6,0.01753,0.46831152881907867,0.4507815288190787,0.043666666665,0.0560965346513243,2500.2750000000037,0.0903772840804522,0.0637908910334159,0.0719709634955044,0.0553553118249606,-1.3355489400599465,-0.7042250280984034,33.74072643240882,167.89999999999918,0.652096343,0.0171556
1956,437.45,17.1565839788215,0.034328242,254.863,2.7,,0.0373524624751341,0.391725352,192.20468800000003,32.2,0.02658,-0.11792891015619376,-0.14450891015619377,0.0412499999975,0.0461169554427496,2549.7499999999927,0.0547953463138223,0.0528396510129217,0.0197523115525658,0.0521867715067422,-0.7726981574035062,0.030639388387763266,-12.553942631578877,49.474999999988995,0.608274648,0.034328242
1957,461.075,17.7263246926751,0.033208284,264.322,4.7,,0.0323671276717339,0.407026564,185.8895475530086,34.9,0.03267,-0.04495625858589183,-0.07762625858589182,0.0429999999975,0.0444900990073144,2601.0750000000066,0.0540061721339581,0.0371140573563051,0.0201728475291843,0.0526916921184417,-0.5761676683434167,-0.0172866839171865,-6.315140446991421,51.325000000013915,0.5929734360000001,0.033208284
1958,467.15,18.1232723922215,0.022393119,289.04200000000003,0.8,,0.0553489128666702,0.364806867,175.11626990728476,30.2,0.01839,-0.09843976824313573,-0.11682976824313573,0.0684166666675,0.0946656353146844,2577.6250000000027,0.0131757306295071,0.0935222947768252,-0.00901876062800632,0.0571659628156952,-1.1184422083850043,-0.4800972355449797,-10.773277645723851,-23.45000000000391,0.635193133,0.022393119
1959,506.625,18.3396984560807,0.011941887,304.7,-1.3,,0.0307353098576474,0.361305361,204.40673316207952,32.7,0.03405,0.3213454719068297,0.2872954719068297,0.0544999999999999,0.077523102310231,2762.449999999993,0.0845017660280424,0.054172058040008,0.0716698749032832,0.064602555832954,-1.1634159455390831,-0.9273340966663816,29.29046325479476,184.82499999999027,0.638694639,0.011941887
1960,526.475,18.5972782747688,0.014044932,322.043,3.2,,0.0405487293362941,0.380292533,202.22103887640452,35.6,0.02928,-0.005165949114381718,-0.034445949114381716,0.055416666665,0.0701852997778671,2830.925000000007,0.0391808536886257,0.056918280275681,0.0248199632547935,0.0722547837765127,-0.9195425713888493,-0.8373390372707945,-2.185694285674998,68.475000000014,0.619707467,0.014044932
1961,544.775,18.8056094929881,0.011202242,350.659,4.2,,0.0623315447077259,0.359087564,207.36248399999997,35.2,0.023780000000000003,0.06979668790343385,0.04601668790343385,0.0669166666675,0.103687706271918,2896.875000000005,0.03475948525571,0.0888576991271351,0.0232597121823057,0.0796029336943361,-1.1919015798173347,-0.9589855333720386,5.141445123595446,65.949999999998,0.640912436,0.011202242
1962,585.65,19.0618007241955,0.013623128,383.333,3.8,,0.0669524115460511,0.357575758,231.4606732532637,38.3,0.02778,0.2458098044092056,0.2180298044092056,0.0556666666649999,0.0808360836059405,3072.3749999999923,0.0750309760910467,0.0931788432636835,0.0605934600969585,0.0850607447966243,-1.2113193862331912,-0.8553891864750657,24.09818925326374,175.49999999998727,0.6424242419999999,0.013623128
1963,617.775,19.2651323790813,0.01066697,422.34800000000007,4.9,,0.0749850593357807,0.355555556,249.74695019801985,40.4,0.03157,0.16852802621985055,0.13695802621985054,0.0564166666675,0.0782013201331683,3206.7,0.0548535814906514,0.101778349372477,0.0437383322281235,0.0867059269566337,-1.2372670880923757,-0.9818912892796844,18.28627694475614,134.32500000000755,0.644444444,0.01066697
