Index,LTVCalc1998stdREadjFixed.xmcd; Column: tpm,LTVCalc1998stdREadjFixed.xmcd; Column: td,LTVCalc1998stdREadjFixed.xmcd; Column: tv,LTVCalc1998stdREadjFixed.xmcd; Column: tp(r),LTVCalc1998stdREadjFixed.xmcd; Column: tpmr = tpm/TPM,LTVCalc1998stdREadjFixed.xmcd; Column: tvr = tv/TV,LTVCalc1998stdREadjFixed.xmcd; Column: tdr = td/TD,LTVCalc1998stdREadjFixed.xmcd; Column: tp(r) = tp(r)/TP(r),LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: ,LTVCalc1998stdREadjFixed.xmcd; Column: 
,FPR009_C1,FPR009_C2,FPR009_C3,FPR009_C4,FPR009_C5,FPR009_C6,FPR009_C7,FPR009_C8,FPR009_C9,FPR009_C10,FPR009_C11,FPR009_C12,FPR009_C13,FPR009_C14,FPR009_C15,FPR009_C16,FPR009_C17,FPR009_C18,FPR009_C19,FPR009_C20,FPR009_C21,FPR009_C22,FPR009_C23,FPR009_C24,FPR009_C25,FPR009_C26,FPR009_C27
1,207859.0,157562.211387787,2792.6843829,3852.8143063,0.01358,0.010294,0.010294,0.0129173,,,,,,,,,,,,,,,,,,,
2,42188.0,36574.6195075343,648.2605684,705.5307726,0.0027563,0.0023895,0.0023895,0.0023654,,,,,,,,,,,,,,,,,,,
3,70420.0,71076.585708332,1259.7847488,2106.578223,0.0046007,0.0046436,0.0046436,0.0070627,,,,,,,,,,,,,,,,,,,
4,51381.0,51673.5097464665,915.8782579,1128.5227112,0.0033569,0.003376,0.003376,0.0037836,,,,,,,,,,,,,,,,,,,
5,24677.0,29846.9691332087,529.0174836,592.3536652,0.0016122,0.00195,0.00195,0.001986,,,,,,,,,,,,,,,,,,,
6,254479.0,192046.004172536,3403.8864518,5939.1386225,0.0166258,0.0125469,0.0125469,0.0199121,,,,,,,,,,,,,,,,,,,
7,903290.0,900703.211260029,15964.3595351,15644.7890559,0.0590144,0.0588454,0.0588454,0.0524521,,,,,,,,,,,,,,,,,,,
8,90815.0,94865.4025416226,1681.4255514,1755.7049711,0.0059332,0.0061978,0.0061978,0.0058863,,,,,,,,,,,,,,,,,,,
9,89204.0,86419.639967074,1531.7300817,1668.4225684,0.0058279,0.005646,0.005646,0.0055937,,,,,,,,,,,,,,,,,,,
10,164785.0,179082.784665106,3174.1220917,3615.4591382,0.0107659,0.0117,0.0117,0.0121215,,,,,,,,,,,,,,,,,,,
11,246438.0,254609.223593546,4512.7775005,4669.0349954,0.0161005,0.0166343,0.0166343,0.0156538,,,,,,,,,,,,,,,,,,,
12,265752.0,278531.188991106,4936.7782719,5047.6731478,0.0173623,0.0181972,0.0181972,0.0169233,,,,,,,,,,,,,,,,,,,
13,417930.0,479498.234508069,8498.7841904,8642.6971972,0.0273045,0.0313269,0.0313269,0.0289763,,,,,,,,,,,,,,,,,,,
14,111452.0,118780.484650111,2105.3043211,2198.0012505,0.0072815,0.0077603,0.0077603,0.0073692,,,,,,,,,,,,,,,,,,,
15,432097.0,463129.398123482,8208.6575583,8334.5546615,0.0282301,0.0302575,0.0302575,0.0279432,,,,,,,,,,,,,,,,,,,
16,178070.0,207743.143862988,3682.1077111,3701.3149267,0.0116338,0.0135724,0.0135724,0.0124093,,,,,,,,,,,,,,,,,,,
17,67853.0,70466.2441538683,1248.9668547,1234.2801936,0.004433,0.0046038,0.0046038,0.0041382,,,,,,,,,,,,,,,,,,,
18,105984.0,107185.90866114,1899.7982483,1919.8938028,0.0069242,0.0070028,0.0070028,0.0064368,,,,,,,,,,,,,,,,,,,
