Index,LTVCalc1998stdREadjCirc.xmcd; Column: tpm,LTVCalc1998stdREadjCirc.xmcd; Column: td,LTVCalc1998stdREadjCirc.xmcd; Column: tv,LTVCalc1998stdREadjCirc.xmcd; Column: tp(r),LTVCalc1998stdREadjCirc.xmcd; Column: tpmr = tpm/TPM,LTVCalc1998stdREadjCirc.xmcd; Column: tvr = tv/TV,LTVCalc1998stdREadjCirc.xmcd; Column: tdr = td/TD,LTVCalc1998stdREadjCirc.xmcd; Column: tp(r) = tp(r)/TP(r),LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: ,LTVCalc1998stdREadjCirc.xmcd; Column: 
,FPR009_C1,FPR009_C2,FPR009_C3,FPR009_C4,FPR009_C5,FPR009_C6,FPR009_C7,FPR009_C8,FPR009_C9,FPR009_C10,FPR009_C11,FPR009_C12,FPR009_C13,FPR009_C14,FPR009_C15,FPR009_C16,FPR009_C17,FPR009_C18,FPR009_C19,FPR009_C20,FPR009_C21,FPR009_C22,FPR009_C23,FPR009_C24,FPR009_C25,FPR009_C26,FPR009_C27
1,207859.0,130559.9099767,2024.1006965,2518.6297908,0.01358,0.0085298,0.0085298,0.0109121,,,,,,,,,,,,,,,,,,,
2,42188.0,35349.619271,548.0333818,562.6443027,0.0027563,0.0023095,0.0023095,0.0024377,,,,,,,,,,,,,,,,,,,
3,70420.0,46230.8955036,716.7283418,729.2934666,0.0046007,0.0030204,0.0030204,0.0031597,,,,,,,,,,,,,,,,,,,
4,51381.0,45901.8050831,711.6263764,704.2741198,0.0033569,0.0029989,0.0029989,0.0030513,,,,,,,,,,,,,,,,,,,
5,24677.0,27160.9929065,421.0831998,399.9954002,0.0016122,0.0017745,0.0017745,0.001733,,,,,,,,,,,,,,,,,,,
6,254479.0,144616.5800725,2242.0245273,2314.4088089,0.0166258,0.0094482,0.0094482,0.0100273,,,,,,,,,,,,,,,,,,,
7,903290.0,937426.1199837,14533.1354987,14769.9191173,0.0590144,0.0612446,0.0612446,0.0639913,,,,,,,,,,,,,,,,,,,
8,90815.0,95298.7219918,1477.4382856,1676.1116878,0.0059332,0.0062261,0.0062261,0.0072618,,,,,,,,,,,,,,,,,,,
9,89204.0,85110.690736,1319.4908639,1373.2066549,0.0058279,0.0055605,0.0055605,0.0059495,,,,,,,,,,,,,,,,,,,
