Index,Ams1_47.xmcd; Column: tpm,Ams1_47.xmcd; Column: td,Ams1_47.xmcd; Column: tv,Ams1_47.xmcd; Column: tp(r),Ams1_47.xmcd; Column: tpmr = tpm/TPM,Ams1_47.xmcd; Column: tvr = tv/TV,Ams1_47.xmcd; Column: tdr = td/TD,Ams1_47.xmcd; Column: tp(r) = tp(r)/TP(r),Ams1_47.xmcd; Column: qtpmtv67,Ams1_47.xmcd; Column: qtpoptv67,Ams1_47.xmcd; Column: qtpmtpop67
,FPR009_C1,FPR009_C2,FPR009_C3,FPR009_C4,FPR009_C5,FPR009_C6,FPR009_C7,FPR009_C8,FPR009_C9,FPR009_C10,FPR009_C11
1,44391.02,18550.469524,38230.6902448,20207.5859804,0.1102504,0.0949505,0.0949505,0.0963404,1.1611355390440283,1.0146381535642257,1.1443838721865385
2,394.5707,142.1262748,292.9082512,144.935821,0.00098,0.0007275,0.0007275,0.000691,1.3470790378006874,0.9498281786941581,1.4182344428364688
3,669.7201,313.3002039,645.6808564,320.8618145,0.0016633,0.0016036,0.0016036,0.0015297,1.0372287353454728,0.9539161885757047,1.087337386415637
4,3660.154,2053.1347691,4231.3085008,1853.6747636,0.0090904,0.010509,0.010509,0.0088375,0.8650109430012372,0.8409458559330099,1.0286166902404525
5,4358.388,1076.7364491,2219.0477502,1966.7226991,0.0108246,0.0055113,0.0055113,0.0093764,1.9640738119862826,1.7013045923829222,1.154451601894117
6,629.1294,296.8467382,611.7718844,291.5753617,0.0015625,0.0015194,0.0015194,0.0013901,1.0283664604449125,0.9149006186652626,1.1240198546867133
7,240.9837,63.2465687,130.3449475,68.5440114,0.0005985,0.0003237,0.0003237,0.0003268,1.8489341983317886,1.0095767686129131,1.8313953488372094
8,25522.44,12381.9165834,25517.9103108,12772.9795521,0.063388,0.0633768,0.0633768,0.0608956,1.000176720818975,0.9608500271392687,1.0409290654825636
9,149.9813,102.0301035,210.2739921,190.923169,0.0003725,0.0005222,0.0005222,0.0009102,0.7133282267330525,1.7430103408655688,0.4092507141287629
10,43532.5,17185.3319545,35417.2761966,18523.4979166,0.1081181,0.087963,0.087963,0.0883114,1.2291315666814455,1.00396075622705,1.224282482216339
11,3971.242,1016.2366754,2094.3636764,1040.7877524,0.0098631,0.0052016,0.0052016,0.004962,1.8961665641341126,0.9539372500768996,1.9877267230955258
12,10338.86,5041.5423214,10390.122072,4935.9139676,0.0256778,0.0258051,0.0258051,0.0235321,0.9950668666271396,0.9119166366338437,1.0911818324756397
13,1833.0,710.6623216,1464.6050361,710.0781345,0.0045525,0.0036375,0.0036375,0.0033853,1.2515463917525773,0.9306666666666666,1.344784804891738
14,11010.28,5653.5125893,11651.3325076,5176.136501,0.0273453,0.0289375,0.0289375,0.0246774,0.944977969762419,0.8527827213822893,1.1081110651851491
15,1081.964,596.7369464,1229.8160607,566.3423333,0.0026872,0.0030544,0.0030544,0.0027001,0.8797799895233106,0.884003404924044,0.995222399170401
16,5289.295,2864.6596218,5903.7812772,2831.4817064,0.0131366,0.0146627,0.0146627,0.0134992,0.895919578249572,0.9206489937051157,0.9731391489866067
17,523.5121,297.0584277,612.2081556,289.2694404,0.0013002,0.0015205,0.0015205,0.0013791,0.8551134495231832,0.9070042749095694,0.9427887752882315
18,1842.063,1006.6776848,2074.6635386,959.0736623,0.004575,0.0051527,0.0051527,0.0045724,0.8878840219690648,0.887379432142372,1.0005686291663023
19,695.1997,401.4942389,827.4400743,387.601216,0.0017266,0.002055,0.002055,0.0018479,0.8401946472019465,0.8992214111922141,0.934357919800855
20,4754.833,2218.7485866,4572.6222635,2381.5221262,0.0118092,0.0113567,0.0113567,0.011354,1.0398443209735222,0.9997622548803788,1.0400915976748284
21,1591.838,764.8840104,1576.3505952,789.1453464,0.0039535,0.0039151,0.0039151,0.0037623,1.0098081785905852,0.9609716226916298,1.0508199771416422
22,6434.115,3599.5103216,7418.2361778,3693.7015207,0.0159799,0.0184241,0.0184241,0.0176099,0.8673368034259475,0.9558078820675096,0.9074384295197586
23,4498.15,1976.5401623,4073.4545615,2264.6991602,0.0111717,0.0101169,0.0101169,0.010797,1.1042611867271594,1.0672241496901225,1.0347040844679078
24,1429.615,614.9573187,1267.3664532,687.5960142,0.0035506,0.0031477,0.0031477,0.0032781,1.1279982209232138,1.0414270737363789,1.0831274213721362
25,3033.858,1265.9719248,2609.0434237,1316.6618433,0.0075349,0.0064799,0.0064799,0.0062772,1.1628111544931248,0.9687186530656338,1.2003600331357929
26,1298.882,461.4415518,950.9855807,509.7899493,0.0032259,0.0023619,0.0023619,0.0024304,1.3658071891273973,1.029002074600957,1.3273123765635286
27,7855.672,2826.5119642,5825.1627128,4513.0347334,0.0195105,0.0144675,0.0144675,0.0215161,1.3485743908761016,1.4872023500950406,0.9067860811206492
28,3471.758,1620.0854514,3338.8365175,1574.8902647,0.0086225,0.0082924,0.0082924,0.0075083,1.0398075346100044,0.9054435386619073,1.148395775341955
29,1132.851,462.1793153,952.5060386,474.1707008,0.0028136,0.0023657,0.0023657,0.0022606,1.1893308534471825,0.955573403221034,1.2446253207113154
30,2608.263,1419.6621996,2925.7839396,1337.7321075,0.0064779,0.0072665,0.0072665,0.0063777,0.8914745751049336,0.8776852680107341,1.0157109929912038
31,1129.465,681.7833971,1405.0884176,677.7659497,0.0028052,0.0034897,0.0034897,0.0032313,0.8038513339255523,0.9259535203599163,0.8681335685327887
32,2940.421,1598.2352593,3293.8054239,1681.8274397,0.0073029,0.0081806,0.0081806,0.0080182,0.8927095812043127,0.980148155392025,0.9107904517223318
33,11166.87,6445.806831,13284.1728893,7660.5202359,0.0277343,0.0329928,0.0329928,0.0365218,0.8406167406221963,1.1069627312625785,0.7593902819685777
