Index,Ams1_67.xmcd; Column: tpm,Ams1_67.xmcd; Column: td,Ams1_67.xmcd; Column: tv,Ams1_67.xmcd; Column: tp(r),Ams1_67.xmcd; Column: tpmr = tpm/TPM,Ams1_67.xmcd; Column: tvr = tv/TV,Ams1_67.xmcd; Column: tdr = td/TD,Ams1_67.xmcd; Column: tp(r) = tp(r)/TP(r),Ams1_67.xmcd; Column: qtpmtv67,Ams1_67.xmcd; Column: qtpoptv67,Ams1_67.xmcd; Column: qtpmtpop67,Ams1_67.xmcd; Column: ,Ams1_67.xmcd; Column: ,Ams1_67.xmcd; Column: ,Ams1_67.xmcd; Column: ,Ams1_67.xmcd; Column: ,Ams1_67.xmcd; Column: ,Ams1_67.xmcd; Column: ,Ams1_67.xmcd; Column: ,Ams1_67.xmcd; Column: ,Ams1_67.xmcd; Column: ,Ams1_67.xmcd; Column: ,Ams1_67.xmcd; Column: ,Ams1_67.xmcd; Column: ,Ams1_67.xmcd; Column: ,Ams1_67.xmcd; Column: ,Ams1_67.xmcd; Column: ,Ams1_67.xmcd; Column: ,Ams1_67.xmcd; Column: ,Ams1_67.xmcd; Column: ,Ams1_67.xmcd; Column: ,Ams1_67.xmcd; Column: ,Ams1_67.xmcd; Column: 
,FPR009_C1,FPR009_C2,FPR009_C3,FPR009_C4,FPR009_C5,FPR009_C6,FPR009_C7,FPR009_C8,FPR009_C9,FPR009_C10,FPR009_C11,FPR009_C12,FPR009_C13,FPR009_C14,FPR009_C15,FPR009_C16,FPR009_C17,FPR009_C18,FPR009_C19,FPR009_C20,FPR009_C21,FPR009_C22,FPR009_C23,FPR009_C24,FPR009_C25,FPR009_C26,FPR009_C27,FPR009_C28,FPR009_C29,FPR009_C30,FPR009_C31,FPR009_C32,FPR009_C33
1,59603.29,67476.317014,11131.9744417,14878.3773119,0.0496284,0.0561839,0.0561839,0.065532,0.8833206665966585,1.1663839640893567,0.7573155099798571,,,,,,,,,,,,,,,,,,,,,,
2,1178.164,960.8784203,158.5219006,251.6372543,0.000981,0.0008001,0.0008001,0.0011083,1.2260967379077616,1.385201849768779,0.8851394026888028,,,,,,,,,,,,,,,,,,,,,,
3,1305.134,1387.4494568,228.8958938,327.3961362,0.0010867,0.0011553,0.0011553,0.001442,0.940621483597334,1.2481606509131826,0.7536061026352289,,,,,,,,,,,,,,,,,,,,,,
4,3178.015,3770.8984846,622.1078359,721.3748895,0.0026462,0.0031398,0.0031398,0.0031773,0.8427925345563412,1.0119434358876362,0.8328454977496617,,,,,,,,,,,,,,,,,,,,,,
5,14223.97,6882.7094373,1135.4820319,1802.1537476,0.0118435,0.0057309,0.0057309,0.0079376,2.0666038493081365,1.3850529585230942,1.4920756903850032,,,,,,,,,,,,,,,,,,,,,,
6,2137.804,1936.4227985,319.4633326,386.3704345,0.00178,0.0016124,0.0016124,0.0017018,1.1039444306623667,1.0554452989332672,1.0459513456340344,,,,,,,,,,,,,,,,,,,,,,
7,938.4008,542.5976513,89.5156027,134.3688966,0.0007814,0.0004518,0.0004518,0.0005918,1.7295263390880922,1.3098716246126605,1.3203785062521123,,,,,,,,,,,,,,,,,,,,,,
8,86852.32,104325.549278,17211.2142389,17208.2720887,0.0723172,0.0868662,0.0868662,0.075794,0.8325125307657063,0.8725373044981822,0.9541282951157083,,,,,,,,,,,,,,,,,,,,,,
9,9198.969,7660.5585942,1263.8084924,1247.1764116,0.0076595,0.0063785,0.0063785,0.0054932,1.2008309163596458,0.8612056126048445,1.3943603000072817,,,,,,,,,,,,,,,,,,,,,,
10,85680.38,83461.300595,13769.1134639,16580.3092458,0.0713414,0.0694937,0.0694937,0.0730282,1.0265880216480054,1.050860725504614,0.9769020734456004,,,,,,,,,,,,,,,,,,,,,,
11,7907.379,4122.5940552,680.1291725,827.3855742,0.006584,0.0034327,0.0034327,0.0036442,1.9180237131121274,1.0616133073091152,1.8067065473903738,,,,,,,,,,,,,,,,,,,,,,
12,15247.07,15426.7954038,2545.0513566,2958.9882526,0.0126954,0.0128451,0.0128451,0.0130329,0.9883457505196535,1.014620361071537,0.9741039983426559,,,,,,,,,,,,,,,,,,,,,,
13,3942.99,3686.7090608,608.2185996,709.2636544,0.0032831,0.0030697,0.0030697,0.003124,1.069518193960322,1.017689024986155,1.0509282970550577,,,,,,,,,,,,,,,,,,,,,,
14,22239.33,24960.1153308,4117.8205661,3940.4078753,0.0185175,0.0207829,0.0207829,0.0173556,0.890996925356904,0.8350903868083857,1.0669466915577681,,,,,,,,,,,,,,,,,,,,,,
15,3397.75,3254.5229541,536.9182544,560.0278481,0.0028291,0.0027099,0.0027099,0.0024666,1.043986862983874,0.9102180892283849,1.146963431444093,,,,,,,,,,,,,,,,,,,,,,
16,11635.76,13316.3851377,2196.8842635,2413.7061849,0.0096885,0.0110878,0.0110878,0.0106312,0.8737982286837784,0.9588196035282022,0.9113270373993527,,,,,,,,,,,,,,,,,,,,,,
17,502.0299,621.7490011,102.5736776,108.5814873,0.000418,0.0005177,0.0005177,0.0004782,0.8074174232180801,0.9237009851265213,0.8741112505227938,,,,,,,,,,,,,,,,,,,,,,
18,4988.375,5505.3037066,908.2431121,888.7565298,0.0041536,0.004584,0.004584,0.0039145,0.9061082024432809,0.8539485165794065,1.0610805977774942,,,,,,,,,,,,,,,,,,,,,,
19,2552.241,2487.8691579,410.4387599,415.6173101,0.0021251,0.0020715,0.0020715,0.0018306,1.0258749698286267,0.8837074583635047,1.1608762154484868,,,,,,,,,,,,,,,,,,,,,,
20,14904.07,14194.2794653,2341.7157785,2973.0244774,0.0124098,0.0118188,0.0118188,0.0130947,1.0500050766575286,1.1079551223474464,0.9476963962519187,,,,,,,,,,,,,,,,,,,,,,
21,5857.073,5783.4654878,954.1331365,1120.7453901,0.0048769,0.0048156,0.0048156,0.0049363,1.0127294625799486,1.0250643741174517,0.9879666957032595,,,,,,,,,,,,,,,,,,,,,,
22,21426.99,23096.3171574,3810.3385554,3916.8193873,0.0178411,0.0192311,0.0192311,0.0172517,0.9277212431946169,0.89707297034491,1.0341647489812598,,,,,,,,,,,,,,,,,,,,,,
23,18968.16,14317.2811451,2362.0081065,3420.9320672,0.0157938,0.0119212,0.0119212,0.0150675,1.3248498473308057,1.2639247726738918,1.0482030861124938,,,,,,,,,,,,,,,,,,,,,,
24,7370.291,6087.1122676,1004.2275747,1388.9339098,0.0061368,0.0050684,0.0050684,0.0061176,1.2107963065267147,1.2070081287980428,1.003138485680659,,,,,,,,,,,,,,,,,,,,,,
25,11410.86,8779.1060719,1448.3420071,1646.948925,0.0095012,0.0073099,0.0073099,0.007254,1.2997715427023624,0.9923528365641117,1.3097877033360903,,,,,,,,,,,,,,,,,,,,,,
26,2768.381,2367.2730081,390.5432867,460.616423,0.0023051,0.0019711,0.0019711,0.0020288,1.169448531276952,1.0292729947744914,1.136188880126183,,,,,,,,,,,,,,,,,,,,,,
