Year,"CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by NBER output/labor 1948/1950, Long Term  Eco Growth A163, pp. 208-209 Maximum real wage defined by relative real output levels","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N","CAPACITY UTILIZATION adjusted PROFIT RATES: K is directly adjusted in all cases Penn World Tables Real GDP per worker, PPP, 1950-2010 converted to index 2005=100 1947  value = 1950 index adjusted by N"
,S237A,S237B,S237C,S237D,S237E,S237F,S237G,S237H,S237I,S237J,S237K,S237L,S237M,S237N,S237O,S237P,S237Q,S237R,S237S,S237T,S237U,S237V,S237W,S237
1947,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.32250100970041107,1.088,,0.32250100970041107,0.444843517836607,0.5133759621219278,0.5852085911101267,0.6155983260827683,0.8817238706764727,0.8817238706764727
1948,0.01,0.989,0.01,0.9867,0.01,0.9845,0.01,0.9824,0.01,0.9813,0.01,0.9782,0.01,0.992,,,,0.31895349859370653,0.43892709904938015,0.5054186347090379,0.5749089199065884,0.6040866373850206,0.8625022902957256,0.8746700797110609
1949,0.02,0.977,0.02,0.9735,0.02,0.9692,0.02,0.965,0.02,0.9628,0.02,0.9569,0.02,0.984,,,,0.3150834864773016,0.43305516461393695,0.4975639824885724,0.5647262904212722,0.5926980683524893,0.8437215718503167,0.8676162887456491
1950,0.03,0.966,0.03,0.9603,0.03,0.954,0.03,0.9477,0.03,0.9445,0.03,0.9358,0.03,0.976,,,,0.3115359753705971,0.42718323017849374,0.4897606678643191,0.554602181795067,0.5814326189851747,0.8251171981790432,0.8605624977802374
1951,0.04,0.955,0.04,0.9472,0.04,0.9389,0.04,0.9306,0.04,0.9263,0.04,0.9151,0.04,0.9679,,,,0.30798846426389254,0.4213557800948342,0.482008690836278,0.5445951148870839,0.5702287294504683,0.8068655140560402,0.8534205344277579
1952,0.05,0.943,0.05,0.9342,0.05,0.9239,0.05,0.9137,0.05,0.9083,0.05,0.8948,0.05,0.9598,,,,0.3041184521474876,0.4155728143629583,0.47430805140444915,0.5347050896973228,0.5591479595809785,0.7889665194813078,0.8462785710752785
1953,0.06,0.932,0.06,0.9213,0.06,0.909,0.06,0.8969,0.06,0.8904,0.06,0.8748,0.06,0.9517,,,,0.30057094104078314,0.40983433298286603,0.4666587495688324,0.5248735853666726,0.5481287495440968,0.7713320420677784,0.8391366077227991
1954,0.07,0.921,0.07,0.9085,0.07,0.8942,0.07,0.8802,0.07,0.8727,0.07,0.8551,0.07,0.9435,,,,0.2970234299340786,0.40414033595455745,0.45906078532942785,0.5151006018951335,0.5372326591724319,0.7539620818154518,0.8319064719832521
1955,0.08,0.91,0.08,0.8957,0.08,0.8796,0.08,0.8637,0.08,0.8552,0.08,0.8358,0.08,0.9354,,,,0.29347591882737406,0.3984463389262489,0.45156549628244774,0.5054446601418164,0.5264596884659835,0.7369448111113959,0.8247645086307726
1956,0.09,0.899,0.09,0.883,0.09,0.865,0.09,0.8474,0.09,0.8378,0.09,0.8167,0.09,0.9272,,,,0.2899284077206696,0.392796826249724,0.4440702072354676,0.4959057601067214,0.5157482775921433,0.7201038851814753,0.8175343728912255
1957,0.1,0.888,0.1,0.8704,0.1,0.8506,0.1,0.8312,0.1,0.8206,0.1,0.798,0.1,0.9189,,,,0.28638089661396504,0.38719179792498276,0.43667759338091183,0.48642538093073734,0.5051599863835197,0.7036156487998253,0.8102160647646108
1958,0.11,0.877,0.11,0.8579,0.11,0.8362,0.11,0.8151,0.11,0.8035,0.11,0.7795,0.11,0.9107,0.444843517836607,0.9734,,0.2828333855072605,0.3816312539520252,0.4292849795263561,0.4770035226138643,0.4946332550075043,0.6873037571923105,0.8029859290250637
1959,0.12,0.866,0.12,0.8454,0.12,0.822,0.12,0.7991,0.12,0.7865,0.12,0.7613,0.12,0.9024,,,,0.27928587440055597,0.3760707099790676,0.4219950408642246,0.46764018515610223,0.4841680834640973,0.6712563827459986,0.795667620898449
1960,0.13,0.855,0.13,0.8331,0.13,0.8078,0.13,0.7834,0.13,0.7697,0.13,0.7434,0.13,0.8941,,,,0.27573836329385143,0.3705991347096773,0.4147051022020933,0.45845241027567324,0.4738260315859068,0.6554735254608898,0.7883493127718343
1961,0.14,0.844,0.14,0.8208,0.14,0.7938,0.14,0.7677,0.14,0.7531,0.14,0.7258,0.14,0.8857,,,,0.27219085218714695,0.365127559440287,0.4075178387323863,0.4492646353952443,0.4636070993729328,0.6399551853369839,0.780942832258152
1962,0.15,0.834,0.15,0.8085,0.15,0.7799,0.15,0.7522,0.15,0.7366,0.15,0.7084,0.15,0.8774,,,,0.2689658420901428,0.3596559841708968,0.4003819128588915,0.4401939022330373,0.4534497269925672,0.6246131899872133,0.7736245241315372
