A,Psuedo Production Function - k = (A/r)^(1/1-a) as in Cobb Douglas; Column: a,Psuedo Production Function - k = (A/r)^(1/1-a) as in Cobb Douglas; Column: Dk,Psuedo Production Function - k = (A/r)^(1/1-a) as in Cobb Douglas; Column: r,Psuedo Production Function - k = (A/r)^(1/1-a) as in Cobb Douglas; Column: k
,FPR009_C1,FPR009_C2,FPR009_C3,FPR009_C4
1,0.3,0.02,0.02,15.462474735549584
1,0.3,0.02,0.04,9.518269693579391
1,0.3,0.02,0.06,7.166285806197165
1,0.3,0.02,0.08,5.859182278980248
1,0.3,0.02,0.1,5.011872336272723
1,0.3,0.02,0.12000000000000001,4.4113663673663055
1,0.3,0.02,0.14,3.9601385002325435
1,0.3,0.02,0.16,3.6067497647680336
1,0.3,0.02,0.18,3.3213087254417184
1,0.3,0.02,0.19999999999999998,3.0851693136000478
1,0.3,0.02,0.21999999999999997,2.886051811348796
1,0.3,0.02,0.23999999999999996,2.7155145292003424
1,0.3,0.02,0.25999999999999995,2.5675485024742817
1,0.3,0.02,0.27999999999999997,2.437751195316706
1,0.3,0.02,0.3,2.32281767311983
1,0.3,0.02,0.32,2.220214911613628
1,0.3,0.02,0.34,2.12796635973737
1,0.3,0.02,0.36000000000000004,2.0445053411606477
1,0.3,0.02,0.38000000000000006,1.9685728102196656
1,0.3,0.02,0.4000000000000001,1.8991444823309345
1,0.3,0.02,0.4200000000000001,1.8353778945581387
1,0.3,0.02,0.4400000000000001,1.7765732820830231
1,0.3,0.02,0.46000000000000013,1.7221442177593438
1,0.3,0.02,0.48000000000000015,1.6715952709909754
1,0.3,0.02,0.5000000000000001,1.6245047927124707
1,0.3,0.02,0.5200000000000001,1.5805114974066587
1,0.3,0.02,0.5400000000000001,1.5393038943766335
1,0.3,0.02,0.5600000000000002,1.500611882619527
1,0.3,0.02,0.5800000000000002,1.4642000067042276
1,0.3,0.02,0.6000000000000002,1.4298620007401577
