Index,Ams1_63.xmcd; Column: tpm,Ams1_63.xmcd; Column: td,Ams1_63.xmcd; Column: tv,Ams1_63.xmcd; Column: tp(r),Ams1_63.xmcd; Column: tpmr = tpm/TPM,Ams1_63.xmcd; Column: tvr = tv/TV,Ams1_63.xmcd; Column: tdr = td/TD,Ams1_63.xmcd; Column: tp(r) = tp(r)/TP(r),Ams1_63.xmcd; Column: qtpmtv67,Ams1_63.xmcd; Column: qtpoptv67,Ams1_63.xmcd; Column: qtpmtpop67,Ams1_63.xmcd; Column: ,Ams1_63.xmcd; Column: ,Ams1_63.xmcd; Column: ,Ams1_63.xmcd; Column: ,Ams1_63.xmcd; Column: ,Ams1_63.xmcd; Column: ,Ams1_63.xmcd; Column: ,Ams1_63.xmcd; Column: ,Ams1_63.xmcd; Column: ,Ams1_63.xmcd; Column: ,Ams1_63.xmcd; Column: ,Ams1_63.xmcd; Column: ,Ams1_63.xmcd; Column: ,Ams1_63.xmcd; Column: ,Ams1_63.xmcd; Column: ,Ams1_63.xmcd; Column: ,Ams1_63.xmcd; Column: ,Ams1_63.xmcd; Column: ,Ams1_63.xmcd; Column: ,Ams1_63.xmcd; Column: ,Ams1_63.xmcd; Column: ,Ams1_63.xmcd; Column: 
,FPR009_C1,FPR009_C2,FPR009_C3,FPR009_C4,FPR009_C5,FPR009_C6,FPR009_C7,FPR009_C8,FPR009_C9,FPR009_C10,FPR009_C11,FPR009_C12,FPR009_C13,FPR009_C14,FPR009_C15,FPR009_C16,FPR009_C17,FPR009_C18,FPR009_C19,FPR009_C20,FPR009_C21,FPR009_C22,FPR009_C23,FPR009_C24,FPR009_C25,FPR009_C26,FPR009_C27,FPR009_C28,FPR009_C29,FPR009_C30,FPR009_C31,FPR009_C32,FPR009_C33
1,53239.97,59749.0406455,13215.4051347,16357.2803456,0.0583507,0.0654846,0.0654846,0.0725054,0.8910598827816005,1.1072129935893325,0.8047772993459797,,,,,,,,,,,,,,,,,,,,,,
2,937.3306,660.5118546,146.0932537,208.5233505,0.0010273,0.0007239,0.0007239,0.0009243,1.4191186627987293,1.2768338168255284,1.1114356810559343,,,,,,,,,,,,,,,,,,,,,,
3,1344.06,1276.6460842,282.3709809,356.9056293,0.0014731,0.0013992,0.0013992,0.001582,1.052815894797027,1.1306460834762722,0.9311630847029077,,,,,,,,,,,,,,,,,,,,,,
4,2670.194,3176.9466062,702.6830228,761.1369491,0.0029265,0.0034819,0.0034819,0.0033738,0.8404893879778281,0.9689537321577301,0.8674195269429129,,,,,,,,,,,,,,,,,,,,,,
5,11334.6,5604.3006666,1239.5697572,1865.5400855,0.0124227,0.0061423,0.0061423,0.0082692,2.022483434544063,1.346270940852775,1.5022855898998693,,,,,,,,,,,,,,,,,,,,,,
6,1800.154,1563.155385,345.7416467,385.4905439,0.001973,0.0017132,0.0017132,0.0017087,1.1516460424935793,0.9973733364464161,1.1546789957277461,,,,,,,,,,,,,,,,,,,,,,
7,593.1853,395.0766129,87.383788,112.6966521,0.0006501,0.000433,0.000433,0.0004995,1.5013856812933026,1.153579676674365,1.3015015015015015,,,,,,,,,,,,,,,,,,,,,,
8,73227.89,83662.2080442,18504.5644553,18687.4084612,0.0802573,0.0916933,0.0916933,0.082834,0.8752798732295598,0.9033811630729836,0.9688932081029529,,,,,,,,,,,,,,,,,,,,,,
9,4576.04,4199.6466514,928.8857415,900.8004582,0.0050153,0.0046028,0.0046028,0.0039929,1.0896193621274008,0.8674936994872686,1.2560544967316989,,,,,,,,,,,,,,,,,,,,,,
10,71053.2,68701.3842674,15195.5013269,17553.6515648,0.0778739,0.0752963,0.0752963,0.0778085,1.034232757784911,1.0333641892098284,1.0008405251354286,,,,,,,,,,,,,,,,,,,,,,
11,7329.855,3521.876824,778.9753368,895.8811404,0.0080335,0.00386,0.00386,0.0039711,2.081217616580311,1.028782383419689,2.022991110775352,,,,,,,,,,,,,,,,,,,,,,
12,12552.28,12674.5955431,2803.3908697,3186.2825256,0.0137572,0.0138913,0.0138913,0.0141235,0.9903464758517921,1.0167154981895143,0.9740645024250363,,,,,,,,,,,,,,,,,,,,,,
13,2942.43,2931.8418592,648.4702941,734.3851206,0.0032249,0.0032133,0.0032133,0.0032552,1.003609995954315,1.0130395543522237,0.9906918161710494,,,,,,,,,,,,,,,,,,,,,,
14,17790.78,19187.4769234,4243.9222173,4123.5230963,0.0194986,0.0210294,0.0210294,0.018278,0.9272066725631736,0.8691641226092993,1.066779735200788,,,,,,,,,,,,,,,,,,,,,,
15,2460.742,2512.4229607,555.7024337,575.3109476,0.002697,0.0027536,0.0027536,0.0025501,0.9794450900639163,0.9260967460778616,1.0576055840947414,,,,,,,,,,,,,,,,,,,,,,
16,9488.381,11127.5063355,2461.2027703,2642.0659804,0.0103992,0.0121957,0.0121957,0.0117112,0.8526939823052387,0.9602728830653426,0.8879704897875539,,,,,,,,,,,,,,,,,,,,,,
17,373.8066,486.5113187,107.6074881,119.3762005,0.0004097,0.0005332,0.0005332,0.0005291,0.7683795948987248,0.9923105776444112,0.7743337743337743,,,,,,,,,,,,,,,,,,,,,,
18,3957.086,4360.5461336,964.4737914,953.3535947,0.0043369,0.0047791,0.0047791,0.0042258,0.9074721181812476,0.8842250632964367,1.0262908798334043,,,,,,,,,,,,,,,,,,,,,,
19,1772.558,1777.8055096,393.2183648,402.3882088,0.0019427,0.0019485,0.0019485,0.0017836,0.9970233512958686,0.9153707980497819,1.0892016147118186,,,,,,,,,,,,,,,,,,,,,,
20,11607.21,10807.5608267,2390.4366212,2890.2663727,0.0127214,0.011845,0.011845,0.0128114,1.0739890249050232,1.081587167581258,0.9929750066347159,,,,,,,,,,,,,,,,,,,,,,
21,4587.913,4193.1344933,927.4453701,1059.3861791,0.0050283,0.0045957,0.0045957,0.0046958,1.094131470722632,1.0217812302804794,1.0708079560458283,,,,,,,,,,,,,,,,,,,,,,
22,15895.92,17623.6502056,3898.0320839,3966.0626509,0.0174218,0.0193154,0.0193154,0.01758,0.9019642357911305,0.9101545916729655,0.9910011376564279,,,,,,,,,,,,,,,,,,,,,,
23,14199.73,10338.0194451,2286.5825757,3110.9405469,0.0155628,0.0113304,0.0113304,0.0137896,1.3735437407328956,1.21704441149474,1.1285896617740905,,,,,,,,,,,,,,,,,,,,,,
24,5486.838,4075.1317016,901.3452908,1168.278041,0.0060135,0.0044663,0.0044663,0.0051785,1.346416496876609,1.1594608512639097,1.1612436033600464,,,,,,,,,,,,,,,,,,,,,,
