Index,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: r,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: R_A,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: y_A,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: R_B,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: y_B,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: Offset for Frontier Curve,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: w(r)A,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: r,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: w(r)B,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: w(r)A/B,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: w(r),Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: yA/B,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: k = y/R_A,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: k = y/R_B,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: r_A,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: R_A,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: R0_A,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: y_A,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: yfinal_A,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: r/R_A,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: y/k_A,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: y_A,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: k = y/(y/k)_A,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: w(r)_A,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: r_B,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: R_B,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: R0_B,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: y_B,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: yfinal_B,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: Offset for Frontier Curve,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: r/R_B,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: y/k_B,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: y_B,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: k = y/(y/k)_B,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: w(r)_B,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: w(r)A/B,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: w(r),Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: y_B,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: k = y/R_B,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: ,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: ,Compares frontiers of linear w-r curves with frontier of non linear w-r curves  1.  Since y = w + r*; Column: 
,FPR009_C1,FPR009_C2,FPR009_C3,FPR009_C4,FPR009_C5,FPR009_C6,FPR009_C7,FPR009_C8,FPR009_C9,FPR009_C10,FPR009_C11,FPR009_C12,FPR009_C13,FPR009_C14,FPR009_C15,FPR009_C16,FPR009_C17,FPR009_C18,FPR009_C19,FPR009_C20,FPR009_C21,FPR009_C22,FPR009_C23,FPR009_C24,FPR009_C25,FPR009_C26,FPR009_C27,FPR009_C28,FPR009_C29,FPR009_C30,FPR009_C31,FPR009_C32,FPR009_C33,FPR009_C34,FPR009_C35,FPR009_C36,FPR009_C37,FPR009_C38,FPR009_C39,FPR009_C40,FPR009_C41,FPR009_C42
1,0.0,1.0,1.2,1.2,1.0,0.02,1.2,0.0,1.0,1.2,1.22,1.2,1.2,0.8333333333333334,0.0,1.0,1.5,1.2,0.5,0.0,1.5,1.2,0.7999999999999999,1.2,0.0,1.2,0.5,1.5,-0.5,0.03,0.0,0.5,1.5,3.0,1.5,1.5,1.53,1.5,3.0,,,
2,0.1,1.0,1.2,1.2,1.0,0.02,1.08,0.1,0.9166666666666666,1.08,1.1,1.2,1.2,0.8333333333333334,0.1,1.0,1.5,1.2,0.5,0.1,1.4725,1.25,0.8488964346349746,1.1651103565365026,0.1,1.2,0.5,1.5,-0.5,0.03,0.08333333333333334,0.6118055555555556,1.4583333333333333,2.3836549375709417,1.219967839576239,1.219967839576239,1.249967839576239,1.4583333333333333,2.3836549375709417,,,
3,0.2,1.0,1.2,1.2,1.0,0.02,0.96,0.2,0.8333333333333333,0.96,0.98,1.2,1.2,0.8333333333333334,0.2,1.0,1.5,1.2,0.5,0.2,1.44,1.3,0.9027777777777778,1.1194444444444445,0.2,1.2,0.5,1.5,-0.5,0.03,0.16666666666666669,0.7138888888888889,1.4166666666666667,1.9844357976653697,1.0197795071335927,1.1194444444444445,1.1494444444444445,1.3,0.9027777777777778,,,
4,0.3,1.0,1.2,1.2,1.0,0.02,0.84,0.3,0.75,0.84,0.86,1.2,1.2,0.8333333333333334,0.3,1.0,1.5,1.2,0.5,0.3,1.4025,1.3499999999999999,0.962566844919786,1.061229946524064,0.3,1.2,0.5,1.5,-0.5,0.03,0.25,0.8062499999999999,1.375,1.7054263565891474,0.8633720930232558,1.061229946524064,1.091229946524064,1.3499999999999999,0.962566844919786,,,
5,0.4,1.0,1.2,1.2,1.0,0.02,0.72,0.4,0.6666666666666666,0.72,0.74,1.2,1.2,0.8333333333333334,0.4,1.0,1.5,1.2,0.5,0.4,1.3599999999999999,1.4,1.0294117647058825,0.9882352941176469,0.4,1.2,0.5,1.5,-0.5,0.03,0.33333333333333337,0.8888888888888888,1.3333333333333333,1.5,0.7333333333333332,0.9882352941176469,1.018235294117647,1.4,1.0294117647058825,,,
6,0.5,1.0,1.2,1.2,1.0,0.02,0.6,0.5,0.5833333333333333,0.6,0.62,1.2,1.2,0.8333333333333334,0.5,1.0,1.5,1.2,0.5,0.5,1.3125,1.45,1.1047619047619048,0.8976190476190475,0.5,1.2,0.5,1.5,-0.5,0.03,0.4166666666666667,0.9618055555555556,1.2916666666666667,1.3429602888086642,0.6201865222623346,0.8976190476190475,0.9276190476190476,1.45,1.1047619047619048,,,
7,0.6,1.0,1.2,1.2,1.0,0.02,0.48,0.6,0.5,0.5,0.52,1.0,1.2,0.8333333333333334,0.6,1.0,1.5,1.2,0.5,0.6,1.26,1.5,1.1904761904761905,0.7857142857142857,0.6,1.2,0.5,1.5,-0.5,0.03,0.5,1.025,1.25,1.2195121951219514,0.5182926829268292,0.7857142857142857,0.8157142857142857,1.5,1.1904761904761905,,,
8,0.7,1.0,1.2,1.2,1.0,0.02,0.36000000000000004,0.7,0.41666666666666663,0.41666666666666663,0.43666666666666665,1.0,1.2,0.8333333333333334,0.7,1.0,1.5,1.2,0.5,0.7,1.2025000000000001,1.5499999999999998,1.2889812889812886,0.6477130977130978,0.7,1.2,0.5,1.5,-0.5,0.03,0.5833333333333334,1.078472222222222,1.2083333333333333,1.1204121056020606,0.42404485941189085,0.6477130977130978,0.6777130977130978,1.5499999999999998,1.2889812889812886,,,
9,0.8,1.0,1.2,1.2,1.0,0.02,0.23999999999999994,0.8,0.33333333333333326,0.33333333333333326,0.3533333333333333,1.0,1.2,0.8333333333333334,0.8,1.0,1.5,1.2,0.5,0.8,1.14,1.6,1.4035087719298247,0.4771929824561403,0.8,1.2,0.5,1.5,-0.5,0.03,0.6666666666666667,1.1222222222222222,1.1666666666666665,1.0396039603960394,0.334983498349835,0.4771929824561403,0.5071929824561403,1.6,1.4035087719298247,,,
