r/R,MathCad File PRICEmktpricedev.xmcd; Column: p(r)1/v1,MathCad File PRICEmktpricedev.xmcd; Column: p(r)2/v2,MathCad File PRICEmktpricedev.xmcd; Column: p(r)3/v3,MathCad File PRICEmktpricedev.xmcd; Column: VR1/VRR,MathCad File PRICEmktpricedev.xmcd; Column: VR2/VRR,MathCad File PRICEmktpricedev.xmcd; Column: VR3/VRR,MathCad File PRICEmktpricedev.xmcd; Column: %NMAWDtptv(r) = m,MathCad File PRICEmktpricedev.xmcd; Column: CVpv(r),MathCad File PRICEmktpricedev.xmcd; Column: dpv(r),MathCad File PRICEmktpricedev.xmcd; Column: pm(r)1/v1,MathCad File PRICEmktpricedev.xmcd; Column: pm(r)2/v2,MathCad File PRICEmktpricedev.xmcd; Column: pm(r)3/v3,MathCad File PRICEmktpricedev.xmcd; Column: dpmv(r),MathCad File PRICEmktpricedev.xmcd; Column: dpv(r)
,FPR009_C1,FPR009_C2,FPR009_C3,FPR009_C4,FPR009_C5,FPR009_C6,FPR009_C7,FPR009_C8,FPR009_C9,FPR009_C10,FPR009_C11,FPR009_C12,FPR009_C13,FPR009_C14
0.127,1.022,1.013,0.946,0.871,0.917,1.647,0.029,0.024,0.034,0.956,0.931,0.953,0.064,0.034
0.137,1.024,1.014,0.942,0.872,0.918,1.641,0.031,0.026,0.037,1.036,0.987,1.002,0.027,0.037
0.146,1.026,1.015,0.938,0.873,0.919,1.636,0.034,0.028,0.04,1.028,0.976,1.009,0.024,0.04
0.156,1.027,1.016,0.933,0.874,0.919,1.63,0.036,0.03,0.042,0.965,0.921,0.876,0.026,0.042
0.166,1.029,1.018,0.929,0.876,0.92,1.625,0.038,0.032,0.045,1.026,1.058,0.941,0.063,0.045
0.176,1.031,1.019,0.925,0.877,0.921,1.619,0.04,0.034,0.048,1.047,1.03,0.923,0.099,0.048
0.185,1.033,1.02,0.92,0.878,0.922,1.613,0.043,0.036,0.051,1.119,1.09,0.906,0.062,0.051
0.195,1.034,1.021,0.916,0.879,0.923,1.607,0.045,0.038,0.053,1.088,0.993,0.962,0.042,0.053
0.205,1.036,1.022,0.912,0.88,0.924,1.602,0.048,0.04,0.056,1.049,1.017,0.941,0.088,0.056
0.215,1.038,1.023,0.907,0.882,0.925,1.596,0.05,0.042,0.059,1.032,1.061,0.881,0.088,0.059
0.224,1.04,1.024,0.903,0.883,0.925,1.59,0.052,0.044,0.062,0.958,0.982,0.928,0.102,0.062
0.234,1.042,1.025,0.899,0.884,0.926,1.584,0.055,0.046,0.065,1.026,0.908,0.827,0.089,0.065
0.244,1.044,1.026,0.894,0.885,0.927,1.578,0.057,0.048,0.067,1.085,1.041,0.854,0.069,0.067
0.254,1.046,1.027,0.89,0.886,0.928,1.572,0.059,0.05,0.07,1.07,1.121,0.886,0.079,0.07
0.263,1.047,1.028,0.885,0.888,0.929,1.567,0.062,0.052,0.073,1.02,1.008,0.88,0.079,0.073
0.273,1.049,1.029,0.881,0.889,0.93,1.561,0.064,0.054,0.076,1.026,0.993,0.871,0.077,0.076
0.283,1.051,1.03,0.877,0.89,0.931,1.555,0.067,0.056,0.079,1.097,0.968,0.86,0.081,0.079
0.293,1.053,1.031,0.872,0.891,0.932,1.549,0.069,0.058,0.082,1.037,0.943,0.878,0.149,0.082
0.302,1.055,1.032,0.868,0.893,0.932,1.542,0.072,0.06,0.085,1.018,1.085,0.857,0.096,0.085
0.312,1.057,1.034,0.863,0.894,0.933,1.536,0.074,0.062,0.087,1.087,0.953,0.814,0.065,0.087
0.322,1.059,1.035,0.859,0.895,0.934,1.53,0.077,0.064,0.09,1.029,1.029,0.946,0.116,0.09
0.332,1.061,1.036,0.854,0.897,0.935,1.524,0.079,0.066,0.093,1.04,1.072,0.878,0.088,0.093
0.341,1.063,1.037,0.85,0.898,0.936,1.518,0.082,0.068,0.096,1.051,1.063,0.848,0.101,0.096
0.351,1.065,1.038,0.845,0.899,0.937,1.512,0.084,0.07,0.099,1.109,1.128,0.782,0.12,0.099
0.361,1.067,1.039,0.841,0.9,0.938,1.505,0.087,0.072,0.102,1.036,1.067,0.768,0.117,0.102
0.371,1.069,1.04,0.836,0.902,0.939,1.499,0.089,0.075,0.105,1.049,0.973,0.822,0.183,0.105
0.381,1.071,1.041,0.831,0.903,0.939,1.493,0.092,0.077,0.108,1.016,0.98,0.842,0.1,0.108
0.39,1.073,1.042,0.827,0.904,0.94,1.486,0.094,0.079,0.111,1.125,1.022,0.776,0.087,0.111
0.4,1.075,1.043,0.822,0.906,0.941,1.48,0.097,0.081,0.114,1.113,1.089,0.819,0.127,0.114
0.41,1.077,1.045,0.818,0.907,0.942,1.473,0.099,0.083,0.117,1.013,0.991,0.808,0.135,0.117
0.42,1.079,1.046,0.813,0.908,0.943,1.467,0.102,0.085,0.12,0.951,0.95,0.78,0.165,0.12
