Index,Ams1_72.xmcd; Column: tpm,Ams1_72.xmcd; Column: td,Ams1_72.xmcd; Column: tv,Ams1_72.xmcd; Column: tp(r),Ams1_72.xmcd; Column: tpmr = tpm/TPM,Ams1_72.xmcd; Column: tvr = tv/TV,Ams1_72.xmcd; Column: tdr = td/TD,Ams1_72.xmcd; Column: tp(r) = tp(r)/TP(r),Ams1_72.xmcd; Column: qtpmtv72,Ams1_72.xmcd; Column: qtpoptv72,Ams1_72.xmcd; Column: qtpmtpop72,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: 
,FPR009_C1,FPR009_C2,FPR009_C3,FPR009_C4,FPR009_C5,FPR009_C6,FPR009_C7,FPR009_C8,FPR009_C9,FPR009_C10,FPR009_C11,FPR009_C12,FPR009_C13,FPR009_C14,FPR009_C15,FPR009_C16,FPR009_C17,FPR009_C18,FPR009_C19,FPR009_C20,FPR009_C21,FPR009_C22,FPR009_C23,FPR009_C24,FPR009_C25,FPR009_C26,FPR009_C27,FPR009_C28,FPR009_C29,FPR009_C30,FPR009_C31,FPR009_C32,FPR009_C33,FPR009_C34,FPR009_C35,FPR009_C36
19,3744.004,3784.6474438,473.2759749,481.9407398,0.0021316,0.0021547,0.0021547,0.0019564,0.9892792500116027,0.9079686267229777,1.0895522388059702,,,,,,,,,,,,,,,,,,,,,,,,,
20,19935.5,20107.1095877,2514.4249323,3069.3873563,0.0113498,0.0114476,0.0114476,0.0124599,0.9914567245536182,1.0884290156888778,0.9109061870480502,,,,,,,,,,,,,,,,,,,,,,,,,
21,7996.903,8203.6295298,1025.876471,1168.0271679,0.0045529,0.0046706,0.0046706,0.0047415,0.9747998115873765,1.0151800625187344,0.9602235579457978,,,,,,,,,,,,,,,,,,,,,,,,,
22,29798.0,33225.2001835,4154.8623067,4256.9407138,0.0169649,0.0189161,0.0189161,0.0172807,0.8968497734733903,0.9135445467088881,0.9817252773325156,,,,,,,,,,,,,,,,,,,,,,,,,
23,24200.8,20123.4159799,2516.4640717,3472.2454858,0.0137782,0.0114568,0.0114568,0.0140953,1.202622023601704,1.2302999092242162,0.9775031393443205,,,,,,,,,,,,,,,,,,,,,,,,,
24,9735.505,8985.7854718,1123.6862727,1485.224705,0.0055427,0.0051159,0.0051159,0.0060291,1.0834261811216015,1.178502316307981,0.9193246089797814,,,,,,,,,,,,,,,,,,,,,,,,,
25,17265.0,13954.3306411,1745.0104762,1926.3980164,0.0098295,0.0079446,0.0079446,0.00782,1.2372554942980138,0.9843163910077286,1.2569693094629155,,,,,,,,,,,,,,,,,,,,,,,,,
26,3627.5,3179.0020324,397.5390861,459.335068,0.0020652,0.0018099,0.0018099,0.0018646,1.141057516989889,1.0302226642355932,1.1075833959026067,,,,,,,,,,,,,,,,,,,,,,,,,
27,31524.0,18955.5861197,2370.4251542,3625.4893078,0.0179475,0.010792,0.010792,0.0147173,1.6630374351371389,1.363723128243143,1.2194831932487618,,,,,,,,,,,,,,,,,,,,,,,,,
28,20713.5,19131.5868706,2392.4343184,2669.161292,0.0117928,0.0108922,0.0108922,0.0108352,1.0826830208773253,0.9947668974128275,1.0883786178381571,,,,,,,,,,,,,,,,,,,,,,,,,
