,"Shaikh PRICEmktpricedev.xmcd, Ratio (r/R)","Shaikh IO fixed capital 1947, Ratio","Shaikh IO fixed capital 1972, Ratio","Shaikh IO circ. capital 1998, Ratio","Shaikh IO fixed capital 1998, Ratio",Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series
Year,S048-pctNMAWD,S048-tpmr_1947,S048-tpmr_1972,S048-tpmr_1998circ,S048-tpmr_1998fixed,S048-CVpv,S048-dpv,S048-td_1947,S048-td_1958,S048-td_1963,S048-td_1967,S048-td_1972,S048-td_1998circ,S048-td_1998fixed,S048-tdr_1947,S048-tdr_1958,S048-tdr_1963,S048-tdr_1967,S048-tdr_1972,S048-tdr_1998circ,S048-tdr_1998fixed,S048-tpm_1947,S048-tpm_1958,S048-tpm_1963,S048-tpm_1967,S048-tpm_1972,S048-tpm_1998circ,S048-tpm_1998fixed,S048-tpmr_1958,S048-tpmr_1963,S048-tpmr_1967,S048-tpr_1947,S048-tpr_1958,S048-tpr_1963,S048-tpr_1967,S048-tpr_1972,S048-tpr_1998circ,S048-tpr_1998fixed,S048-tprr_1947,S048-tprr_1958,S048-tprr_1963,S048-tprr_1967,S048-tprr_1972,S048-tprr_1998circ,S048-tprr_1998fixed,S048-tv_1947,S048-tv_1958,S048-tv_1963,S048-tv_1967,S048-tv_1972,S048-tv_1998circ,S048-tv_1998fixed,S048-tvr_1947,S048-tvr_1958,S048-tvr_1963,S048-tvr_1967,S048-tvr_1972,S048-tvr_1998circ,S048-tvr_1998fixed
1,0.0,0.1102504,0.047817,0.01358,0.01358,0.0,0.0,18550.469524,52723.1417512,59749.0406455,67476.317014,84378.2328139,130559.9099767,157562.211387787,0.0949505,0.0737648,0.0654846,0.0561839,0.0480389,0.0085298,0.010294,44391.02,48927.2,53239.97,59603.29,83988.49,207859.0,207859.0,0.0684539,0.0583507,0.0496284,20207.5859804,16643.8871233,16357.2803456,14878.3773119,14204.1383869,2518.6297908,3852.8143063,0.0963404,0.0779712,0.0725054,0.065532,0.0576604,0.0109121,0.0129173,38230.6902448,14580.8313796,13215.4051347,11131.9744417,10551.6275925,2024.1006965,2792.6843829,0.0949505,0.0737648,0.0654846,0.0561839,0.0480389,0.0085298,0.010294
2,0.002,0.00098,0.0007612,0.0027563,0.0027563,0.002,0.003,142.1262748,626.9480198,660.5118546,960.8784203,1221.9675812,35349.619271,36574.6195075343,0.0007275,0.0008772,0.0007239,0.0008001,0.0006957,0.0023095,0.0023895,394.5707,837.2823,937.3306,1178.164,1337.1,42188.0,42188.0,0.0011714,0.0010273,0.000981,144.935821,203.3152219,208.5233505,251.6372543,266.2871229,562.6443027,705.5307726,0.000691,0.0009525,0.0009243,0.0011083,0.001081,0.0024377,0.0023654,292.9082512,173.3854064,146.0932537,158.5219006,152.8089226,548.0333818,648.2605684,0.0007275,0.0008772,0.0007239,0.0008001,0.0006957,0.0023095,0.0023895
3,0.004,0.0016633,0.0013643,0.0046007,0.0046007,0.004,0.005,313.3002039,1031.268101,1276.6460842,1387.4494568,2254.8442293,46230.8955036,71076.585708332,0.0016036,0.0014428,0.0013992,0.0011553,0.0012837,0.0030204,0.0046436,669.7201,1064.808,1344.06,1305.134,2396.4,70420.0,70420.0,0.0014898,0.0014731,0.0010867,320.8618145,322.6344702,356.9056293,327.3961362,378.7957027,729.2934666,2106.578223,0.0015297,0.0015114,0.001582,0.001442,0.0015377,0.0031597,0.0070627,645.6808564,285.2020154,282.3709809,228.8958938,281.9717336,716.7283418,1259.7847488,0.0016036,0.0014428,0.0013992,0.0011553,0.0012837,0.0030204,0.0046436
4,0.007,0.0090904,0.003157,0.0033569,0.0033569,0.005,0.008,2053.1347691,3465.3755092,3176.9466062,3770.8984846,6218.2978305,45901.8050831,51673.5097464665,0.010509,0.0048484,0.0034819,0.0031398,0.0035403,0.0029989,0.003376,3660.154,2782.748,2670.194,3178.015,5545.206,51381.0,51381.0,0.0038933,0.0029265,0.0026462,1853.6747636,979.3375989,761.1369491,721.3748895,886.2108951,704.2741198,1128.5227112,0.0088375,0.0045879,0.0033738,0.0031773,0.0035975,0.0030513,0.0037836,4231.3085008,958.3658008,702.6830228,622.1078359,777.6076931,711.6263764,915.8782579,0.010509,0.0048484,0.0034819,0.0031398,0.0035403,0.0029989,0.003376
5,0.009,0.0108246,0.0106353,0.0016122,0.0016122,0.007,0.01,1076.7364491,4898.8462203,5604.3006666,6882.7094373,8409.4911758,27160.9929065,29846.9691332087,0.0055113,0.006854,0.0061423,0.0057309,0.0047878,0.0017745,0.00195,4358.388,9927.667,11334.6,14223.97,18680.5,24677.0,24677.0,0.0138898,0.0124227,0.0118435,1966.7226991,1887.993393,1865.5400855,1802.1537476,1599.8176952,399.9954002,592.3536652,0.0093764,0.0088446,0.0082692,0.0079376,0.0064943,0.001733,0.001986,2219.0477502,1354.7988287,1239.5697572,1135.4820319,1051.6197859,421.0831998,529.0174836,0.0055113,0.006854,0.0061423,0.0057309,0.0047878,0.0017745,0.00195
6,0.011,0.0015625,0.0016689,0.0166258,0.0166258,0.009,0.013,296.8467382,1171.462698,1563.155385,1936.4227985,2822.452143,144616.5800725,192046.004172536,0.0015194,0.001639,0.0017132,0.0016124,0.0016069,0.0094482,0.0125469,629.1294,1437.214,1800.154,2137.804,2931.293,254479.0,254479.0,0.0020108,0.001973,0.00178,291.5753617,344.7992062,385.4905439,386.3704345,435.4280984,2314.4088089,5939.1386225,0.0013901,0.0016153,0.0017087,0.0017018,0.0017676,0.0100273,0.0199121,611.7718844,323.9734868,345.7416467,319.4633326,352.9519749,2242.0245273,3403.8864518,0.0015194,0.001639,0.0017132,0.0016124,0.0016069,0.0094482,0.0125469
7,0.013,0.0005985,0.0004539,0.0590144,0.0590144,0.011,0.016,63.2465687,295.6849118,395.0766129,542.5976513,653.926036,937426.1199837,900703.211260029,0.0003237,0.0004137,0.000433,0.0004518,0.0003723,0.0612446,0.0588454,240.9837,480.7232,593.1853,938.4008,797.198,903290.0,903290.0,0.0006726,0.0006501,0.0007814,68.5440114,97.5390524,112.6966521,134.3688966,127.2232902,14769.9191173,15644.7890559,0.0003268,0.0004569,0.0004995,0.0005918,0.0005165,0.0639913,0.0524521,130.3449475,81.773045,87.383788,89.5156027,81.774455,14533.1354987,15964.3595351,0.0003237,0.0004137,0.000433,0.0004518,0.0003723,0.0612446,0.0588454
8,0.015,0.063388,0.0802905,0.0059332,0.0059332,0.013,0.018,12381.9165834,66873.2111193,83662.2080442,104325.549278,166882.7499988,95298.7219918,94865.4025416226,0.0633768,0.0935621,0.0916933,0.0868662,0.0950111,0.0062261,0.0061978,25522.44,60411.3,73227.89,86852.32,141026.6,90815.0,90815.0,0.0845212,0.0802573,0.0723172,12772.9795521,18593.1316098,18687.4084612,17208.2720887,20522.7288381,1676.1116878,1755.7049711,0.0608956,0.0871028,0.082834,0.075794,0.0833101,0.0072618,0.0058863,25517.9103108,18494.0992277,18504.5644553,17211.2142389,20868.9441681,1477.4382856,1681.4255514,0.0633768,0.0935621,0.0916933,0.0868662,0.0950111,0.0062261,0.0061978
9,0.018,0.0003725,0.0040853,0.0058279,0.0058279,0.015,0.021,102.0301035,3982.5353659,4199.6466514,7660.5585942,6040.4372225,85110.690736,86419.639967074,0.0005222,0.005572,0.0046028,0.0063785,0.003439,0.0055605,0.005646,149.9813,4170.193,4576.04,9198.969,7175.599,89204.0,89204.0,0.0058345,0.0050153,0.0076595,190.923169,1099.9019901,900.8004582,1247.1764116,769.8677463,1373.2066549,1668.4225684,0.0009102,0.0051527,0.0039929,0.0054932,0.0031252,0.0059495,0.0055937,210.2739921,1101.3887774,928.8857415,1263.8084924,755.3659509,1319.4908639,1531.7300817,0.0005222,0.005572,0.0046028,0.0063785,0.003439,0.0055605,0.005646
