old_id,new_id,name,status,notes
AS001,XS001,GDP/GDI Decomposition and Business NOS,confirmed,"xs_class=appendix; primary_source=SHAIKH_APPENDIX_6_8, all subseries sourced from Shaikh (2016) Appendix Table 6.8 verbatim transcription -> book-appendix series"
AS002,XS002,Wage Equivalent and Corp/Noncorp Split,confirmed,"xs_class=appendix; chapter 6 derived from Shaikh (2016) Appendix Table 6.8"
AS003,XS003,Imputed Interest Adjustment and Sectoral Profit Rates,confirmed,"xs_class=appendix; chapter 6 derived from Shaikh (2016) Appendix Table 6.8"
AS004,XS004,GPIM Corporate Capital Stock (Operational Baseline),confirmed,"xs_class=appendix; primary_source=SHAIKH_APPENDIX_6_8, GPIM formula series on Shaikh (2016) Appendix Table 6.8 inputs"
AS005,XS005,GPIM Variant - BEA 2011 Reference (Pure GPIM Regenerator),confirmed,"xs_class=appendix; GPIM variant on Shaikh (2016) Appendix Table 6.8"
AS006,XS006,GPIM Variant - BEA 1993 Depreciation Rates,confirmed,"xs_class=appendix; GPIM variant on Shaikh (2016) Appendix Table 6.8"
AS007,XS007,GPIM Variant - IRS Adjusted,confirmed,"xs_class=appendix; GPIM variant on Shaikh (2016) Appendix Table 6.8"
AS008,XS008,GPIM Variant - Interwar Adjustment Multiplier,confirmed,"xs_class=appendix; GPIM variant on Shaikh (2016) Appendix Table 6.8"
AS009,XS009,IRS Corporate Inventories and Total Capital Stock,confirmed,"xs_class=appendix; chapter 6 derived from Shaikh (2016) Appendix Table 6.8 / IRS data"
ES2001,XS2001,"Shaikh (2020) Sraffa Price-Value Aggregates, US 1947-1998 (Tables 1-2)",confirmed,"xs_class=external_study; external_study_group=20, replicates Shaikh (2020) An Empirically Sufficient Form for Sraffa Prices"
ES2101,XS2101,Shaikh-Coronado-Nassif-Pires (2020) Sraffa CI/Theil Summary Stats,confirmed,"xs_class=external_study; external_study_group=21, replicates Shaikh, Coronado, Nassif-Pires (2020) On the empirical regularities of Sraffa prices"
ES2201,XS2201,"Shaikh-Jacobo (2020) Econophysics Two-Class Income Parameters, US 2002-2016",confirmed,"xs_class=external_study; external_study_group=22, replicates Shaikh & Jacobo (2020) Economic Arbitrage and the Econophysics of Income Inequality"
ES2301,XS2301,Weber-Shaikh (2020) Fig 1 - US Trade Balance vs World and China,confirmed,"xs_class=external_study; external_study_group=23, replicates Weber & Shaikh (2020) The US-China trade imbalance; subseries -world/-china from US Census FT900"
ES2302,XS2302,Weber-Shaikh (2020) Fig 2 - China Current Account Balance (level + %GDP),confirmed,"xs_class=external_study; external_study_group=23, replicates Weber & Shaikh (2020) The US-China trade imbalance"
ES2303,XS2303,Weber-Shaikh (2020) Fig 3 - China FX Reserves ex-Gold (WDI),confirmed,"xs_class=external_study; external_study_group=23, replicates Weber & Shaikh (2020) The US-China trade imbalance"
ES2304,XS2304,Weber-Shaikh (2020) Fig 4 - RMB Misalignment Extended PPP (literature compilation),confirmed,"xs_class=external_study; external_study_group=23, replicates Weber & Shaikh (2020) The US-China trade imbalance"
ES2305,XS2305,Weber-Shaikh (2020) Fig 5 - RMB Misalignment Macro Balance (literature compilation),confirmed,"xs_class=external_study; external_study_group=23, replicates Weber & Shaikh (2020) The US-China trade imbalance"
